url,header,release time,article content,neg,neu,pos,compound
https://www.reuters.com/article/us-renault-m-a-dongfeng/renault-quits-its-main-china-venture-after-weak-sales-idUSKCN21W0HB,['Renault quits its main China venture after weak sales'],"['April 14, 2020 /  5:47 AM / 20 days ago']","['PARIS/BEIJING (Reuters) - French automaker Renault SA (', ') is ditching its main passenger car business in China following poor sales at the loss-making venture with Dongfeng Motor Group (', ').  ', 'A slowdown in Chinese automotive sales, which is expected to worsen this year due to the coronavirus crisis, has heaped pressure on carmakers that were already struggling to establish a big presence in China, the world’s biggest vehicle market.  ', 'Renault, which entered the Dongfeng joint venture in 2013 and began producing gas-powered cars under the tie-up in Wuhan three years later, is one of the few global carmakers to exit a major project in China in recent years, however.  ', 'The carmaker, which will retain a presence in China with other ventures, including in electric vehicles, is trying more broadly to find cost savings and pull out of businesses where it is struggling to make its mark and turn a profit.  ', 'This is part of Renault’s efforts to make the most of its alliance with Japanese partner Nissan (', '), and the two are due provide a strategy update by mid-May.  ', 'Dongfeng had been anticipating Renault’s potential exit from the Chinese joint venture as long as a year ago, a banking source familiar with the matter said. Sales were under pressure long before the coronavirus crisis walloped demand further, another source with knowledge of the situation said.  ', 'The venture sold only 18,607 cars in 2019, far below its annual capacity of 110,000 and reported an operating loss of more than 1.5 billion yuan ($212 million). ', 'Dongfeng, which will take on Renault’s 50% stake in their venture, plans to revamp and upgrade the business’s existing car plants, which will no longer make Renault-branded cars, a spokeswoman for the Chinese automaker said on Tuesday.  ', 'Dongfeng will arrange positions for staff at the venture within its wider group operations, she added. ', 'Financial terms of the transaction were not disclosed.  ', 'Renault said it would focus on its light commercial vehicle business with Brilliance China Automotive Holdings (', '). That venture plans to roll out five new models before 2023 and is planning export cars to other markets. ', 'Another focus is electric vehicles, which will be built by its venture with Jiangling Motors Corporation Group. ', 'Renault and Dongfeng also said they would continue to cooperate on “connected vehicles” and work with common partner Nissan Motor Co Ltd (', ') on new generation engines. ', '“We are opening a new chapter in China. We will concentrate on electric vehicles and light commercial vehicles, the two main drivers for future clean mobility and more efficiently leverage our relationship with Nissan,” Francois Provost, chairman of the China region for Renault, said in a statement. ', 'That could include relying on Nissan dealers rather than Renault ones in the longer term, a source familiar with the matter said.  ', 'Renault and Nissan, which both reported losses for 2019 even before the global pandemic hit, are looking to rebalance a relationship strained by the 2018 arrest and subsequent flight of former alliance supremo Carlos Ghosn.  ', 'The ex-boss-turned-fugitive, accused of financial misconduct, denies any wrongdoing.  ', 'Other international carmakers have struggled in China too.     ', 'In 2018, Japanese automaker Suzuki Motor Corp (', ') sold its stake in a venture with Changan Automobile (', '). ', 'Renault’s French rival PSA (', '), meanwhile, is exiting a small joint venture with China’s Chongqing Changan Automobile (', ') and said in February it had suffered 700 million euros in losses last year in the country.  ', 'Reporting by Sudip Kar-Gupta and Yilei Sun, Additional reporting by Arno Schuetze in Frankfurt and Sarah White in Paris; Editing by Edwina Gibbs and Mark Potter']",0.08,0.893,0.027,-0.985
https://www.reuters.com/article/us-health-coronavirus-carmakers-romania/carmakers-dacia-and-ford-resume-production-in-romania-idUSKBN22G14U,['Carmakers Dacia and Ford resume production in Romania'],"['May 4, 2020 /  10:26 AM / Updated 10 hours ago']","['BUCHAREST (Reuters) - Romanian carmaker Dacia, owned by France’s Renault (', ') and Ford Motor Co’s (', ') Craiova plant resumed operations on Monday after output was halted due to the coronavirus pandemic in March, they said. ', 'Dacia has sent around 14,000 employees home on technical unemployment and Ford also suspended activity for its 6,000 staff. ', 'During the shutdown, both plants implemented safety measures aimed at curbing the risk of COVID-19 infections and to ensure their employees are protected against the new coronavirus. ', 'Ford said it will gradually resume output in a single shift with about half of its workers. ', 'Dacia said that “production on the Mioveni industrial platform has been resumed, with the Mechanical and Chassis Plant working in three shifts.” ', 'The European Union member state, which has recorded 13,512 coronavirus infections and 803 deaths, declared a 30-day state of emergency on March 16 and later extended it to May 15.  ', 'Reporting by Radu Marinas; editing by Jason Neely']",0.061,0.891,0.047,-0.34
https://www.reuters.com/article/brief-renault-q1-revenue-down-192-financ/brief-renault-q1-revenue-down-19-2-financial-guidance-still-unclear-idUSASN0005M9,"['BRIEF-Renault Q1 Revenue Down 19.2%, Financial Guidance Still Unclear']","['April 23, 2020 /  5:56 AM / in 11 days']","['April 23 (Reuters) - Renault SA: ', '* THE GROUP SOLD 672,962 VEHICLES IN Q1, DOWN -25.9% Y/Y ', '* THE IMPACT THAT THE COVID-19 PANDEMIC WILL HAVE ON THE GROUP’S RESULTS IS STILL IMPOSSIBLE TO ASSESS ', '* WILL COMMUNICATE A NEW GUIDANCE AS SOON AS IT CONSIDERS THAT IT IS IN A POSITION TO DO SO ', '* Q1 GROUP REVENUE EXCLUDING AVTOVAZ FALLS 21.3% TO 8.59 BILLION EUROS Source text for Eikon: Further company coverage: (Gdansk Newsroom)']",0.572,0.428,0.0,-0.9993
https://www.reuters.com/article/health-coronavirus-renault-dividend/frances-carmaker-renault-drops-dividend-executives-cut-pay-source-idUSP6N2A401T,"[""France's carmaker Renault drops dividend, executives cut pay- source""]","['April 9, 2020 /  3:42 PM / in 25 days']","['PARIS, April 9 (Reuters) - French carmaker Renault’s board has decided to cancel its dividend on 2019 earnings in light of the coronavirus crisis, a source close to the matter told Reuters on Thursday. ', 'Renault board chairman Jean-Dominique Senard and interim chief executive officer Clotilde Delbos will cut their remuneration by 25 percent in the first quarter and will do same in the second quarter if the coronavirus crisis continues, the source also said. (Reporting by Gilles Guillaume; Writing by Matthieu Protard; editing by David Evans)']",0.133,0.855,0.012,-0.9042
https://www.reuters.com/article/brief-groupe-renault-cancels-2019-divide/brief-groupe-renault-cancels-2019-dividend-idUSASN000598,['BRIEF-Groupe Renault Cancels 2019 Dividend'],"['April 9, 2020 /  5:34 PM / 25 days ago']","['April 9 (Reuters) - Renault SA: ', '* GROUPE RENAULT:COMMUNICATION OF RENAULT’S BOARD OF DIRECTORS 9TH APRIL 2020 ', '* 25% REDUCTION IN COMPENSATION FOR CHAIRMAN AND INTERIM CEO ', '* GENERAL MEETING OF HOLDERS OF PARTICIPATING SHARES IS SCHEDULED FOR JUNE 12, 2020 ', '* SAVINGS WILL BE TRANSFERRED TO THE SOLIDARITY FUND SET UP UNDER THE SOLIDARITY AND FUTURE CONTRACT CONCLUDED ON APRIL 2, 2020 Source text for Eikon: Further company coverage: (Gdansk Newsroom)']",0.0,0.89,0.11,0.8316
https://www.reuters.com/article/us-health-coronavirus-finance-breakingvi/breakingviews-corona-capital-american-football-fail-idUSKCN21W2X6,['Breakingviews - Corona Capital: American football fail'],"['April 14, 2020 /  8:32 PM / 20 days ago']","['HONG KONG/LONDON/NEW YORK (Reuters Breakingviews) - Corona Capital is a daily column updated throughout the day by Breakingviews columnists around the world with short, sharp pandemic-related insights. ', '– American football fail ', 'GRIDIRON GOES UNDER. American football fans have lost a rebooted post-Super Bowl springtime league almost as soon as it started. The parent company of the XFL filed for bankruptcy on Monday, a month after the coronavirus forced it to blow the whistle halfway through its first season. XFL had non-pandemic problems, not least the poor track record of previous attempts to establish non-NFL leagues. Its viewers also quickly halved from the roughly 3 million who tuned in for the first week’s games in February.  ', 'The National Football League and entities that control college football have better finances and far sturdier support. But the fate of their upcoming seasons also depends on regulations surrounding large gatherings and post-crisis consumer behavior changes. Longer-standing concerns about safety remain, too. As for the XFL, owner and World Wrestling Entertainment Chairman Vince McMahon is hoping to sell it. That may end up a bust. (By Anna Szymanski) ', 'BALANCE SHEET BLUES. Borrowers are rushing to claim their unused bank credit lines, and in large amounts. JPMorgan said on Tuesday that clients claimed $55 billion of undrawn loans in March. At Wells Fargo the number was a potentially inconvenient $80 billion. The Federal Reserve has forbidden the bank from growing its balance sheet as punishment for past bad behavior. Customers’ dash for cash has put it above its limit of just over $1.9 trillion. ', 'Fortunately, Wells Fargo has some leeway: The cap is measured against six-month daily averages. And the Fed has given new boss Charlie Scharf some wiggle room. He can pitch in with the federal bailout of U.S. companies, so long as the bank gives away any fees. But it’s no wonder Scharf is itching to have the cap removed altogether. Standing by some Wells Fargo clients may mean leaving others to fend for themselves. (By John Foley) ', 'SWEETEST TABOO. Renault has offloaded its main joint venture in China just as rival carmakers expect the market to recover from a coronavirus-induced lockdown. The embattled French automaker, whose shares have fallen 56% this year, never really made a dent in the market: The venture sold less than 20,000 cars last year, a fraction of Renault’s 3.75 million global deliveries. Local partner Dongfeng Motor will assume Renault’s share of the loss-making alliance and stop producing Renault-branded vehicles. ', 'It makes sense for acting Chief Executive Clotilde Delbos to cut superfluous losses as she prepares to welcome successor Luca de Meo from Volkswagen. She has already pledged to find 2 billion euros in “no taboo” savings over the next three years. Renault will retain separate Chinese joint ventures in electric cars and vans. But the exit will heighten its dependence on Europe, which already accounts for over half of vehicle sales. (By Christopher Thompson) ', 'TAKING CREDIT. It is getting rough and tumble in mergers and acquisitions. Carlyle just threw a one-two punch at Pioneer Credit, an Australian debt collector that it agreed to buy in December. First, the private equity firm threatened to withdraw A$142 million ($91 million) of funding because of alleged defaults, which Pioneer denies. Then, Carlyle cited breaches and material adverse changes to its A$120 million buyout. It gave its target five days to sort things out. ', 'With all the doubt, Pioneer’s shares tumbled 56% on Tuesday. Pioneer reckons Carlyle is just using the pandemic to squeeze it. That wouldn’t be surprising, even considering Pioneer’s many troubles. As the financial crisis unfolded over a decade ago, several private equity firms tried to back out of deals. And in 2016 Carlyle itself haggled down the original $8 billion price tag for data storage firm Veritas after banks struggled to syndicate the buyout debt in a tough market. Pioneer says it’ll fight back, but it may have a limited amount of leverage. (By Jeffrey Goldfarb) ', 'PINT HALF-EMPTY. Anheuser-Busch InBev halved its dividend and delayed its annual general meeting because of uncertainty caused by the coronavirus crisis. This will save the world’s biggest brewer around $1.1 billion, a small contribution to bringing down its $95.5 billion debt pile. ', 'The good news for AB InBev Chief Executive Carlos Brito is that people are boozing more at home to get through this difficult time: sales have spiked in the United States, AB InBev’s biggest market. But with bars and restaurants shut across much of the world, the overall outlook is dire but uncertain. Even after cutting the dividend, the group is likely way off Brito’s target of bringing net debt below 4 times EBITDA this year: analyst forecasts compiled by Refinitiv put it at 4.9 times. Still, there’s scope for more radical action if the crisis endures. Delaying the payment to June 11 from early May gives Brito time to further trim the dividend if necessary. (By Dasha Afanasieva) ', 'ROSE-TINTED SWAPS. Whoever said central banks were out of ammunition? The perceived riskiness of European companies has fallen sharply in recent days, according to the credit default swap market, boosted by the Federal Reserve’s plans to buy junk-rated debt and hopes the coronavirus crisis is easing. ', 'The Markit iTraxx Crossover index of swaps based on debt issued by European sub-investment grade companies has fallen back to around 460 basis points in morning trading on Tuesday, down from a recent peak of over 700 basis points, according to Refinitiv data. The current spread would be enough to compensate for a default rate of about 8% over the next year, according to Breakingviews calculations. That’s roughly in line with S&P’s forecasts, but far below its more pessimistic scenario of an 11% failure rate. Defaults exceeded 12% in both of the last two credit cycles. (By Neil Unmack)', ""Reuters Breakingviews is the world's leading source of agenda-setting financial insight. As the Reuters brand for financial commentary, we dissect the big business and economic stories as they break around the world every day. A global team of about 30 correspondents in New York, London, Hong Kong and other major cities provides expert analysis in real time."", 'Sign up for a free trial of our full service at ', ' and follow us on Twitter ', ' and at ', '. All opinions expressed are those of the authors.']",0.097,0.843,0.06,-0.9916
https://www.reuters.com/article/renault-ma-dongfeng/renault-sells-its-stake-in-chinese-joint-venture-to-partner-dongfeng-motor-idUSL5N2C20P0,['Renault sells its stake in Chinese joint venture to partner Dongfeng Motor'],"['April 14, 2020 /  5:45 AM / 21 days ago']","['PARIS, April 14 (Reuters) - French carmaker Renault said on Tuesday it was selling out of its stake in a Chinese joint venture with Dongfeng Motor Corporation to Dongfeng, which Renault said would help it maximise synergies with Japanese partner Nissan. ', 'Renault has been one of many leading global automotive companies that has been hit hard by the impact of the coronavirus, which has led to factory closures and a slump in demand. ', 'Renault and Dongfeng said they would continue to cooperate with Nissan on new generation engines such as the supply of components to Dongfeng Renault Automotive Company (DRAC) and diesel licences to Dongfeng Automobile Co Ltd. ', 'Renault and Dongfeng will also co-operate in the field of hi-tech ‘intelligent connected’ vehicles, while Dongfeng Renault Automotive Company (DRAC) will stop its Renault-branded activities. ', '“We are opening a new chapter in China. We will concentrate on electric vehicles and light commercial vehicles, the two main drivers for future clean mobility and more efficiently leverage our relationship with Nissan,” said Francois Provost, chairman of the China region for Renault. (Reporting by Sudip Kar-Gupta; Editing by Raju Gopalakrishnan)']",0.026,0.93,0.044,0.6478
https://www.reuters.com/article/us-health-coronavirus-renault/renault-chairman-could-seek-4-5-billion-euros-worth-of-bank-loans-idUSKCN21S0K7,['Renault chairman: could seek 4-5 billion euros worth of bank loans'],"['April 10, 2020 /  6:28 AM / 25 days ago']","['PARIS (Reuters) - Renault (', ') Chairman Jean-Dominique Senard said on Friday that the carmaker could seek bank loans worth 4-5 billion euros  ($4.4-$5.4 billion). ', '“It could be in that sort of region,” Senard told RTL radio, who also reiterated that Renault was not currently envisaging a scenario whereby the French state would nationalise the company. ', 'On Thursday, Renault cancelled its dividend and said that Senard and interim chief executive officer Clotilde Delbos had agreed to pay cuts, to help finance a solidarity fund for staff affected by the coronavirus crisis. ', 'Reporting by Sudip Kar-Gupta. Editing by Carmel Crimmins']",0.103,0.817,0.081,-0.34
https://www.reuters.com/article/renault-results/renaults-q1-sales-fall-outlook-still-unclear-idUSL5N2CB12W,"[""Renault's Q1 sales fall, outlook still unclear""]","['April 23, 2020 /  5:36 AM / 12 days ago']","['PARIS, April 23 (Reuters) - French carmaker Renault on Thursday posted a 19.2% drop in first-quarter revenue to 10.13 billion euros  ($10.97 billion), and said it was still too early to assess what impact the coronavirus crisis would have on its earnings this year. ', 'The group, which had already cancelled its dividend and suspended its financial guidance, has been hit hard like rivals by the health crisis as demand for cars plummets, while many dealerships and production sites have closed. ', 'Renault said it had 10.3 billion euros of liquidity reserves at end March, 5.5 billion euros less than at the end of 2019. ($1 = 0.9238 euros) (Reporting by Gilles Guillaume and Sarah White; Editing by Himani Sarkar)']",0.141,0.84,0.019,-0.93
https://www.reuters.com/article/us-renault-results/renault-seeks-state-backed-loan-as-coronavirus-crisis-drags-on-idUSKCN2250I9,['Renault seeks state-backed loan as coronavirus crisis drags on'],"['April 23, 2020 /  5:40 AM / 11 days ago']","['PARIS (Reuters) - Renault (', ') is in talks with the French government to secure a state-backed loan worth several billion euros by mid-May to shore up its liquidity during the coronavirus pandemic, the French carmaker said on Thursday. ', 'Interim Chief Executive Clotilde Delbos said Renault, which is 15% owned by the French state, was lining up credit lines and aid when possible, including in France and emerging markets.  ', '“It is our duty to be on the safe side and to cover even black, black, black scenarios,” Delbos said on a call with analysts, adding that it was unclear how long the crisis would last and what impact it would have on earnings this year.  ', 'She said, however, that Renault had enough liquidity to make it through the coronavirus turmoil, including covering a monthly cash burn of 600 million euros ($647 million) linked to the closure of its plants and dealerships during the health crisis.  ', 'The company had 10.3 billion euros of liquidity reserves at the end of March - including an unused 3.5 billion euro credit line - though that was still 5.5 billion euros lower than the end of 2019. The first quarter is traditionally a period when carmakers use cash to boost vehicle stocks.  ', 'Renault shares were up 1.9% at 0903 GMT.  ', 'Sales of Renault vehicles have been hit hard by the pandemic as governments enforce lockdowns around the world. Rivals have reported slumps in sales and some, such as Ford Motor Co. (', ') have also been beefing up their cash reserves. ', 'But the French carmaker was already struggling with faltering demand before the crisis, attracting scrutiny over its cash levels and financial position after posting its first loss in a decade in 2019. ', '“Liquidity remains high in light of cost reduction but leverage concerns unresolved,” analysts at Jefferies said.  ', 'Renault’s Japanese alliance partner Nissan (', ') posted its first quarterly loss in nearly a decade in February and the two are due to present plans to reboot their partnership in May, including industrial projects.     ', 'Delbos said in February that Renault was embarking on a “no taboo” plan to cut 2 billion euros of costs which could include job reductions as it reviewed performance at factories.  ', 'She said on Thursday there were no strings attached to the state-backed loan that would have implications for the plans, bar cancelling dividend payouts, which it has already done.      ', 'Few major French companies have yet tapped this form of state aid, barring consumer electronics retailer Fnac Darty (', '). Air France KLM (', ') is also moving towards a government-backed rescue deal.    ', 'Renault, which has suspended its outlook for 2020, posted a 19.2% drop in first-quarter revenue to 10.13 billion euros. It said it would look to resume production in Europe where possible and was cutting costs in areas such as advertising.      ', 'Renault sold more cars in Russia than in its home market in the first quarter as demand slumped in Europe, the first time France has fallen from the top spot.  ', 'The carmaker benefited slightly from selling more expensive SUV-style models such as the Renault Captur but this was not sufficient to offset tumbling sales volumes.  ', 'Reporting by Gilles Guillaume and Sarah White; Editing by Himani Sarkar, Sherry Jacob-Phillips and David Clarke']",0.073,0.893,0.035,-0.959
