Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-02-25 09:22:00,830.0,830.0,830.0,830.0,1.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2020-02-25 10:48:00,820.0,820.0,820.0,820.0,5.0,-10.0,0,4.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 11:07:00,820.0,820.0,820.0,820.0,2.0,0.0,0,-3.0,0,,,,,,,,,,,,,,,,,,,
2020-02-25 11:18:00,818.0,818.0,816.0,816.0,77.0,-4.0,0,75.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 11:25:00,816.0,816.0,816.0,816.0,1.0,-2.0,0,-76.0,0,,,,,,,,,,,,,,,,,,,
2020-02-25 11:55:00,816.0,816.0,816.0,816.0,20.0,0.0,0,19.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 14:10:00,816.0,816.0,816.0,816.0,5.0,0.0,0,-15.0,0,,,,,,,,,,,,,,,,,,,
2020-02-25 15:59:00,816.0,816.0,816.0,816.0,10.0,0.0,0,5.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 16:00:00,816.0,816.0,816.0,816.0,26.0,0.0,0,16.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 16:14:00,816.0,816.0,816.0,816.0,39.0,0.0,0,13.0,1,,,,,,,,,,,,,,,,,,,
2020-02-25 17:37:00,822.0,822.0,822.0,822.0,0.0,6.0,1,-39.0,0,,,,,,,,,,,,,,,,,,,
