Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-10-30 13:04:00,820.0,828.0,820.0,828.0,76.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 13:05:00,826.0,826.0,826.0,826.0,14.0,6.0,1,-62.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 13:08:00,832.0,832.0,832.0,832.0,10.0,6.0,1,-4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 13:10:00,834.0,834.0,834.0,834.0,10.0,2.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 13:51:00,820.0,820.0,820.0,820.0,10.0,-14.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 13:56:00,820.0,820.0,820.0,820.0,1.0,0.0,0,-9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 14:46:00,828.0,828.0,828.0,828.0,2.0,8.0,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 15:37:00,816.0,816.0,816.0,816.0,9.0,-12.0,0,7.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 16:23:00,812.0,812.0,812.0,812.0,8.0,-4.0,0,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30 17:37:00,814.0,814.0,814.0,814.0,1.0,2.0,1,-7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
