Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-02-05 09:03:00,812.0,818.0,812.0,818.0,17.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 09:24:00,814.0,814.0,812.0,812.0,3.0,0.0,0,-14.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 09:52:00,820.0,820.0,820.0,820.0,1.0,6.0,1,-2.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 09:53:00,822.0,822.0,822.0,822.0,37.0,2.0,1,36.0,1,,,,,,,,,,,,,,,,,,,
2020-02-05 10:41:00,822.0,822.0,822.0,822.0,3.0,0.0,0,-34.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 12:35:00,814.0,814.0,812.0,812.0,4.0,-10.0,0,1.0,1,,,,,,,,,,,,,,,,,,,
2020-02-05 12:38:00,812.0,812.0,812.0,812.0,1.0,-2.0,0,-3.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 12:43:00,812.0,812.0,808.0,808.0,10.0,-4.0,0,9.0,1,,,,,,,,,,,,,,,,,,,
2020-02-05 14:14:00,820.0,824.0,820.0,822.0,290.0,10.0,1,280.0,1,,,,,,,,,,,,,,,,,,,
2020-02-05 14:17:00,826.0,826.0,826.0,826.0,2.0,6.0,1,-288.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 15:32:00,818.0,818.0,816.0,816.0,9.0,-10.0,0,7.0,1,,,,,,,,,,,,,,,,,,,
2020-02-05 17:08:00,822.0,822.0,822.0,822.0,2.0,4.0,1,-7.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 17:21:00,824.0,824.0,824.0,824.0,1.0,2.0,1,-1.0,0,,,,,,,,,,,,,,,,,,,
2020-02-05 17:37:00,824.0,824.0,824.0,824.0,2.0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,,
