Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-01-10 09:01:00,74.49,74.52,74.45,74.52,8649.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:02:00,74.54,74.68,74.54,74.56,3192.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:03:00,74.52,74.58,74.49,74.58,4062.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:04:00,74.56,74.56,74.53,74.53,382.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:05:00,74.52,74.53,74.43,74.47,19040.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:06:00,74.42,74.48,74.41,74.46,9002.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:07:00,74.45,74.53,74.44,74.53,1497.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:08:00,74.51,74.51,74.42,74.43,2881.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:09:00,74.41,74.46,74.38,74.43,3939.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:10:00,74.4,74.4,74.38,74.38,1494.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:11:00,74.37,74.41,74.37,74.39,2372.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:12:00,74.4,74.41,74.37,74.39,1758.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:13:00,74.41,74.42,74.39,74.4,1549.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:14:00,74.39,74.42,74.35,74.42,1404.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:15:00,74.41,74.41,74.38,74.4,1537.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:16:00,74.4,74.42,74.38,74.38,812.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:17:00,74.35,74.39,74.35,74.38,1134.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:18:00,74.41,74.46,74.41,74.46,836.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:19:00,74.46,74.47,74.4,74.43,1179.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:20:00,74.42,74.42,74.38,74.38,385.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:21:00,74.39,74.41,74.37,74.4,4070.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:22:00,74.4,74.4,74.37,74.39,1133.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:23:00,74.4,74.42,74.4,74.4,591.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:24:00,74.38,74.45,74.38,74.44,1492.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:25:00,74.44,74.45,74.42,74.45,1169.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:26:00,74.44,74.44,74.34,74.34,993.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:27:00,74.35,74.35,74.34,74.34,321.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:28:00,74.33,74.36,74.33,74.36,943.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:29:00,74.35,74.35,74.31,74.34,1259.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:30:00,74.37,74.43,74.37,74.43,263.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:31:00,74.45,74.45,74.39,74.39,1515.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:32:00,74.37,74.39,74.37,74.39,818.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:33:00,74.37,74.38,74.37,74.38,174.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:34:00,74.39,74.39,74.37,74.37,255.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:35:00,74.36,74.37,74.36,74.37,514.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:36:00,74.33,74.34,74.31,74.33,1734.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:37:00,74.34,74.35,74.34,74.34,412.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:38:00,74.31,74.32,74.29,74.32,1326.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:39:00,74.3,74.3,74.29,74.29,516.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:40:00,74.3,74.33,74.29,74.33,1978.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:41:00,74.33,74.33,74.32,74.32,4951.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:42:00,74.33,74.33,74.32,74.32,639.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:43:00,74.31,74.31,74.25,74.28,1595.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:44:00,74.26,74.27,74.22,74.27,1949.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:45:00,74.26,74.3,74.26,74.3,223.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:46:00,74.3,74.3,74.29,74.29,571.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:47:00,74.31,74.33,74.31,74.33,428.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:48:00,74.32,74.34,74.31,74.31,1899.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:49:00,74.32,74.33,74.32,74.33,537.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:50:00,74.33,74.38,74.33,74.36,2984.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:51:00,74.36,74.39,74.36,74.39,317.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:52:00,74.39,74.39,74.38,74.38,858.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:53:00,74.38,74.39,74.35,74.35,566.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:54:00,74.37,74.37,74.37,74.37,970.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:55:00,74.35,74.38,74.35,74.35,627.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:56:00,74.36,74.36,74.33,74.34,565.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:57:00,74.34,74.38,74.34,74.37,1111.0,,,,,,,,,,,,,,,,,,,
2020-01-10 09:58:00,74.38,74.42,74.38,74.42,873.0,,,,,,,,,,,,,,,,,,,
