Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-10-04 09:01:00,63.15,63.15,62.94,63.04,36747.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:02:00,63.06,63.06,62.82,62.82,3697.0,-0.3299999999999983,0,-33050.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:03:00,62.81,62.83,62.69,62.81,7586.0,-0.25,0,3889.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:04:00,62.85,62.88,62.83,62.88,3102.0,0.07000000000000027,1,-4484.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:05:00,62.88,62.94,62.81,62.94,2947.0,0.0899999999999963,1,-155.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:06:00,62.92,63.07,62.92,63.07,9770.0,0.18999999999999773,1,6823.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:07:00,63.04,63.12,63.02,63.11,3572.0,0.18999999999999773,1,-6198.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:08:00,63.13,63.13,62.9,62.9,5216.0,-0.14000000000000054,0,1644.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:09:00,62.85,62.94,62.81,62.94,5315.0,-0.19000000000000486,0,99.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:10:00,62.92,62.93,62.85,62.86,2988.0,0.009999999999998009,1,-2327.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:11:00,62.89,62.89,62.77,62.78,2478.0,-0.14000000000000054,0,-510.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:12:00,62.78,62.86,62.71,62.85,3400.0,-0.03999999999999915,0,922.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:13:00,62.85,62.9,62.85,62.89,3628.0,0.10999999999999943,1,228.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:14:00,62.88,62.9,62.86,62.89,1150.0,0.03999999999999915,1,-2478.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:15:00,62.89,62.97,62.88,62.96,3039.0,0.0799999999999983,1,1889.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:16:00,62.97,63.02,62.89,62.89,2466.0,0.0,0,-573.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:17:00,62.88,62.88,62.83,62.83,1703.0,-0.14000000000000054,0,-763.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:18:00,62.8,62.87,62.8,62.84,1877.0,-0.03999999999999915,0,174.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:19:00,62.83,62.85,62.77,62.77,1728.0,-0.02999999999999403,0,-149.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:20:00,62.77,62.77,62.6,62.6,1912.0,-0.2299999999999969,0,184.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:21:00,62.6,62.61,62.47,62.51,17259.0,-0.2600000000000051,0,15347.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:22:00,62.49,62.57,62.49,62.57,2211.0,-0.030000000000001137,0,-15048.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:23:00,62.57,62.58,62.49,62.49,2842.0,0.0,0,631.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:24:00,62.48,62.55,62.48,62.53,2859.0,-0.03999999999999915,0,17.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:25:00,62.49,62.62,62.48,62.59,3283.0,0.11000000000000654,1,424.0,1,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:26:00,62.53,62.53,62.48,62.49,1125.0,0.0,0,-2158.0,0,,,,,,,,,,,,,,,,,,,,,
2019-10-04 09:27:00,62.49,62.55,62.49,62.53,6894.0,0.0,0,5769.0,1,,,,,,,,,,,,,,,,,,,,,
