Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,flair_sentiment_header_score,flair_sentiment_content_score,compound_vader_header,compound_vader_articel_content,polarity_textblob_sentiment_header,polarity_textblob_sentiment_content
2019-01-02,70.63,70.66,68.79,69.74,1429230.0,0.0,0,0.0,0,,,,,,
2019-01-03,69.22,69.81,69.02,69.05,1426463.0,-1.5799999999999983,0,-2767.0,0,,,,,,
2019-01-04,69.8,71.77,69.64,71.71,1857639.0,2.4899999999999953,1,431176.0,1,,,,,,
2019-01-07,71.75,72.32,71.27,72.12,1238553.0,2.3200000000000074,1,-619086.0,0,,,,,,
2019-01-08,71.85,73.68,71.28,72.21,1865750.0,0.4599999999999938,1,627197.0,1,,,,,,
2019-01-09,73.08,73.78,72.32,72.95,1921526.0,1.1000000000000083,1,55776.0,1,,,,,,
2019-01-10,72.4,72.89,71.87,72.53,1569810.0,-0.5499999999999972,0,-351716.0,0,,,,,,
2019-01-11,72.4,72.84,70.63,71.83,2009338.0,-0.5700000000000074,0,439528.0,1,,,,,,
2019-01-14,71.03,72.3,71.03,71.59,1360714.0,-0.8100000000000023,0,-648624.0,0,,,,,,
2019-01-15,72.1,73.23,71.13,71.62,1446376.0,0.5900000000000034,1,85662.0,1,,,,,,
2019-01-16,71.65,71.81,71.05,71.53,1296314.0,-0.5699999999999932,0,-150062.0,0,,,,,,
2019-01-17,70.89,71.43,70.19,71.26,1319472.0,-0.39000000000000057,0,23158.0,1,,,,,,
2019-01-18,71.86,73.62,71.75,73.34,2590438.0,2.450000000000003,1,1270966.0,1,,,,,,
2019-01-21,73.5,73.59,72.71,73.03,739929.0,1.1700000000000017,1,-1850509.0,0,,,,,,
2019-01-22,72.48,72.95,72.3,72.73,1068277.0,-0.769999999999996,0,328348.0,1,,,,,,
2019-01-23,72.0,72.59,71.62,72.23,1380855.0,-0.25,0,312578.0,1,,,,,,
2019-01-24,72.15,73.12,71.9,73.12,1419799.0,1.1200000000000043,1,38944.0,1,,,,,,
2019-01-25,73.5,74.75,73.5,74.35,2173838.0,2.1999999999999886,1,754039.0,1,,,,,,
2019-01-28,74.31,74.47,73.57,73.98,1335145.0,0.4800000000000039,1,-838693.0,0,,,,,,
2019-01-29,73.55,74.45,73.01,73.85,1115739.0,-0.460000000000008,0,-219406.0,0,,,,,,
2019-01-30,73.9,74.14,73.09,73.33,1187607.0,-0.21999999999999886,0,71868.0,1,,,,,,
2019-01-31,74.21,74.62,72.36,73.46,1648320.0,-0.440000000000012,0,460713.0,1,,,,,,
2019-02-01,73.75,74.47,73.28,74.14,1529328.0,-0.06999999999999318,0,-118992.0,0,,,,,,
2019-02-04,73.99,74.25,72.86,73.24,1527571.0,-0.5100000000000051,0,-1757.0,0,,,,,,
2019-02-05,73.61,73.73,73.0,73.61,1579217.0,-0.37999999999999545,0,51646.0,1,,,,,,
2019-02-06,73.39,73.79,72.89,73.65,1290915.0,0.04000000000000625,1,-288302.0,0,,,,,,
2019-02-07,73.2,73.42,71.22,71.22,2602996.0,-2.1700000000000017,0,1312081.0,1,,,,,,
2019-02-08,70.69,70.88,69.01,69.53,2549287.0,-3.6700000000000017,0,-53709.0,0,,,,,,
2019-02-11,69.61,69.99,68.57,69.41,1964372.0,-1.2800000000000011,0,-584915.0,0,,,,,,
2019-02-12,69.95,70.36,69.17,69.91,1725806.0,0.2999999999999972,1,-238566.0,0,,,,,,
2019-02-13,70.5,70.62,69.68,70.39,1785637.0,0.4399999999999977,1,59831.0,1,,,,,,
2019-02-14,71.0,71.11,69.34,69.35,1847105.0,-1.1500000000000057,0,61468.0,1,,,,,,
2019-02-15,69.1,71.16,68.11,70.77,2744797.0,-0.230000000000004,0,897692.0,1,,,,,,
2019-02-18,70.2,71.02,69.96,70.59,1095834.0,1.4900000000000089,1,-1648963.0,0,,,,,,
2019-02-19,70.24,71.2,70.09,71.04,1136405.0,0.8400000000000034,1,40571.0,1,,,,,,
2019-02-20,71.11,73.25,71.11,72.51,2063029.0,2.2700000000000102,1,926624.0,1,,,,,,
2019-02-21,72.55,73.4,72.47,73.12,1637768.0,2.0100000000000047,1,-425261.0,0,,,,,,
2019-02-22,72.97,73.75,72.81,73.13,1312550.0,0.5799999999999983,1,-325218.0,0,,,,,,
2019-02-25,73.79,74.44,73.4,73.7,1786026.0,0.730000000000004,1,473476.0,1,,,,,,
2019-02-26,73.24,74.24,72.91,74.0,1437733.0,0.20999999999999372,1,-348293.0,0,,,,,,
2019-02-27,73.69,74.43,73.5,74.24,1158100.0,1.0,1,-279633.0,0,,,,,,
2019-02-28,73.88,74.45,73.59,74.31,1118481.0,0.6200000000000045,1,-39619.0,0,,,,,,
2019-03-01,74.9,75.54,74.63,74.75,1458575.0,0.8700000000000045,1,340094.0,1,,,,,,
2019-03-04,75.33,75.4,74.57,74.67,990670.0,-0.230000000000004,0,-467905.0,0,,,,,,
2019-03-05,74.5,75.16,74.4,75.06,1167940.0,-0.269999999999996,0,177270.0,1,,,,,,
2019-03-06,74.21,74.81,73.61,74.53,1277239.0,0.030000000000001137,1,109299.0,1,,,,,,
2019-03-07,73.8,73.81,72.3,73.09,1980823.0,-1.1199999999999903,0,703584.0,1,,,,,,
2019-03-08,72.0,72.23,71.41,72.16,1634876.0,-1.6400000000000006,0,-345947.0,0,,,,,,
2019-03-11,72.25,73.23,71.92,73.18,1357029.0,1.1800000000000068,1,-277847.0,0,,,,,,
2019-03-12,73.7,73.94,72.76,73.1,1243429.0,0.8499999999999943,1,-113600.0,0,,,,,,
2019-03-13,72.84,73.77,72.83,73.63,1117529.0,-0.07000000000000739,0,-125900.0,0,,,,,,
2019-03-14,73.74,74.71,73.51,73.78,1541976.0,0.9399999999999976,1,424447.0,1,,,,,,
