Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-23 09:01:00,47.05,47.055,47.0,47.0,34819.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:02:00,47.005,47.005,46.9,46.945,9053.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:03:00,46.965,47.0,46.95,46.96,3496.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:04:00,46.95,46.99,46.95,46.975,8453.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:05:00,46.99,46.99,46.925,46.955,15175.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:06:00,46.96,47.09,46.96,47.025,10699.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:07:00,47.02,47.1,47.005,47.005,7368.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:08:00,47.005,47.06,46.965,47.03,10835.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:09:00,47.015,47.015,46.94,46.94,4385.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:10:00,46.955,46.97,46.9,46.96,11546.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:11:00,46.955,46.96,46.955,46.96,246.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:12:00,46.955,46.97,46.92,46.97,7176.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:13:00,46.98,47.0,46.97,46.97,3201.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:14:00,46.975,46.995,46.975,46.99,7329.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:15:00,47.035,47.045,47.01,47.025,12574.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:16:00,47.035,47.035,46.895,46.91,11177.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:17:00,46.905,46.92,46.88,46.885,14185.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:18:00,46.89,46.9,46.885,46.895,3032.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:19:00,46.905,46.905,46.82,46.82,3252.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:20:00,46.82,46.82,46.735,46.745,8517.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:21:00,46.765,46.785,46.755,46.755,8478.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:22:00,46.76,46.76,46.705,46.71,5013.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:23:00,46.72,46.735,46.625,46.625,25554.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:24:00,46.635,46.67,46.595,46.67,34759.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:25:00,46.66,46.7,46.655,46.7,4508.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:26:00,46.705,46.71,46.67,46.67,2607.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:27:00,46.65,46.655,46.65,46.65,395.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:28:00,46.66,46.705,46.66,46.705,3153.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:29:00,46.71,46.74,46.71,46.74,3534.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:30:00,46.74,46.755,46.595,46.63,10374.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:31:00,46.65,46.655,46.455,46.565,29809.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:32:00,46.59,46.6,46.5,46.56,16532.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:33:00,46.55,46.55,46.49,46.495,9847.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:34:00,46.475,46.49,46.4,46.45,6006.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:35:00,46.44,46.45,46.39,46.425,5823.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:36:00,46.385,46.435,46.385,46.415,9605.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:37:00,46.41,46.415,46.36,46.37,5896.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:38:00,46.37,46.4,46.32,46.335,23404.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:39:00,46.325,46.325,46.26,46.275,6004.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:40:00,46.275,46.295,46.22,46.22,9173.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:41:00,46.22,46.295,46.21,46.285,30745.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:42:00,46.295,46.31,46.25,46.31,6624.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:43:00,46.3,46.355,46.295,46.32,16155.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:44:00,46.305,46.305,46.255,46.285,13165.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:45:00,46.285,46.285,46.23,46.23,15892.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:46:00,46.225,46.245,46.145,46.18,12289.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:47:00,46.18,46.235,46.18,46.235,19719.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:48:00,46.235,46.235,46.17,46.185,5494.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:49:00,46.18,46.2,46.175,46.2,5627.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:50:00,46.2,46.29,46.195,46.265,7663.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:51:00,46.27,46.27,46.22,46.24,5436.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:52:00,46.245,46.255,46.21,46.215,21578.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:53:00,46.21,46.225,46.2,46.2,4086.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:54:00,46.205,46.22,46.19,46.195,3541.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:55:00,46.18,46.18,46.1,46.13,14992.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:56:00,46.15,46.165,46.085,46.095,11098.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:57:00,46.105,46.135,46.105,46.12,9271.0,,,,,,,,,,,,,,,,,,,
2019-09-23 09:58:00,46.12,46.13,46.005,46.01,7312.0,,,,,,,,,,,,,,,,,,,
