Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-02-17 09:01:00,160.6,161.5,160.4,161.3,10999.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:02:00,161.2,161.2,161.05,161.05,263.0,0.45000000000001705,1,-10736.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:03:00,161.0,161.2,160.65,160.75,2103.0,-0.44999999999998863,0,1840.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:04:00,160.65,160.9,160.65,160.85,1173.0,-0.15000000000000568,0,-930.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:05:00,160.95,160.95,160.9,160.9,159.0,0.25,1,-1014.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:06:00,160.95,161.2,160.95,161.1,4213.0,0.15000000000000568,1,4054.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:07:00,161.1,161.1,161.0,161.0,434.0,0.05000000000001137,1,-3779.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:08:00,161.0,161.0,161.0,161.0,8.0,-0.09999999999999433,0,-426.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:09:00,161.0,161.0,160.7,160.85,3061.0,-0.15000000000000568,0,3053.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:10:00,160.75,160.75,160.6,160.6,387.0,-0.4000000000000057,0,-2674.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:11:00,160.65,160.75,160.6,160.75,3129.0,0.0,0,2742.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:12:00,160.8,160.8,160.7,160.8,700.0,0.15000000000000568,1,-2429.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:13:00,160.7,160.8,160.65,160.8,404.0,0.0,0,-296.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:14:00,160.7,160.75,160.7,160.7,173.0,0.0,0,-231.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:15:00,160.75,160.8,160.75,160.8,463.0,0.10000000000002274,1,290.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:16:00,160.75,160.75,160.65,160.75,427.0,0.0,0,-36.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:17:00,160.7,160.75,160.7,160.7,308.0,-0.05000000000001137,0,-119.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:18:00,160.75,160.8,160.75,160.75,1097.0,0.05000000000001137,1,789.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:19:00,160.7,160.75,160.65,160.7,235.0,-0.05000000000001137,0,-862.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:20:00,160.75,160.8,160.7,160.7,322.0,0.0,0,87.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:21:00,160.75,160.8,160.65,160.65,238.0,-0.09999999999999433,0,-84.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:22:00,160.8,160.85,160.8,160.85,812.0,0.09999999999999433,1,574.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:23:00,160.8,160.85,160.8,160.85,243.0,0.04999999999998295,1,-569.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:24:00,160.85,160.85,160.85,160.85,461.0,0.04999999999998295,1,218.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:25:00,160.8,160.85,160.75,160.75,235.0,-0.09999999999999433,0,-226.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:26:00,160.85,161.0,160.85,161.0,2102.0,0.19999999999998866,1,1867.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:27:00,161.05,161.05,160.8,160.85,859.0,0.0,0,-1243.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:28:00,160.85,160.85,160.8,160.85,271.0,-0.20000000000001705,0,-588.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:29:00,160.85,160.95,160.75,160.8,1672.0,-0.04999999999998295,0,1401.0,1,,,,,,,,,,,,,,,,,,,
2020-02-17 09:30:00,160.8,160.95,160.8,160.9,1010.0,0.05000000000001137,1,-662.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:31:00,160.9,160.95,160.85,160.95,814.0,0.14999999999997726,1,-196.0,0,,,,,,,,,,,,,,,,,,,
2020-02-17 09:32:00,161.0,161.0,160.95,160.95,1994.0,0.04999999999998295,1,1180.0,1,,,,,,,,,,,,,,,,,,,
