Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,flair_sentiment_header_score,flair_sentiment_content_score,compound_vader_header,compound_vader_articel_content,polarity_textblob_sentiment_header,polarity_textblob_sentiment_content
2019-01-02,18.435,18.435,17.87,18.12,1934035.0,0.0,0,0.0,0,,,,,,
2019-01-03,17.955,18.285,17.89,18.005,1792246.0,-0.4299999999999997,0,-141789.0,0,,,,,,
2019-01-04,18.175,18.905,18.075,18.905,2750582.0,0.9500000000000028,1,958336.0,1,,,,,,
2019-01-07,18.94,19.415,18.94,19.385,2536729.0,1.2100000000000009,1,-213853.0,0,,,,,,
2019-01-08,19.38,19.885,19.265,19.635,3261137.0,0.6950000000000003,1,724408.0,1,,,,,,
2019-01-09,19.875,20.27,19.57,19.795,2997551.0,0.4150000000000027,1,-263586.0,0,,,,,,
2019-01-10,19.595,20.07,19.395,20.07,2446236.0,0.19500000000000028,1,-551315.0,0,,,,,,
2019-01-11,20.16,20.44,19.935,20.31,2658444.0,0.7149999999999999,1,212208.0,1,,,,,,
2019-01-14,20.07,20.5,19.95,20.37,1869685.0,0.21000000000000085,1,-788759.0,0,,,,,,
2019-01-15,20.59,20.86,20.13,20.64,3648430.0,0.5700000000000003,1,1778745.0,1,,,,,,
2019-01-16,20.61,21.38,20.59,21.32,4033171.0,0.7300000000000004,1,384741.0,1,,,,,,
2019-01-17,21.2,21.31,20.84,21.09,2482361.0,0.4800000000000004,1,-1550810.0,0,,,,,,
2019-01-18,21.3,21.59,21.07,21.33,2406143.0,0.129999999999999,1,-76218.0,0,,,,,,
2019-01-21,21.31,21.39,21.19,21.25,1263187.0,-0.05000000000000071,0,-1142956.0,0,,,,,,
2019-01-22,21.15,21.37,21.09,21.34,1756827.0,0.030000000000001137,1,493640.0,1,,,,,,
2019-01-23,21.24,21.28,20.89,21.0,3242209.0,-0.14999999999999858,0,1485382.0,1,,,,,,
2019-01-24,20.86,21.57,20.79,21.57,2130007.0,0.33000000000000185,1,-1112202.0,0,,,,,,
2019-01-25,21.69,21.95,21.69,21.93,2518674.0,1.0700000000000005,1,388667.0,1,,,,,,
2019-01-28,21.74,21.99,21.56,21.58,2014747.0,-0.11000000000000297,0,-503927.0,0,,,,,,
2019-01-29,21.51,22.04,21.19,21.69,2281409.0,-0.049999999999997165,0,266662.0,1,,,,,,
2019-01-30,21.88,22.01,21.64,21.86,1739823.0,0.3499999999999979,1,-541586.0,0,,,,,,
2019-01-31,21.88,22.23,21.59,21.99,2476121.0,0.10999999999999943,1,736298.0,1,,,,,,
2019-02-01,22.2,22.42,22.02,22.24,1929049.0,0.35999999999999943,1,-547072.0,0,,,,,,
2019-02-04,22.23,22.35,21.72,21.89,1765704.0,-0.3099999999999987,0,-163345.0,0,,,,,,
2019-02-05,21.99,22.08,21.67,21.92,1369292.0,-0.3099999999999987,0,-396412.0,0,,,,,,
2019-02-06,21.81,21.91,21.49,21.56,2700591.0,-0.4299999999999997,0,1331299.0,1,,,,,,
2019-02-07,21.48,21.63,20.92,20.92,3709449.0,-0.889999999999997,0,1008858.0,1,,,,,,
2019-02-08,20.81,21.14,20.51,20.62,2538835.0,-0.8599999999999994,0,-1170614.0,0,,,,,,
2019-02-11,20.75,21.2,20.74,21.08,2368848.0,0.2699999999999996,1,-169987.0,0,,,,,,
2019-02-12,21.64,21.9,21.5,21.68,2976075.0,0.9299999999999996,1,607227.0,1,,,,,,
2019-02-13,21.8,21.88,21.36,21.39,2408846.0,-0.25,0,-567229.0,0,,,,,,
2019-02-14,21.47,21.68,20.87,20.93,2512137.0,-0.870000000000001,0,103291.0,1,,,,,,
2019-02-15,20.55,21.36,20.37,21.29,3170530.0,-0.17999999999999972,0,658393.0,1,,,,,,
2019-02-18,21.23,21.47,21.08,21.37,1770806.0,0.8200000000000003,1,-1399724.0,0,,,,,,
2019-02-19,21.31,21.68,21.24,21.57,1746433.0,0.33999999999999986,1,-24373.0,0,,,,,,
2019-02-20,21.67,22.2,21.61,22.18,2970438.0,0.870000000000001,1,1224005.0,1,,,,,,
2019-02-21,22.24,22.41,22.14,22.35,2014598.0,0.6799999999999997,1,-955840.0,0,,,,,,
2019-02-22,22.24,22.47,22.13,22.31,1546664.0,0.07000000000000027,1,-467934.0,0,,,,,,
2019-02-25,22.5,22.87,22.36,22.76,2635966.0,0.5200000000000031,1,1089302.0,1,,,,,,
2019-02-26,22.52,22.55,21.57,22.09,5070481.0,-0.41000000000000014,0,2434515.0,1,,,,,,
2019-02-27,22.0,22.68,21.88,22.5,3406373.0,-0.01999999999999957,0,-1664108.0,0,,,,,,
2019-02-28,22.25,22.44,22.22,22.36,2460117.0,0.35999999999999943,1,-946256.0,0,,,,,,
2019-03-01,22.52,23.14,22.46,22.81,3349658.0,0.5599999999999987,1,889541.0,1,,,,,,
2019-03-04,23.1,23.25,22.94,23.08,2666998.0,0.5599999999999987,1,-682660.0,0,,,,,,
2019-03-05,22.95,23.05,22.64,22.8,2542961.0,-0.3000000000000007,0,-124037.0,0,,,,,,
2019-03-06,22.6,22.66,22.18,22.21,2780940.0,-0.7399999999999984,0,237979.0,1,,,,,,
2019-03-07,22.02,22.05,21.32,21.35,3983952.0,-1.25,0,1203012.0,1,,,,,,
2019-03-08,21.08,21.32,20.84,21.13,3042043.0,-0.8900000000000006,0,-941909.0,0,,,,,,
2019-03-11,21.13,21.57,21.12,21.55,1837410.0,0.4700000000000024,1,-1204633.0,0,,,,,,
2019-03-12,21.66,21.82,21.39,21.39,1944705.0,0.2600000000000016,1,107295.0,1,,,,,,
2019-03-13,21.31,21.65,21.29,21.65,2033407.0,-0.010000000000001565,0,88702.0,1,,,,,,
2019-03-14,21.61,22.0,21.61,21.87,2283988.0,0.5600000000000023,1,250581.0,1,,,,,,
2019-03-15,21.82,22.22,21.75,22.16,3422391.0,0.5500000000000007,1,1138403.0,1,,,,,,
2019-03-18,22.16,22.54,22.15,22.28,1554509.0,0.4600000000000009,1,-1867882.0,0,,,,,,
2019-03-19,22.29,22.94,22.21,22.89,2641384.0,0.7300000000000004,1,1086875.0,1,,,,,,
2019-03-20,22.88,22.95,22.15,22.15,2255813.0,-0.14000000000000054,0,-385571.0,0,,,,,,
2019-03-21,22.11,22.5,22.02,22.2,1197216.0,-0.6799999999999997,0,-1058597.0,0,,,,,,
2019-03-22,22.32,22.4,21.68,21.75,2231849.0,-0.35999999999999943,0,1034633.0,1,,,,,,
2019-03-25,21.46,21.75,20.76,21.12,2788682.0,-1.1999999999999993,0,556833.0,1,,,,,,
2019-03-26,21.27,21.36,20.9,21.06,2117130.0,-0.4000000000000021,0,-671552.0,0,,,,,,
2019-03-27,21.19,21.94,21.12,21.63,2983354.0,0.35999999999999943,1,866224.0,1,,,,,,
2019-03-28,21.6,21.71,21.32,21.32,1690407.0,0.129999999999999,1,-1292947.0,0,,,,,,
2019-03-29,21.52,21.84,21.5,21.74,2210294.0,0.13999999999999702,1,519887.0,1,,,,,,
2019-04-01,22.04,22.65,22.0,22.65,2616658.0,1.129999999999999,1,406364.0,1,,,,,,
2019-04-02,22.74,23.1,22.44,23.03,2624925.0,0.9900000000000021,1,8267.0,1,,,,,,
2019-04-03,23.02,23.54,23.0,23.23,2677915.0,0.490000000000002,1,52990.0,1,,,,,,
2019-04-04,23.11,23.41,22.86,23.31,2168781.0,0.28999999999999915,1,-509134.0,0,,,,,,
2019-04-05,23.31,23.42,23.23,23.23,1806107.0,0.12000000000000098,1,-362674.0,0,,,,,,
2019-04-08,23.0,23.3,22.9,23.17,1948164.0,-0.13999999999999702,0,142057.0,1,,,,,,
2019-04-09,23.04,23.47,22.88,22.95,1741340.0,-0.05000000000000071,0,-206824.0,0,,,,,,
2019-04-10,22.9,23.23,22.81,22.91,2130071.0,-0.129999999999999,0,388731.0,1,,,,,,
2019-04-11,23.04,23.57,23.04,23.48,2417850.0,0.5800000000000018,1,287779.0,1,,,,,,
2019-04-12,23.45,24.09,23.32,23.93,2567227.0,0.8900000000000006,1,149377.0,1,,,,,,
2019-04-15,23.9,24.14,23.84,24.09,1546779.0,0.6400000000000006,1,-1020448.0,0,,,,,,
2019-04-16,24.15,24.47,24.13,24.21,2078137.0,0.3100000000000023,1,531358.0,1,,,,,,
2019-04-17,24.31,24.73,24.24,24.55,1998465.0,0.4000000000000021,1,-79672.0,0,,,,,,
2019-04-18,24.6,25.02,24.44,24.83,2829011.0,0.5199999999999996,1,830546.0,1,,,,,,
2019-04-23,24.77,24.99,24.57,24.71,2575096.0,0.10999999999999943,1,-253915.0,0,,,,,,
2019-04-24,24.4,24.79,24.02,24.29,3183158.0,-0.4800000000000004,0,608062.0,1,,,,,,
2019-04-25,23.86,24.21,23.29,23.55,3063508.0,-0.8499999999999979,0,-119650.0,0,,,,,,
2019-04-26,23.59,23.7,23.26,23.27,2267394.0,-0.5899999999999999,0,-796114.0,0,,,,,,
2019-04-29,23.26,23.55,23.26,23.37,1722705.0,-0.21999999999999886,0,-544689.0,0,,,,,,
2019-04-30,23.25,23.43,22.92,23.36,2202585.0,0.09999999999999787,1,479880.0,1,,,,,,
2019-05-02,22.95,23.1,22.6,22.9,2322792.0,-0.3500000000000014,0,120207.0,1,,,,,,
2019-05-03,22.78,22.86,22.5,22.64,1447877.0,-0.3099999999999987,0,-874915.0,0,,,,,,
2019-05-06,22.1,22.16,21.68,22.16,2057375.0,-0.620000000000001,0,609498.0,1,,,,,,
2019-05-07,22.02,22.23,21.62,21.76,2170486.0,-0.33999999999999986,0,113111.0,1,,,,,,
2019-05-08,21.73,21.97,21.57,21.78,1864781.0,-0.23999999999999844,0,-305705.0,0,,,,,,
2019-05-09,21.5,21.65,21.14,21.24,2772657.0,-0.490000000000002,0,907876.0,1,,,,,,
2019-05-10,21.39,21.65,20.92,21.16,1925393.0,-0.33999999999999986,0,-847264.0,0,,,,,,
2019-05-13,21.06,21.06,20.41,20.62,2536090.0,-0.7699999999999996,0,610697.0,1,,,,,,
2019-05-14,20.73,21.07,20.5,21.07,2938206.0,0.010000000000001565,1,402116.0,1,,,,,,
2019-05-15,21.22,21.58,20.72,21.41,3131605.0,0.6799999999999997,1,193399.0,1,,,,,,
2019-05-16,21.39,21.4,20.9,21.36,3130775.0,0.14000000000000054,1,-830.0,0,,,,,,
