Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-11-12 09:01:00,24.19,24.21,24.14,24.14,42595.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:02:00,24.16,24.26,24.16,24.26,21585.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:03:00,24.26,24.28,24.25,24.28,3595.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:04:00,24.29,24.29,24.24,24.24,2351.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:05:00,24.24,24.27,24.22,24.23,9879.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:06:00,24.22,24.24,24.18,24.18,16696.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:07:00,24.16,24.18,24.13,24.17,4439.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:08:00,24.16,24.18,24.15,24.16,3422.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:09:00,24.16,24.18,24.14,24.17,5475.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:10:00,24.17,24.22,24.17,24.22,3432.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:11:00,24.22,24.24,24.22,24.22,7297.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:12:00,24.22,24.25,24.22,24.24,10959.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:13:00,24.24,24.26,24.24,24.26,2470.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:14:00,24.25,24.27,24.25,24.26,4877.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:15:00,24.26,24.27,24.26,24.26,3464.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:16:00,24.26,24.28,24.25,24.28,15272.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:17:00,24.27,24.29,24.24,24.24,22120.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:18:00,24.25,24.25,24.22,24.23,4009.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:19:00,24.24,24.25,24.23,24.23,4269.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:20:00,24.23,24.23,24.23,24.23,1184.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:21:00,24.23,24.23,24.22,24.22,4783.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:22:00,24.21,24.21,24.19,24.2,10057.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:23:00,24.19,24.19,24.17,24.17,8180.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:24:00,24.17,24.18,24.16,24.16,2997.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:25:00,24.15,24.15,24.13,24.14,8637.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:26:00,24.14,24.14,24.11,24.12,7800.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:27:00,24.12,24.12,24.12,24.12,2311.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:28:00,24.12,24.12,24.11,24.12,1324.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:29:00,24.12,24.15,24.12,24.15,2586.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:30:00,24.15,24.16,24.15,24.16,1351.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:31:00,24.16,24.16,24.13,24.13,3289.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:32:00,24.12,24.13,24.09,24.13,7432.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:33:00,24.13,24.13,24.13,24.13,6.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:34:00,24.13,24.14,24.13,24.14,2375.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:35:00,24.14,24.15,24.13,24.13,3249.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:36:00,24.14,24.14,24.13,24.13,3737.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:37:00,24.13,24.13,24.08,24.08,3483.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:38:00,24.08,24.08,24.07,24.07,4030.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:39:00,24.07,24.08,24.07,24.08,2032.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:40:00,24.08,24.08,24.08,24.08,361.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:41:00,24.09,24.09,24.06,24.07,2456.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:42:00,24.06,24.06,24.04,24.06,11149.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:43:00,24.08,24.09,24.08,24.08,1873.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:44:00,24.08,24.08,24.08,24.08,37.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:45:00,24.08,24.1,24.08,24.1,1081.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:46:00,24.1,24.1,24.1,24.1,203.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:47:00,24.1,24.11,24.1,24.11,1664.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:48:00,24.11,24.14,24.11,24.13,3509.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:49:00,24.13,24.17,24.13,24.17,1710.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:50:00,24.17,24.2,24.17,24.2,6467.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:51:00,24.21,24.21,24.2,24.21,1536.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:52:00,24.19,24.19,24.19,24.19,2367.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:53:00,24.18,24.19,24.18,24.19,1365.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:54:00,24.2,24.2,24.17,24.17,8575.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:55:00,24.16,24.16,24.15,24.15,3836.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:56:00,24.14,24.17,24.14,24.15,4000.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:57:00,24.15,24.15,24.15,24.15,81.0,,,,,,,,,,,,,,,,,,,
2019-11-12 09:59:00,24.17,24.17,24.17,24.17,849.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:00:00,24.17,24.17,24.17,24.17,2061.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:01:00,24.17,24.19,24.17,24.19,2132.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:02:00,24.19,24.19,24.16,24.17,4077.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:03:00,24.17,24.2,24.17,24.19,24139.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:04:00,24.2,24.21,24.2,24.21,969.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:05:00,24.2,24.2,24.2,24.2,976.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:06:00,24.19,24.19,24.18,24.18,525.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:07:00,24.19,24.2,24.19,24.2,1980.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:08:00,24.2,24.2,24.2,24.2,1524.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:09:00,24.21,24.29,24.21,24.25,30453.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:10:00,24.26,24.26,24.24,24.24,4619.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:11:00,24.23,24.23,24.22,24.23,8540.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:12:00,24.22,24.22,24.21,24.21,2448.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:13:00,24.23,24.24,24.23,24.23,4092.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:14:00,24.23,24.25,24.23,24.25,2427.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:15:00,24.26,24.26,24.23,24.25,6496.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:16:00,24.25,24.25,24.24,24.24,506.0,,,,,,,,,,,,,,,,,,,
2019-11-12 10:17:00,24.24,24.26,24.24,24.25,4456.0,,,,,,,,,,,,,,,,,,,
