Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2020-03-19 09:05:00,31.0,31.0,30.3,30.32,45659.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:06:00,30.31,30.31,29.7,29.76,14115.0,-1.2399999999999984,0,-31544.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:07:00,29.64,29.76,29.5,29.58,3032.0,-0.7300000000000004,0,-11083.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:09:00,29.5,29.77,29.3,29.3,22623.0,-0.33999999999999986,0,19591.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:10:00,29.3,29.68,29.3,29.51,10501.0,0.010000000000001565,1,-12122.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:11:00,29.53,29.6,29.15,29.35,11540.0,0.05000000000000071,1,1039.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:12:00,29.59,29.6,29.42,29.6,1254.0,0.07000000000000027,1,-10286.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:13:00,29.79,29.79,29.51,29.67,1760.0,0.08000000000000185,1,506.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:14:00,29.59,29.67,29.4,29.4,11251.0,-0.39000000000000057,0,9491.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:15:00,29.3,29.31,29.15,29.31,8014.0,-0.28000000000000114,0,-3237.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:16:00,29.43,29.58,29.43,29.45,1592.0,0.14999999999999858,1,-6422.0,0,,,,,,,,,,,,,,,,,,,
2020-03-19 09:17:00,29.57,29.62,29.47,29.55,5575.0,0.12000000000000098,1,3983.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:18:00,29.5,29.6,29.38,29.55,6004.0,-0.01999999999999957,0,429.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:19:00,29.55,29.57,29.45,29.45,7904.0,-0.05000000000000071,0,1900.0,1,,,,,,,,,,,,,,,,,,,
2020-03-19 09:20:00,29.39,29.39,29.2,29.34,10021.0,-0.21000000000000085,0,2117.0,1,,,,,,,,,,,,,,,,,,,
