Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-10-28 09:01:00,173.0,173.22,172.76,173.02,15261.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:02:00,173.02,173.2,173.02,173.2,3171.0,0.19999999999998866,1,-12090.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:03:00,173.22,173.8,173.18,173.62,5031.0,0.5999999999999943,1,1860.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:04:00,173.68,173.9,173.64,173.8,2570.0,0.5800000000000125,1,-2461.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:05:00,173.72,173.8,173.58,173.7,2763.0,0.01999999999998181,1,193.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:06:00,173.68,174.0,173.48,173.88,4389.0,0.1599999999999966,1,1626.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:07:00,173.94,174.1,173.76,174.1,3287.0,0.4199999999999875,1,-1102.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:08:00,174.06,174.06,173.82,173.94,1508.0,0.0,0,-1779.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:09:00,173.96,174.06,173.96,174.06,3132.0,0.0,0,1624.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:10:00,174.06,174.2,173.98,174.2,1461.0,0.2399999999999807,1,-1671.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:11:00,174.2,174.36,174.2,174.22,3341.0,0.1599999999999966,1,1880.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:12:00,174.22,174.48,174.16,174.38,3258.0,0.18000000000000682,1,-83.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:13:00,174.4,174.62,174.4,174.56,2128.0,0.3400000000000034,1,-1130.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:14:00,174.6,174.76,174.44,174.72,3951.0,0.3199999999999932,1,1823.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:15:00,174.76,174.88,174.66,174.66,4519.0,0.060000000000002274,1,568.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:16:00,174.7,174.82,174.6,174.64,2664.0,-0.12000000000000455,0,-1855.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:17:00,174.62,174.62,174.24,174.38,2381.0,-0.3199999999999932,0,-283.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:18:00,174.4,174.46,174.18,174.38,3097.0,-0.2400000000000091,0,716.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:19:00,174.34,174.44,174.3,174.38,1470.0,-0.020000000000010232,0,-1627.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:20:00,174.44,174.64,174.44,174.6,4157.0,0.2599999999999909,1,2687.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:21:00,174.62,174.72,174.48,174.52,1767.0,0.0800000000000125,1,-2390.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:22:00,174.54,174.56,174.46,174.5,566.0,-0.12000000000000455,0,-1201.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:23:00,174.5,174.5,174.26,174.38,7048.0,-0.1599999999999966,0,6482.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:24:00,174.38,174.38,174.24,174.3,2349.0,-0.19999999999998866,0,-4699.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:25:00,174.32,174.38,174.16,174.2,2361.0,-0.18000000000000682,0,12.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:26:00,174.14,174.18,174.06,174.14,1684.0,-0.18000000000000682,0,-677.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:27:00,174.14,174.14,174.0,174.04,812.0,-0.09999999999999433,0,-872.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:28:00,174.1,174.1,173.94,173.94,2156.0,-0.19999999999998866,0,1344.0,1,,,,,,,,,,,,,,,,,,,
2019-10-28 09:29:00,173.96,174.06,173.78,173.78,1572.0,-0.3199999999999932,0,-584.0,0,,,,,,,,,,,,,,,,,,,
2019-10-28 09:30:00,173.84,173.92,173.84,173.9,1193.0,-0.060000000000002274,0,-379.0,0,,,,,,,,,,,,,,,,,,,
