Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 09:01:00,146.76,146.76,146.6,146.7,1701.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:02:00,146.52,146.52,146.44,146.44,282.0,-0.3199999999999932,0,-1419.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:03:00,146.36,146.76,146.36,146.74,768.0,0.21999999999999886,1,486.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:04:00,146.82,146.94,146.76,146.94,2265.0,0.5799999999999841,1,1497.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:05:00,146.9,146.92,146.52,146.52,2240.0,-0.2999999999999829,0,-25.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:06:00,146.58,146.74,146.48,146.74,3157.0,-0.1599999999999966,0,917.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:07:00,146.56,146.62,146.44,146.56,3205.0,-0.020000000000010232,0,48.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:08:00,146.5,146.64,146.46,146.64,625.0,0.07999999999998407,1,-2580.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:09:00,146.62,146.62,146.52,146.52,1251.0,0.020000000000010232,1,626.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:10:00,146.54,146.68,146.54,146.56,536.0,-0.060000000000002274,0,-715.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:11:00,146.52,146.56,146.5,146.56,524.0,0.020000000000010232,1,-12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:12:00,146.52,146.52,146.44,146.52,338.0,0.0,0,-186.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:13:00,146.44,146.44,146.24,146.24,1971.0,-0.28000000000000114,0,1633.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:14:00,146.22,146.22,146.06,146.18,2218.0,-0.2599999999999909,0,247.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:15:00,146.22,146.38,146.22,146.36,787.0,0.14000000000001478,1,-1431.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:16:00,146.32,146.34,146.22,146.32,1046.0,0.09999999999999433,1,259.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:17:00,146.28,146.28,146.12,146.22,2806.0,-0.09999999999999433,0,1760.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:18:00,146.2,146.26,146.08,146.1,867.0,-0.18000000000000682,0,-1939.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:19:00,146.14,146.2,146.1,146.12,1647.0,-0.07999999999998407,0,780.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:20:00,146.0,146.04,145.9,145.98,2474.0,-0.1599999999999966,0,827.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:21:00,145.98,146.04,145.88,146.04,1043.0,0.039999999999992035,1,-1431.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:22:00,145.98,146.18,145.98,146.16,2562.0,0.18000000000000682,1,1519.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:23:00,146.16,146.2,146.16,146.2,586.0,0.21999999999999886,1,-1976.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:24:00,146.18,146.18,146.06,146.1,1209.0,-0.060000000000002274,0,623.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:25:00,146.18,146.18,145.96,146.06,1005.0,-0.12000000000000455,0,-204.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 09:26:00,146.06,146.08,146.06,146.08,424.0,-0.09999999999999433,0,-581.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
