url,header,release time,article content,formatted date,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
https://www.reuters.com/article/us-turkey-competition-germany-autos/turkish-competition-board-launches-probe-into-audi-porsche-vw-mercedes-benz-and-bmw-idUSKBN24267E,"['Turkish competition board launches probe into Audi, Porsche, VW, Mercedes-Benz and BMW']","['July 1, 2020 /  2:25 PM / a month ago']","['ISTANBUL (Reuters) - The Turkish Competition Board said on Wednesday that it launched an investigation into German carmakers Audi, Porsche, Volkswagen, Mercedes-Benz and BMW to determine whether they violated competition law. ', 'The competition board said findings regarding claims on the companies’ actions on security cooperation, environment cooperation and sharing competition-sensitive information were determined to be adequate to start an investigation. ', 'Reporting by Ebru Tuncay; Writing by Ezgi Erkoyun; Editing by Daren Butler']",2020-07-01 14:25:00,0.0,1.0,0.0,0.0,0.042,0.823,0.135,0.6808
https://www.reuters.com/article/us-health-coronavirus-volkswagen/german-carmakers-to-resume-production-as-lockdowns-ease-idUSKCN21X2V8,['German carmakers to resume production as lockdowns ease'],"['April 15, 2020 /  5:45 PM / in 2 months']","['FRANKFURT (Reuters) - German carmakers including Volkswagen (', ') and Mercedes-Benz (', ') will restart production at some German factories next week after the country eased restrictions designed to contain the coronavirus outbreak. ', 'Chancellor Angela Merkel on Wednesday said that Germany has achieved a “fragile intermediate success” in its the fight against the coronavirus and that its emergence from lockdown would begin with the partial reopening of shops next week and schools from May 4. ', 'Unlike Italy and Spain, Germany never banned car production, though factories came to a standstill after authorities restricted the movement of people and ordered the closure of car dealerships, hitting demand.         ', 'Volkswagen said it will start producing cars for its core brand in Zwickau, Germany, and in Bratislava, Slovakia, on April 20.  ', 'Plants in Russia, Spain, Portugal and the United States will ramp up production from April 27 onwards, joined by factories in South Africa, Argentina, Brazil and Mexico in May.  ', '“With the decisions by the federal and state governments in Germany and the loosening of restrictions in other European states, conditions have been established for the gradual resumption of production,” Ralf Brandstaetter, Chief Operating Officer of the Volkswagen brand, said in a statement.  ', 'The carmaker has retooled production to ensure that workers keep 1.5 metres apart. Other measures include the staggering of shifts and lunch breaks, plus steps to change worker interaction in VW’s supply chain. ', 'Bernd Osterloh, Chairman of the company’s Works Council, said: “In the light of the pandemic, we need to adapt our routines. One answer is our new agreement on health protection. With about 100 measures, we are keeping the risk of infection at Volkswagen as low as possible.” ', 'In China, where a Volkswagen has already implemented health measures, 32 of the 33 plants have resumed production and no coronavirus infections among employees have been reported. ', 'Mercedes-Benz parent Daimler said that its plants in Hamburg, Berlin and Untertuerkheim will resume production next week. Its Berlin plant makes engine-management systems for vehicles sold in China.  ', 'Production will initially start in a one-shift system, Daimler said, with plants in Sindelfingen and Bremen also making preparations to ramp up production. ', 'German peer BMW (', ') said it had no information about the timetable for resuming production. The Munich-based manufacturer has suspended production until end of April. ', 'Reporting by Edward Taylor and Jan Schwartz; Editing by David Goodman and Jane Merriman']",2020-04-15 17:45:00,0.0,1.0,0.0,0.0,0.044,0.925,0.031,-0.4802
https://www.reuters.com/article/us-health-coronavirus-volkswagen-mexico/volkswagen-to-close-factories-in-mexico-to-protect-public-health-idUSKBN21801M,['Volkswagen to close factories in Mexico to protect public health'],"['March 21, 2020 /  1:08 AM / a month ago']","['MEXICO CITY (Reuters) - German automaker Volkswagen will temporarily close its factories in Mexico’s Puebla and Guanajuato states in a bid to preserve public health, the company’s Mexican unit said in a statement on Friday, amid growing worries over the spread of the coronavirus. ', 'The shutdowns will take effect on March 30 and extend through April 12, according to the statement. ', 'The company also pointed to slowing demand and the risk of shortages of parts as factors in the decision to suspend production in the factories. ', 'Another German carmaker also with operations in Mexico, BMW, said in a statement late on Friday that it would extend an already-scheduled Easter stoppage at its factory in San Luis Potosi state.  ', 'The stoppage is set to begin on March 28 and will now extend at least through April 19. ', 'The two automakers’ decisions follow other measures taken broadly by companies in Mexico, including an emphasis on working from home if possible as well as restrictions on travel and in-person group meetings. ', 'Reporting by David Alire Garcia and Sharay Angulo; Editing by Daniel Wallis and Gerry Doyle']",2020-03-21 01:08:00,0.0,0.776,0.224,0.3818,0.053,0.901,0.046,-0.34
https://www.reuters.com/article/us-health-coronavirus-germany-automakers/german-carmakers-had-crisis-call-with-merkel-handelsblatt-idUSKBN21K1EB,['German carmakers had crisis call with Merkel: Handelsblatt'],"['April 2, 2020 /  10:33 AM / a month ago']","['HAMBURG (Reuters) - The bosses of Volkswagen (', '), BMW (', ') and Daimler (', ') held a crisis call with German Chancellor Angela Merkel on Wednesday to discuss how to get production restarted, Germany’s Handelsblatt newspaper reported on Thursday. ', 'Carmakers have halted production at some sites as governments around the world have imposed lockdowns on their populations in response to the coronavirus outbreak. ', 'Volkswagen Chief Executive Herbert Diess last week said the carmaker might have to cut jobs if the pandemic is not brought under control as it is still spending about 2 billion euros ($2.18 billion) a week. ', 'Handelsblatt cited participants in the call as saying carmakers were particularly concerned about the supply chain. ', 'A Volkswagen source told Reuters the carmakers discussed the situation in the industry and how production could be started up again after the coronavirus crisis. There was agreement that an EU-wide approach to re-starting production was needed, the source said. ', '“It doesn’t help if one country forges ahead and then everything in Italy or Spain is still at a standstill,” the source said, adding that such a scenario would result in gaps in the supply chain. ', 'The Volkswagen source said in the talks there had been agreement that a working group, including the government, industry and the Robert Koch Institute for infectious diseases, should be set up to develop standards for protecting employees when production is restarted, such as protective clothing, masks, distancing workers and frequent cleaning of sanitary facilities. ', 'The source said the carmakers also discussed the situation facing car suppliers and that while big original equipment manufacturers were well provided for in terms of liquidity, that was not the case for many suppliers. ', 'A source at Daimler said Merkel, Economy Minister Peter Altmaier, Finance Minister Olaf Scholz and Joerg Hofmann, head of the IG Metall trade union, had all taken part in the meeting with Daimler CEO Ola Kaellenius, BMW boss Oliver Zipse and Volkswagen CEO Diess. ', 'A survey published on Wednesday showed Germany’s export-dependent manufacturing sector saw the steepest decrease in output in almost 11 years in March, as the coronavirus pandemic forced plant closures in Europe’s biggest economy. ', 'Reporting by Jan C. Schwartz; Writing by Michelle Martin. Editing by Jane Merriman']",2020-04-02 10:33:00,0.369,0.631,0.0,-0.6249,0.037,0.928,0.034,-0.2732
https://www.reuters.com/article/us-health-coronavirus-bmw/bmw-will-idle-south-carolina-plant-for-two-weeks-starting-april-3-idUSKBN2173LH,['BMW will idle South Carolina plant for two weeks starting April 3'],"['March 20, 2020 /  10:16 PM / 2 months ago']","['(Reuters) - BMW AG (', ') said on Friday it will temporarily close its South Carolina plant for two weeks starting April 3. ', 'The German automaker said the “dynamic development of the corona pandemic is having a major impact on the global demand for cars. We are therefore taking a flexible approach and adjusting our production volumes accordingly.” ', 'Reporting by David Shepardson; Editing by Chris Reese']",2020-03-20 22:16:00,0.0,1.0,0.0,0.0,0.023,0.949,0.029,0.1027
https://www.reuters.com/article/us-health-coronavirus-bmw/bmw-to-start-producing-face-masks-idUSKBN21Q0ZX,['BMW to start producing face masks'],"['April 8, 2020 /  8:38 AM / a month ago']","['MUNICH (Reuters) - German carmaker BMW (', ') will start producing face masks to help protect its own staff and the public against the spread of the new coronavirus, Chief Executive Oliver Zipse said on Wednesday. ', 'Zipse said BMW would soon be able to produce several hundred thousand masks per day. ', 'The company has already delivered 100,000 masks to the government from its own existing stocks, and handed over another 50,000 masks and a million medical gloves on Wednesday, with a further million masks to be handed over in the next two weeks. ', 'BMW said on Monday that a production stoppage at its factories is being extended by two weeks until April 30. ', 'Reporting by Joern Poltz, writing by Emma Thomasson; Editing by Michelle Martin']",2020-04-08 08:38:00,0.0,1.0,0.0,0.0,0.0,0.959,0.041,0.6486
https://www.reuters.com/article/us-health-coronavirus-bmw-deliveries/bmw-sees-demand-falling-further-after-first-quarter-sales-plunge-due-to-coronavirus-idUSKBN21O0M0,['BMW sees demand falling further after first quarter sales plunge due to coronavirus'],"['April 6, 2020 /  7:16 AM / in 2 months']","['BERLIN (Reuters) - BMW (', ') is expecting a further decline in global demand as the coronavirus outbreak takes its toll, a spokesman said on Monday, after the German carmaker reported a 20.6% drop in first quarter sales to 477,111 vehicles. ', 'BMW said it had seen sales growth at the start of the year. Since then, the pandemic has pushed some firms, including carmakers, to halt production at some sites and many governments around the world have introduced lockdown measures in a bid to slow the spread of the virus. ', '“By February, the impact of the pandemic had already led to a significant decrease in sales in China. By March, the effects of the pandemic were clearly visible in sales figures in Europe and the U.S,” BMW said in a statement. ', 'BMW sales to China, where the outbreak started, were down 30.9% in the January to March period. They dropped by 18.3% in Europe and by 17.4% in the United States. ', 'A production stoppage at BMW’s factories is being extended by two weeks until April 30, a spokesman said, adding the time was being used to modify factories - a task that is keeping several thousand employees busy. ', 'BMW is responding to an expected further downturn in demand by planning ahead and adjusting production, a spokesman said. ', 'He added that while fundamental demand was still there, the closure of retail outlets meant customers were not ordering and receiving cars like they do normally so it would take longer for markets to recover. ', 'BMW said around 80% of retail outlets in Europe and 70% in the United States were temporarily shut due to the pandemic.  ', 'Shares in BMW were up 5.7% at 1023 GMT, as Europe’s stock markets rebounded on hopes the region might be getting to grips with the health crisis.     ', 'Export expectations in Germany’s car sector have fallen to their lowest level since March 2009, when Europe’s largest economy was in the throes of the global financial crisis, Germany’s Ifo institute said on Monday. ', 'Reporting by Michelle Martin; Editing by Mark Potter']",2020-04-06 07:16:00,0.22,0.78,0.0,-0.2732,0.054,0.89,0.055,0.0772
https://www.reuters.com/article/us-health-coronavirus-bmw-ceo/bmw-ceo-working-to-safeguard-liquidity-during-coronavirus-crisis-idUSKBN21L1LT,['BMW CEO: working to safeguard liquidity during coronavirus crisis'],"['April 3, 2020 /  11:12 AM / a month ago']","['FRANKFURT (Reuters) - BMW (', ') Chief Executive Oliver Zipse said the carmaker is focussing on preserving the health of its balance sheet and workforce which have come under strain during the coronavirus crisis. ', '“No company can possibly get through something like this unscathed. Guaranteeing our liquidity needs to happen very quickly. The Management Board are currently meeting twice as often as normal, so we can make the necessary decisions,” Zipse said in a statement on Friday.  ', '“We are preparing to ramp up production as soon as the time is right in full compliance with all the safety aspects, and with international coordination. It’s essential that we synchronise with the supplier network on this,” Zipse said. ', 'Reporting by Edward Taylor; editing by Thomas Seythal']",2020-04-03 11:12:00,0.0,0.755,0.245,0.3818,0.04,0.919,0.04,-0.0
https://www.reuters.com/article/us-health-coronavirus-automakers/vw-toyota-delay-u-s-production-restart-citing-supplier-concerns-idUSKBN22B2XO,"['VW, Toyota delay U.S. production restart, citing supplier concerns']","['April 29, 2020 /  6:26 PM / 2 months ago']","['(Reuters) - Volkswagen AG (', ') and Toyota Motor Corp (', ') said on  Wednesday they will delay restarting U.S. production amid the coronavirus pandemic and concerns about the automotive supply network. ', 'VW said it is indefinitely delaying the resumption of production at its Tennessee assembly plant that had been set to restart on May 3. ', 'Toyota said it will delay the resumption of North American manufacturing operations to the week of May 11 from the week of May 4 after an “extensive review with our supplier and logistics network.” ', 'The German automaker in a statement said that before it sets a new date it “will weigh the readiness of the supplier base, as well as market demand and the status of the COVID-19 outbreak.” VW’s U.S. production has been suspended since March 21. ', 'Automakers had hoped to begin restarting production in early May but face hurdles including orders in key states like Michigan that limit non-essential business operations.  ', 'Germany’s BMW AG (', ') said Wednesday it plans to restart work at its Spartanburg, South Carolina, plant on Monday at about half the factory’s capacity and then “carefully ramp up production.”   ', 'Detroit’s Big Three automakers have been in regular talks with the United Auto Workers (UAW) union on the conditions needed to resume production, but the companies not appear likely to resume U.S. production before May 18 at the earliest. ', 'UAW spokesman Brian Rothenberg said the union continues to “have discussions about key health and safety issues and science that need to be in place for a restart.” ', 'No. 2 U.S. automaker Ford Motor Co (', ') said on Wednesday it still had no date to restart work at its North American plants, but scheduled a Thursday conference call to explain how it will protect its workers. ', 'Ohio on Monday outlined its plan, which included reopening the construction and manufacturing sectors on May 4. ', 'Michigan Governor Gretchen Whitmer has not set a reopening date for manufacturing yet, and the UAW, which represents many hourly auto workers in Michigan and other states, has said early May is “too soon and too risky” to reopen. ', 'On Wednesday, Whitmer said she is allowing the state’s construction sector to reopen on May 7, and emphasized worker safety was paramount. ', '“Workplace safety cannot be an afterthought,” she said at a press conference. “It’s an essential part of how we achieve a strong, vibrant economy.” ', 'Kristin  Dziczek, vice president, Industry, Labor & Economics at the Center for Automotive Research in Michigan, said to restart production there needs to be a tremendous orchestration and “synchronization” across many different regions with different challenges like COVID-19 and different state orders on what is essential manufacturing. ', 'Reporting by David Shepardson and Ben Klayman; Editing by Chizu Nomiyama, Jonathan Oatis and Cynthia Osterman']",2020-04-29 18:26:00,0.223,0.777,0.0,-0.3182,0.019,0.9,0.081,0.9857
https://www.reuters.com/article/us-daimler-bmw-autonomous/bmw-mercedes-put-automated-driving-alliance-on-hold-idUSKBN23Q23Q,"['BMW, Mercedes put automated driving alliance on hold']","['June 19, 2020 /  12:32 PM / a month ago']","['FRANKFURT (Reuters) - Daimler (', ') on Friday said it had put on hold a development alliance in the area of automated driving between its luxury brand and rival German luxury carmaker BMW (', '). ', '“Following extensive review, the two companies have arrived at a mutual and amicable agreement to concentrate on their existing development paths, which may also include working with new partners,” Daimler said in a statement. ', 'Daimler said the cooperation, which was announced in 2019, may resume at a later date.  ', 'Reporting by Edward Taylor, editing by Thomas Escritt']",2020-06-19 12:32:00,0.0,1.0,0.0,0.0,0.0,0.965,0.035,0.4939
