url,header,release time,article content,formatted date,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
https://www.reuters.com/article/usa-autos-sales/update-1-fiat-chrysler-hyundai-quarterly-u-s-auto-sales-slump-on-virus-hit-idUSL4N2E83H9,"['UPDATE 1-Fiat Chrysler, Hyundai quarterly U.S. auto sales slump on virus hit']","['July 1, 2020 /  2:18 PM / 19 days ago']","['(Adds Hyundai’s quarterly numbers) ', 'July 1 (Reuters) - Fiat Chrysler Automobiles NV and Hyundai Motor Co on Wednesday reported a sharp decline in quarterly U.S. auto sales, as the COVID-19 crisis sapped auto demand across the country. ', 'Analysts say the second quarter is expected to see the biggest contraction in auto sales this year, as pandemic-led lockdown restrictions and job losses kept consumers at bay. ', 'Fiat Chrysler reported a 39% slump in U.S. sales to 367,086 vehicles in the second quarter, hit by lower demand for its Jeep and Dodge sport utility vehicles and Ram pick-up trucks. ', 'Hyundai said U.S sales fell 24% to 141,722 vehicles. ', 'Analysts expect the auto market to recover gradually in the following quarters, supported partly by lucrative discounts from automakers desperate to boost sales volume. ', '“Retail sales have been rebounding since April as the reopening of the economy, steady gas prices, and access to low interest loans spur people to buy,” said Jeff Kommor, Fiat’s head of U.S. sales. ', 'Auto consultants J.D. Power and LMC Automotive estimate U.S. vehicle sales fell about 25% to 1.09 million units in June, slowing from an over 40% plunge in April and a 29% decline in May. (Reporting by Ankit Ajmera and Sanjana Shivdas in Bengaluru; Editing by Shinjini Ganguli)']",2020-07-01 14:18:00,0.0,1.0,0.0,0.0,0.072,0.893,0.035,-0.7506
https://www.reuters.com/article/usa-autos-sales/fiat-chrysler-quarterly-u-s-auto-sales-slump-39-idUSL4N2E83GL,['Fiat Chrysler quarterly U.S. auto sales slump 39%'],"['July 1, 2020 /  1:31 PM / 19 days ago']","['July 1 (Reuters) - Fiat Chrysler Automobiles NV reported a 39% drop in U.S. sales in the second quarter, hit by lower demand for its Jeep and Dodge sport utility vehicles and Ram pick-up trucks due to the coronavirus crisis. ', 'The company said it sold 367,086 vehicles in the quarter, compared with 597,685 units a year earlier. (Reporting by Ankit Ajmera and Sanjana Shivdas in Bengaluru; Editing by Shinjini Ganguli)']",2020-07-01 13:31:00,0.0,1.0,0.0,0.0,0.136,0.864,0.0,-0.836
https://www.reuters.com/article/us-health-coronavirus-latam-autos/fiat-toyota-renault-latest-to-announce-auto-production-halt-in-brazil-over-coronavirus-idUSKBN21732D,"['Fiat, Toyota, Renault latest to announce auto production halt in Brazil over coronavirus']","['March 20, 2020 /  6:17 PM / in 2 months']","['SAO PAULO (Reuters) - Fiat Chrysler (', '), Toyota Motor Corp (', ') and Renault (', ') announced on Friday they will stop auto production in Brazil temporarily due to the coronavirus pandemic.  ', 'Earlier this week, General Motors Co (', ') and Mercedes Benz said they would also stop production. Volkswagen (', ') and Volvo (', ') have also announced at least temporary production halts in Brazil.  ', 'The closures in Brazil have come shortly after automakers in the United States and the European Union announced similar measures.  ', 'Stephanie Brinley from IHS Markit said they are currently expecting auto production in South America to fall by about 98,000 units in March and April.  ', '“I’m pretty sure that by Monday noon that number will be revised,” Brinley said. “It’s a very fluid situation.  ', 'Brazil is by far the continent’s largest auto producer, but Argentina also has a sizable output. ', 'Reporting by Alberto Alerigi and Marcelo Rochabrun; editing by Nick Macfie and Bill Berkrot']",2020-03-20 18:17:00,0.0,1.0,0.0,0.0,0.019,0.94,0.04,0.3818
https://www.reuters.com/article/us-health-coronavirus-italy-fiat-chrysle/lockdown-set-to-stymie-fiat-attempt-to-restart-some-italian-production-idUSKBN21H1QG,['Lockdown set to stymie Fiat attempt to restart some Italian production'],"['March 30, 2020 /  11:55 AM / a month ago']","['MILAN (Reuters) - A probable extension of Italy’s lockdown could frustrate an attempt by Fiat Chrysler (', ') to resume some vehicle production at three Italian plants next week, a union representative said on Monday. ', 'Italy has banned travel within the country and ordered a freeze on all non-essential business activities, including the car industry, until April 3 to curb the spread of coronavirus which has now killed almost 11,000 people in the country. ', 'FCA informed unions last week that if the government gave it the go-ahead, the automaker would be ready to resume some of its operations on April 6, Gianluca Ficco, a representative for metal workers union UILM, said. ', 'The sites concerned would be the assembly line for the Jeep Compass at the Melfi facility in southern Italy, Atessa’s plant making light commercial vehicles in central Italy and preparatory operations for the new electric 500 in Turin’s Mirafiori factory, he said. ', 'Ficco however said he did not know whether the government would allow non-essential activities to restart next week and thought Rome was more likely to extend the ban.     ', 'Despite hopes among Italian officials that the downward trend in coronavirus fatalities nationally would continue, it appeared increasingly likely that restrictions would be soon officially extended. ', 'On Sunday Regional Affairs Minister Francesco Boccia said the government would “inevitably” extend containment measures beyond April 3. ', 'Italian media have reported that the extension could last for a further two weeks until about April 18. ', 'A spokesman for FCA confirmed on Monday that for now, the plan was to resume those three facilities next week.  ', 'Ficco added that, in any case, when operations restarted FCA would have to make sure that the highest health and safety conditions are assured in all factories. ', 'Luxury carmaker Ferrari (', '), which, like FCA, is controlled by Exor (', '), the investment firm of Italy’s Agnelli family, said on Friday it would reopen its two Italian plants on April 14, provided it had supplies. ', 'Exor said last week that current plant closures at companies it controls, though temporary, might continue. ', 'Reporting by Giulio Piovaccari; Editing by David Clarke and Keith Weir']",2020-03-30 11:55:00,0.0,1.0,0.0,0.0,0.053,0.896,0.051,-0.6912
https://www.reuters.com/article/us-health-coronavirus-italy-fiat-chrysle/fiat-chryslers-only-open-italian-plant-running-at-reduced-capacity-idUSKBN21421H,"[""Fiat Chrysler's only open Italian plant running at reduced capacity""]","['March 17, 2020 /  12:36 PM / 2 months ago']","['MILAN (Reuters) - Fiat Chrysler (', ')(FCA) has resumed limited production at its Atessa facility in Italy, the automaker’s only open assembly plant, having halted operations at most of its European factories, a spokesman said on Tuesday. ', 'The company said on Monday that it was halting production for two weeks at most of its European plants to help to protect staff and adjust to a slump in demand.     ', 'The Atessa plant had been closed since last week as the company performed deep sanitization and some reconfiguration of production lines to allow more space between workers.  ', '“Operations have restarted with the number of workers reduced by around 45%,” the FCA spokesman said, adding that workers placed on temporary leave will receive benefits through the ‘cassa integrazione’ wage-guarantee fund. ', 'Located in the central Italian region of Abruzzo and operated by Sevel, a joint venture between the Italian-American automaker and France’s PSA-Peugeot (', '), the plant usually produces about 300,000 light commercial vehicles annually.  ', 'UILM union representative Gianluca Ficco said the plant, which employs about 5,000 people, was running on Tuesday with roughly 60% of its staff. ', '“We are ascertaining day by day, in FCA and in all other companies, that the health measures decided by the government are fully met,” he said. “Our aim is to combine security and jobs”. ', 'The Italian government on Saturday agreed with companies and trade union leaders a series of measures to improve health controls in factories, offices and other workplaces that have been allowed to stay open during the country’s coronavirus lockdown. ', 'However, trade unions have reported several strikes over recent days all over Italy, with worker representatives saying that implemented measures were insufficient. ', 'A source close to the matter said that FCA does not plan further stoppages to Atessa operations. ', 'Reporting by Giulio Piovaccari; Editing by David Goodman']",2020-03-17 12:36:00,0.0,1.0,0.0,0.0,0.022,0.917,0.061,0.8885
https://www.reuters.com/article/us-health-coronavirus-italy-fca/fiat-chrysler-ceo-to-halve-his-salary-for-three-months-in-virus-response-letter-idUSKBN21H390,['Fiat Chrysler CEO to halve his salary for three months in virus response: letter'],"['March 30, 2020 /  8:28 PM / a month ago']","['MILAN (Reuters) - Fiat Chrysler (', ') top executives will temporarily cut their salaries to preserve the automaker’s financial soundness during the coronavirus emergency, Chief Executive Mike Manley told employees on Monday.     ', 'Manley said he would halve his salary for the next three months to avoid job cuts in the second quarter, according to a letter seen by Reuters, that he sent to employees.     ', 'Chairman John Elkann and the other members of the board will give up their entire salaries until year end, Manley added in the letter.    Other executives will see their wages cut by 30% while the group will ask employees not affected by current cuts in working shifts to have 20% of their salaries’ payments temporarily postponed. ', 'Reporting by Giulio Piovaccari; editing by Grant McCool']",2020-03-30 20:28:00,0.0,1.0,0.0,0.0,0.109,0.85,0.041,-0.8154
https://www.reuters.com/article/us-health-coronavirus-india-autos/automakers-in-india-halt-production-due-to-coronavirus-idUSKBN21907X,['Automakers in India halt production due to coronavirus'],"['March 22, 2020 /  6:18 AM / 3 months ago']","['MUMBAI (Reuters) - India’s biggest automaker Maruti Suzuki (', ') and peers Hyundai (', '), Mahindra & Mahindra (', '), Fiat Chrysler (', '), Ford (', ') and Toyota (', ') said they will halt car production due to the coronavirus outbreak. ', 'The move comes after automakers shut plants last week in Europe, the United States, Canada and Mexico. ', 'Sport-utility vehicle maker Mahindra & Mahindra said it aims to start making ventilators for coronavirus patients, mirroring efforts by automakers including Ferrari and Fiat.  ', 'India has reported 415 cases of the coronavirus but health experts have warned that a big jump could be imminent. The government will halt domestic flights from Tuesday and suspend most train and metro services nationwide.  ', 'Maruti, which builds one in every two cars sold in India, said it would halt production and office operations immediately at its facilities in the northern state of Haryana. ', '“The duration of this shutdown will depend upon government policy,” Maruti, which is majority owned by Japan’s Suzuki Motor Corp (', '), said in a statement. ', 'The western state of Maharashtra is home to one of India’s biggest auto hubs at Pune, where several car makers are set to halt production. ', 'Mahindra has stopped manufacturing at one of its plants in Maharashtra and will suspend work at two others from Monday, it said.   ', 'Anand Mahindra, group company chairman, said on Twitter that the company would begin work immediately on how it can make ventilators.  ', '“A lockdown over the next few weeks will help flatten the curve and moderate the peak pressure on medical care,” Mahindra said, adding that it will offer its holiday resorts as temporary care facilities and help the government in building such centres. ', ' Ford is suspending vehicle and engine production at its manufacturing sites in India, Vietnam, South Africa and Thailand starting March 21.  ', 'The shutdown “will continue for several weeks depending on the pandemic situation, national restrictions, supplier constraints and dealer stock requirements,” it said in a statement on Monday. ', 'Daimler AG’s (', ') Mercedes-Benz and Fiat as well as bike maker Bajaj Auto (', ') all said they will halt production at their Pune plants. Fiat said it will not cut jobs and will continue to pay salaries of all its employees.   ', 'India’s top-selling bike maker Hero MotoCorp Ltd (', ') and rival TVS Motor (', ') have stopped manufacturing at all its plants in India and globally. Yamaha Motor Co (', ') has also halted production in India.  ', 'Volkswagen AG’s (', ') India unit said on Sunday it had stopped production in Pune for three weeks. ', 'Reporting by Aditi Shah and Abhirup Roy; Additional reporting by Heekyong Yang, Editing by Sam Holmes and Susan Fenton']",2020-03-22 06:18:00,0.0,1.0,0.0,0.0,0.041,0.905,0.054,0.8632
https://www.reuters.com/article/us-health-coronavirus-fiatchrysler-loan/italy-approves-guarantees-for-7-1-billion-loan-to-fiat-chrysler-idUSKBN23V17B,['Italy approves guarantees for $7.1 billion loan to Fiat Chrysler'],"['June 24, 2020 /  8:46 AM / 22 days ago']","['ROME (Reuters) - Italy has approved a decree offering state guarantees for a 6.3-billion euro ($7.1 billion) loan to Fiat Chrysler’s (FCA) (', ') Italian unit, the Treasury said on Wednesday, paving the way for the largest crisis loan to a European carmaker. ', 'The formal announcement follows an endorsement by the country’s audit court and brings to an end a lengthy approval procedure for the loan, which has drawn criticism in Italy. ', 'By providing state support, Rome “aims to preserve and strengthen the Italian automotive supply chain,” Economy Minister Roberto Gualtieri said in a statement. ', 'FCA’s Italian division has tapped Rome’s COVID-19 emergency financing schemes to secure a state-backed, three-year facility to help it weather the crisis triggered by the coronavirus pandemic. The aid will also help Italy’s broader car sector, in which about 10,000 businesses operate.  ', '“100% of the money this facility provides will be directed to our Italian business ... as we continue a transformative shift to a new electric and hybrid powered future,” said Pietro Gorlier, FCA’s chief operating officer for Europe, the Middle East and Africa. ', 'The loan will be disbursed by Italy’s biggest retail bank Intesa Sanpaolo (', '), which has already authorised it pending the approval of guarantees the government will provide on 80% of the sum through export credit agency SACE. ', 'The request for state support sparked controversy because FCA is working to merge with French rival PSA (', ') and the holding company for the Italian-American carmaker is registered in the Netherlands. FCA’s global brands include Fiat, Jeep, Dodge and Maserati. ', 'Gualtieri said FCA would have to meet commitments on investments and jobs, but declined to say whether the Treasury had imposed conditions affecting FCA’s planned 5.5 billion euro extraordinary dividend, a key element in the merger with PSA. ', 'Italian politicians have called the dividend into question,  although it should be compatible with the terms of the financing, because it is not due until 2021 and would be paid by FCA Italy’s Dutch parent company, Fiat Chrysler Automobiles NV. ', 'Reporting by Giuseppe Fonte; additional reporting by Ankit Ajmera in Bengaluru; Editing by Alex Richardson, Mark Potter and Maju Samuel']",2020-06-24 08:46:00,0.0,0.769,0.231,0.4019,0.028,0.907,0.065,0.7876
https://www.reuters.com/article/us-health-coronavirus-fiat-chrysler/fiat-chrysler-to-start-three-italian-sites-immediately-after-lockdown-ends-union-idUSKBN21K24Y,['Fiat Chrysler to start three Italian sites immediately after lockdown ends: union'],"['April 2, 2020 /  2:06 PM / 2 months ago']","['MILAN (Reuters) - Fiat Chrysler (', ') aims to restart operations at three Italian sites as soon as the government lifts coronavirus restrictions on manufacturing, a union representative said on Thursday, adding unions would monitor health precautions. ', 'Despite Italy’s lowest death toll from coronavirus in six days on Wednesday, Prime Minister Giuseppe Conte said a national lockdown in place since March 9, and due to expire on Friday,  would be extended until at least April 13. ', 'The lockdown measures include a freeze on all non-essential economic activity, including car production. ', 'Gianluca Ficco, a representative of the UILM metal workers’ union, said unions had started talks with Fiat Chrysler (FCA) to make sure all health and security requirements were met in factories, with a view to resuming operations after the lockdown. ', '“At the moment the date we’re looking at is April 14,” he said. ', 'The sites would be the assembly lines for Jeep’s Compass and new hybrid models in Melfi in southern Italy; Atessa’s plant making light commercial vehicles in central Italy; and preparatory operations for the new electric 500 in Turin’s Mirafiori factory, he said. ', 'A spokesman for FCA confirmed on Thursday that, if the government allowed production to restart after April 13, those three operations would be the group’s priority.     ', 'Last week, before the national lockdown was extended, the carmaker had told unions it would have been ready to resume the same three operations on April 6 if the government had given its go-ahead. ', 'Reporting by Giulio Piovaccari; Editing by Mark Potter']",2020-04-02 14:06:00,0.0,1.0,0.0,0.0,0.0,0.948,0.052,0.8941
https://www.reuters.com/article/us-health-coronavirus-fiat-chrysler/fiat-chrysler-to-make-face-masks-for-north-america-idUSKBN21B1P7,['Fiat Chrysler to make face masks for North America'],"['March 24, 2020 /  11:52 AM / a month ago']","['MILAN (Reuters) - Italian-U.S. car giant Fiat Chrysler has confirmed plans to produce a million face masks a month and said it will distribute them to emergency services in North America to help the fight against coronavirus.  ', 'FCA, which is also trying to help produce badly needed respirators for patients in intensive care in Italy, is one of a number of large manufacturers adapting production lines to make products in desperately short supply. ', '“Production capacity is being installed this week and the company will start manufacturing face masks in the coming weeks with initial distribution across the United States, Canada and Mexico,” it said in a statement released late on Monday. ', 'The monthly output of one million masks will be donated to police, emergency medical staff, firefighters and to workers in hospitals and health care clinics, it said. ', 'The decision to begin distribution of masks in North America rather than Italy, the company’s other home country, underlines the difficult balance global companies are having to maintain as they weigh where to offer help in the emergency. ', 'Face masks and other protective equipment for medical staff have been running out across the world as thousands of new cases of the highly contagious virus have arrived in hospitals daily. ', 'Fiat’s position as a historic pillar of Italian industry makes the issue of where to provide help sensitive, especially as Italy is the country worst hit by the virus so far. ', 'Both FCA and its controlling shareholder Exor, the investment firm of Italy’s Agnelli family, have offered significant assistance to efforts to handle the crisis in Italy, where almost 6,000 people have died.     ', 'FCA and luxury automaker Ferrari, also controlled by Exor, are in talks with Siare, Italy’s biggest respirator manufacturer, to help it double production of the life-saving machines.  ', 'In addition, the Agnelli family said last week it was donating 10 million euros to fight the virus emergency in Italy. ', 'It said companies controlled by Exor bought 150 ventilators and other medical equipment abroad, provided vehicles for support of people in need and were in touch with Italian authorities to help them buy medical equipment and healthcare products abroad. ', 'As part of the process, an Exor spokesman said on Tuesday the group had made an initial purchase of 250,000 face masks in China which would be distributed in Italy and were expected to arrive by the end of this week. ', 'Reporting by Giulio Piovaccari; Editing by James Mackenzie and David Clarke']",2020-03-24 11:52:00,0.0,1.0,0.0,0.0,0.083,0.849,0.068,-0.8439
