url,header,release time,article content,formatted date,neg_vader,neu_vader,pos_vader,compound_vader
https://www.reuters.com/article/us-fiat-chrysler-credit/fiat-chrysler-draws-down-on-6-25-billion-euro-credit-facility-idUSKCN2233C1,['Fiat Chrysler draws down on 6.25 billion euro credit facility'],"['April 21, 2020 /  10:38 PM / in 13 days']","['(Reuters) - Fiat Chrysler Automobiles N.V. (', ') (', ') said on Tuesday it had drawn down on a 6.25 billion euro ($6.79 billion) credit line to buffer its cash reserves during the uncertainty around the coronavirus health crisis. ', 'The funds from the revolving credit facility, originally signed in June 2015, add to the 1.5 billion euros Fiat Chrysler has drawn down from other credit lines. ', 'The outbreak has pummeled vehicle sales and production for automakers across the world, forcing many to take out multi-billion dollar loans to ride out what is likely to be a deep global recession. ', 'Ford Motor Co (', ') has drawn down over $15 billion from revolving credit lines and last week raised $8 billion from corporate debt investors to shore up its cash. ', 'General Motors Co (', ') has entered into a 364-day revolving credit agreement of $1.95 billion, which the company said will be exclusively used by its financial services business. ', 'Earlier this month Fiat Chrysler said it had agreed to a  new 3.5 bln euro credit facility with two banks, which remains undrawn. ', '($1 = 0.9211 euros) ', 'Reporting by Uday Sampath in Bengaluru; Editing by Bernard Orr']",2020-04-21 22:38:00,0.054,0.849,0.096,0.7964
https://www.reuters.com/article/us-health-coronavirus-fiat-chrysler/fiat-chrysler-plant-resumes-production-after-24-hour-halt-over-coronavirus-fears-idUSKBN2103BZ,['Fiat Chrysler plant resumes production after 24-hour halt over coronavirus fears'],"['March 13, 2020 /  9:19 PM / in 2 months']","['(Reuters) - Fiat Chrysler Automobiles NV (', ') (', ') said production at its assembly plant in Windsor, Ontario, which was halted for 24 hours over fears of an employee being possibly exposed to the coronavirus, has resumed on Friday afternoon.  ', '“There currently is one employee out on self-quarantine as a precaution because of possible secondary contact,” the company said in a statement. ', 'Starting Thursday afternoon, employees at the plant had refused to work. The company said the Ministry of Labour found the environment to be safe after visiting the plant and there are no confirmed cases of coronavirus at the location.  ', 'Fiat said on Thursday an employee had tested positive for COVID-19 at its Kokomo, Indiana transmission plant, but the location would remain open. ', 'The company will delay the reopening of two plants in southern Italy by two days until next Wednesday, having closed them this week to complete actions in response to the coronavirus outbreak. ', '(This story corrects paragraph 1 to say the employee was “possibly exposed to” the virus, and not “contracted”) ', 'Reporting by Ben Klayman in Detroit and Bharath Manjesh in Bengaluru; Editing by Arun Koyyur']",2020-03-13 21:19:00,0.054,0.925,0.021,-0.5267
https://www.reuters.com/article/us-health-coronavirus-italy-fiat-chrysle/fiat-chryslers-only-open-italian-plant-running-at-reduced-capacity-idUSKBN21421H,"[""Fiat Chrysler's only open Italian plant running at reduced capacity""]","['March 17, 2020 /  12:36 PM / in 2 months']","['MILAN (Reuters) - Fiat Chrysler (', ')(FCA) has resumed limited production at its Atessa facility in Italy, the automaker’s only open assembly plant, having halted operations at most of its European factories, a spokesman said on Tuesday. ', 'The company said on Monday that it was halting production for two weeks at most of its European plants to help to protect staff and adjust to a slump in demand.     ', 'The Atessa plant had been closed since last week as the company performed deep sanitization and some reconfiguration of production lines to allow more space between workers.  ', '“Operations have restarted with the number of workers reduced by around 45%,” the FCA spokesman said, adding that workers placed on temporary leave will receive benefits through the ‘cassa integrazione’ wage-guarantee fund. ', 'Located in the central Italian region of Abruzzo and operated by Sevel, a joint venture between the Italian-American automaker and France’s PSA-Peugeot (', '), the plant usually produces about 300,000 light commercial vehicles annually.  ', 'UILM union representative Gianluca Ficco said the plant, which employs about 5,000 people, was running on Tuesday with roughly 60% of its staff. ', '“We are ascertaining day by day, in FCA and in all other companies, that the health measures decided by the government are fully met,” he said. “Our aim is to combine security and jobs”. ', 'The Italian government on Saturday agreed with companies and trade union leaders a series of measures to improve health controls in factories, offices and other workplaces that have been allowed to stay open during the country’s coronavirus lockdown. ', 'However, trade unions have reported several strikes over recent days all over Italy, with worker representatives saying that implemented measures were insufficient. ', 'A source close to the matter said that FCA does not plan further stoppages to Atessa operations. ', 'Reporting by Giulio Piovaccari; Editing by David Goodman']",2020-03-17 12:36:00,0.022,0.917,0.061,0.8885
https://www.reuters.com/article/us-health-coronavirus-fiat-chrysler/fiat-again-halts-atessa-its-only-functioning-assembly-site-in-europe-idUSKBN2151SO,"['Fiat again halts Atessa, its only functioning assembly site in Europe']","['March 18, 2020 /  11:41 AM / in 2 months']","['MILAN (Reuters) - Fiat Chrysler (', ') has again halted its Atessa plant in Italy due to disruptions in parts supply linked to the coronavirus outbreak, after it was reopened on Tuesday, a union representative said on Wednesday. ', 'Located in Abruzzo in central Italy, Atessa was the automaker’s only functioning assembly plant in Europe after the group said on Monday it would halt production for two weeks at most of its European facilities to help to protect staff and adjust to a slump in demand.. ', 'Gianluca Ficco, of UILM metal mechanic union, said the company had informed workers’ representative of its decision to close the plant. ', '“We know it will be closed until Sunday, due to lack of parts supplies,” he said. ', 'A spokesman for Fiat Chrysler (FCA) confirmed the plant was halted on Wednesday and that it was expected to restart operations on Monday.  ', 'The Italian American automaker and the other two Detroit rivals, General Motors (', ') and Ford (', '), agreed on Tuesday with the U.S. union UAW to curtail production at U.S. factories and limit the number of workers on the job at one time to prevent the spread of the coronavirus among roughly 150,000 factory employees. ', 'Atessa was reopened with reduced production rates on Tuesday after being halted last week as the company performed deep cleaning and some reconfiguration of production lines to allow more space between workers.  ', 'The facility is operated by Sevel, a joint venture between FCA and France’s PSA-Peugeot (', '). It usually produces about 300,000 light commercial vehicles annually and employs about 5,000 people.     ', 'Among parts makers which have stopped supplies, Ficco quoted Germany’s Isringhausen, which also operates a plant in Atessa supplying seats to Sevel. ', 'Isringhausen’s workers in Atessa are currently on strike over the implementation of anti-virus health measures at their plant.  ', 'The FCA spokesman also confirmed the stoppage was partly due to disruptions in parts supply from local manufacturers, including Isringhausen. ', 'Ficco said that at the reopening the Atessa plant was compliant with health requirements set by the government, but that workers were still worried about possible virus contagion. ', '“Like in every manufacturing plant, there is a huge fear among workers about contagion,” he said. ', 'Reporting by Giulio Piovaccari; editing by Jason Neely and Alexandra Hudson']",2020-03-18 11:41:00,0.047,0.923,0.029,-0.8422
https://www.reuters.com/article/us-fiat-chrysler-m-a-psa/fiat-chrysler-does-not-see-delay-in-psa-merger-fiom-union-says-idUSKBN21I3A6,"['Fiat Chrysler does not see delay in PSA merger, FIOM union says']","['March 31, 2020 /  8:16 PM / in a month']","['MILAN (Reuters) - Fiat Chrysler did not mention any possible delay in the merger process with France’s PSA during a call with unions on Tuesday, metal workers’ union FIOM said. ', '“No delay on the merger with PSA was mentioned to us,” FIOM representative Michele De Palma told Reuters, correcting an earlier FIOM statement which said a delay was “certain” given the current situation. ', 'Union representatives held a conference call on Tuesday with FCA’s Chief Operating Officer for Europe, Middle East and Africa Pietro Gorlier to discuss the coronavirus emergency. ', 'De Palma confirmed, however, that FCA said during the meeting that its industrial plan would suffer a delay. ', 'Last week FCA’s controlling shareholder Exor said it expected the merger with PSA would be completed early next year, as initially planned. ', 'FCA was not available for comment.    ', 'Reporting by Giulio Piovaccari; editing by Valentina Za and Toby Davis']",2020-03-31 20:16:00,0.098,0.902,0.0,-0.9231
https://www.reuters.com/article/health-coronavirus-fiat-chrysler/fca-executives-salaried-employees-to-take-pay-cuts-during-coronavirus-pandemic-idUSL1N2BN27D,"['FCA executives, salaried employees to take pay cuts during coronavirus pandemic']","['March 30, 2020 /  8:47 PM / in a month']","['DETROIT, March 30 (Reuters) - Fiat Chrysler Automobiles NV’s top executives and salaried workers around the globe will take pay cuts in an act of “shared sacrifice” brought on by the coronavirus pandemic that has shuttered the automaker’s plants in Europe and North America, according to a company memo seen by Reuters. ', 'Chief Executive Officer Mike Manley will take a 50 percent pay cut for three months starting April 1, while Chairman John Elkann and FCA’s board of directors will forego the remainder of their 2020 compensation. FCA said most global salaried employees will be asked to take a temporary 20 pct pay cut. (Reporting By Nick Carey Editing by Chris Reese)']",2020-03-30 20:47:00,0.093,0.892,0.016,-0.7003
https://www.reuters.com/article/health-coronavirus-automakers-union/uaw-union-clears-way-for-u-s-factory-restart-after-fca-reveals-plans-idUSL1N2CN100,['UAW union clears way for U.S. factory restart after FCA reveals plans'],"['May 5, 2020 /  3:07 PM / Updated 7 hours ago']","['DETROIT, May 5 (Reuters) - The union that represents U.S. hourly workers at the Detroit automakers on Tuesday cleared the way for the companies to restart vehicle production amid the coronavirus pandemic after Fiat Chrysler Automobiles NV (FCA) said it expected to reopen its North American plants on May 18. ', '“We continue to advocate for as much testing as possible at the current time and eventually full-testing when available,” United Auto Workers union President Rory Gamble said in a statement. “As for the start date, the companies contractually make that decision and we all knew this day would come.” ', 'FCA said during its first-quarter earnings announcement that it expected to restart its North American operations on May 18. General Motors Co and Ford Motor Co have not announced restart dates, but the companies want to resume production so they can start bringing in much needed cash. (Reporting by Ben Klayman Editing by Chizu Nomiyama)']",2020-05-05 15:07:00,0.0,0.971,0.029,0.3716
https://www.reuters.com/article/us-fiat-chrysler-credit/fiat-chrysler-draws-down-on-6-25-billion-euro-credit-facility-idUSKCN2233C1,['Fiat Chrysler draws down on 6.25 billion euro credit facility'],"['April 21, 2020 /  10:38 PM / 14 days ago']","['(Reuters) - Fiat Chrysler Automobiles N.V. (', ') (', ') said on Tuesday it had drawn down on a 6.25 billion euro ($6.79 billion) credit line to buffer its cash reserves during the uncertainty around the coronavirus health crisis. ', 'The funds from the revolving credit facility, originally signed in June 2015, add to the 1.5 billion euros Fiat Chrysler has drawn down from other credit lines. ', 'The outbreak has pummeled vehicle sales and production for automakers across the world, forcing many to take out multi-billion dollar loans to ride out what is likely to be a deep global recession. ', 'Ford Motor Co (', ') has drawn down over $15 billion from revolving credit lines and last week raised $8 billion from corporate debt investors to shore up its cash. ', 'General Motors Co (', ') has entered into a 364-day revolving credit agreement of $1.95 billion, which the company said will be exclusively used by its financial services business. ', 'Earlier this month Fiat Chrysler said it had agreed to a  new 3.5 bln euro credit facility with two banks, which remains undrawn. ', '($1 = 0.9211 euros) ', 'Reporting by Uday Sampath in Bengaluru; Editing by Bernard Orr']",2020-04-21 22:38:00,0.054,0.849,0.096,0.7964
https://www.reuters.com/article/health-coronavirus-automakers-union/uaw-union-clears-way-for-u-s-factory-restart-after-fca-reveals-plans-idUSL1N2CN100,['UAW union clears way for U.S. factory restart after FCA reveals plans'],"['May 5, 2020 /  3:07 PM / a day ago']","['DETROIT, May 5 (Reuters) - The union that represents U.S. hourly workers at the Detroit automakers on Tuesday cleared the way for the companies to restart vehicle production amid the coronavirus pandemic after Fiat Chrysler Automobiles NV (FCA) said it expected to reopen its North American plants on May 18. ', '“We continue to advocate for as much testing as possible at the current time and eventually full-testing when available,” United Auto Workers union President Rory Gamble said in a statement. “As for the start date, the companies contractually make that decision and we all knew this day would come.” ', 'FCA said during its first-quarter earnings announcement that it expected to restart its North American operations on May 18. General Motors Co and Ford Motor Co have not announced restart dates, but the companies want to resume production so they can start bringing in much needed cash. (Reporting by Ben Klayman Editing by Chizu Nomiyama)']",2020-05-05 15:07:00,0.0,0.971,0.029,0.3716
https://www.reuters.com/article/us-fiat-chrysler-credit/fiat-chrysler-draws-down-on-6-25-billion-euro-credit-facility-idUSKCN2233C1,['Fiat Chrysler draws down on 6.25 billion euro credit facility'],"['April 21, 2020 /  10:38 PM / 15 days ago']","['(Reuters) - Fiat Chrysler Automobiles N.V. (', ') (', ') said on Tuesday it had drawn down on a 6.25 billion euro ($6.79 billion) credit line to buffer its cash reserves during the uncertainty around the coronavirus health crisis. ', 'The funds from the revolving credit facility, originally signed in June 2015, add to the 1.5 billion euros Fiat Chrysler has drawn down from other credit lines. ', 'The outbreak has pummeled vehicle sales and production for automakers across the world, forcing many to take out multi-billion dollar loans to ride out what is likely to be a deep global recession. ', 'Ford Motor Co (', ') has drawn down over $15 billion from revolving credit lines and last week raised $8 billion from corporate debt investors to shore up its cash. ', 'General Motors Co (', ') has entered into a 364-day revolving credit agreement of $1.95 billion, which the company said will be exclusively used by its financial services business. ', 'Earlier this month Fiat Chrysler said it had agreed to a  new 3.5 bln euro credit facility with two banks, which remains undrawn. ', '($1 = 0.9211 euros) ', 'Reporting by Uday Sampath in Bengaluru; Editing by Bernard Orr']",2020-04-21 22:38:00,0.054,0.849,0.096,0.7964
