url,header,release time,article content,formatted date,neg,neu,pos,compound
https://www.reuters.com/article/brief-ferronordic-says-impact-on-ferrono/brief-ferronordic-says-impact-on-ferronordics-business-from-volvo-groups-decision-to-suspend-operations-at-several-production-sites-idUSASN0004FD,"[""BRIEF-Ferronordic Says Impact On Ferronordic's Business From Volvo Group's Decision To Suspend Operations At Several Production Sites""]","['March 20, 2020 /  5:29 PM / in a month']","['March 20 (Reuters) - Ferronordic AB: ', '* IMPACT ON FERRONORDIC’S BUSINESS FROM VOLVO GROUP’S DECISION TO SUSPEND OPERATIONS AT SEVERAL PRODUCTION SITES ', '* FERRONORDIC-SUSPENSION OF VOLVO OPERATIONS TO NEGATIVELY IMPACT CO’S SUPPLY OF CONSTRUCTION EQUIPMENT IN RUSSIA,KAZAKHSTAN&SUPPLY OF TRUCKS IN GERMANY ', '* IMPACT OF PRODUCTION CLOSURES ON FERRONORDIC’S OPERATIONS AND FINANCIAL POSITION CAN NOT BE ASSESSED AT THIS MOMENT Source text for Eikon: Further company coverage:']",2020-03-20 17:29:00,0.043,0.957,0.0,-0.4648
https://www.reuters.com/article/us-volvo-results/swedens-volvo-hit-by-cancelled-orders-as-pandemic-creates-new-normal-idUSKCN2250ID,"[""Sweden's Volvo hit by cancelled orders as pandemic creates 'new normal'""]","['April 23, 2020 /  5:41 AM / 11 days ago']","['STOCKHOLM (Reuters) - Sweden’s AB Volvo (', ') on Thursday warned of stalling truck orders and a challenging adjustment to a “new normal” of feebler demand after reporting a smaller-than-expected fall in quarterly operating earnings helped by service sales. ', 'The rival to Germany’s Daimler (', ') and Volkswagen subsidiary Traton (', ') said its net order intake had turned negative since the end of March as customers rushed to cancel planned truck purchases due to the coronavirus pandemic. ', 'The Gothenburg-based manufacturer last suffered a demand downturn on a similar scale during the 2008 global financial crisis when cancellations outpaced new orders for a full quarter. Volvo shares fell 6.65% by 0850 GMT. ', 'Already facing a cyclical slowdown before the outbreak brought markets and production to a halt in Europe and North America last month, the slump is set to test Volvo which in the past has struggled to handle violent swings in demand. ', '“In the coming quarters, it will be challenging to reduce costs with the same speed and magnitude as revenues are decreasing,” CEO Martin Lundstedt said in a statement, adding he expected demand for services to suffer too. ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 7.1 billion Swedish crowns ($704 million) from 12.7 billion but topped the 6 billion expected by analysts, Refinitiv Eikon estimates showed. ', 'Volvo last month shelved plans for an extra shareholder payout though it said on Thursday it still intended to pay its ordinary dividend for 2019. ', 'One of Sweden’s biggest private sector employers with a global workforce of 100,000, the company said it aimed to “cautiously restart” manufacturing in Europe, North America and Brazil at low levels at the end of April and beginning of May. ', '“Everyone is struggling with what the ramp-up and new normal will look like,” Lundstedt said in a conference call. ', '“Our current estimate is that the gradual return will be slow and activities in the Volvo group need to be adjusted.” ', 'While factories may be stirring back to life, uncertainty lingers as to how much demand will be there to meet the output. ', 'Order intake of its trucks under brands such as Mack and Renault as well as its own name fell 16% in the first quarter but Volvo warned the decline had been 75% in March versus February and net negative since then.  ', 'Volvo, which in January saw the market falling by just under 15% in Europe and by nearly 30% in North America this year, said it was now not meaningful to try to forecast. ', '“It was rather expected that they wouldn’t give forecasts ... since uncertainty is so big and visibility almost none,” Handelsbanken Capital Markets analyst Hampus Engellau said. ', 'Reporting by Niklas Pollard; additional reporting by Helena Soderpalm; editing by Jason Neely and Keith Weir']",2020-04-23 05:41:00,0.098,0.885,0.018,-0.9848
https://www.reuters.com/article/us-health-coronavirus-ab-volvo/truckmaker-volvo-to-put-all-20000-swedish-staff-on-temporary-lay-off-scheme-idUSKBN2171E3,"['Truckmaker Volvo to put all 20,000 Swedish staff on temporary lay off-scheme']","['March 20, 2020 /  10:37 AM / a month ago']","['STOCKHOLM (Reuters) - Truckmaker AB Volvo (', ') said on Friday it would put all its 20,000 staff in Sweden on a short-term, temporary lay off-scheme starting next week as it plans to close all production in the country due to the coronavirus outbreak. ', 'The company earlier this week said production at its large plant in Gothenburg and in Ghent would be halted, and that facilities at subsidiary Renault Trucks in France would temporarily close. ', '“We have reached a frame agreement with the Swedish unions about short-term, temporary lay offs of all employees in Sweden starting next week,” Volvo spokesman Claes Eliasson said.    ', '“The exact details will be decided in local agreements. There will be expections, with key functions and so on.” ', 'Eliasson said he could not say for how long the situation would continue. ', '“We of course hope for it to be as short as possible. But we are doing this to protect staff, the company, and society,” he said.  ', 'On Thursday Volvo’s board withdrew its proposal for an extraordinary dividend in light of the high uncertainty over the impact from the coronavirus spread. ', 'Reporting by Johannes Hellstrom, editing by Simon Johnson']",2020-03-20 10:37:00,0.012,0.929,0.059,0.8316
https://www.reuters.com/article/us-volvo-daimler-fuelcells/volvo-and-daimler-tie-up-to-develop-fuel-cell-for-trucks-idUSKBN2230NW,['Volvo and Daimler tie up to develop fuel cell for trucks'],"['April 21, 2020 /  6:25 AM / 14 days ago']","['STOCKHOLM (Reuters) - Swedish truck maker Volvo (', ') said on Tuesday it had signed a deal with German rival Daimler (', ') to set up a joint venture to develop and produce fuel cell systems for heavy-duty vehicles. ', 'Daimler will consolidate all its current fuel cell activities in the joint venture. Volvo said in a statement it will acquire 50% in the joint venture for the sum of approximately 600 million euros ($650.34 million) on a cash and debt free basis. ', 'The deal was preliminary and non-binding it added. ', 'Reporting by Simon Johnson; editing by Niklas Pollard']",2020-04-21 06:25:00,0.025,0.942,0.033,0.2023
https://www.reuters.com/article/us-health-coronavirus-volvo-factoriesvol/volvo-cars-to-restart-production-in-sweden-next-week-idUSKBN21Z0TI,['Volvo Cars to restart production in Sweden next week'],"['April 17, 2020 /  7:03 AM / 17 days ago']","['FRANKFURT (Reuters) - Volvo Cars will reopen its Torslanda factory and offices in Sweden next week after overhauling its production processes to help prevent coronavirus infections, following a three week shutdown caused by the pandemic, the carmaker said on Friday. ', 'Volvo’s factory in Ghent, Belgium, will reopen on 20 April, but at reduced production output and the carmaker plans to reopen its South Carolina plant in the United States on Monday 11 May after adapting sanitation and cleaning routines. ', '“We have introduced new health measures. We will work with gloves and masks in the areas where we come too close. The production rate will depend on the market. We can produce at full speed, but this depends on the orders,” Chief Executive Hakan Samuelsson told Reuters.  ', 'The Swedish carmaker, which is owned by China’s Geely [GEELY.UL], has a good order intake, but three weeks’ worth of production has been lost, Samuelsson said.  ', 'Because the European economy has ground to a halt, Volvo will continue to make use of shortened working hours, Samuelsson added.  ', 'In Sweden, the layout in all meeting rooms, office spaces and restaurants has been adjusted to allow for social distancing, ensuring that desks are spaced out and limiting the number of people allowed in meeting rooms and restaurants. ', 'Employees in Sweden can also take voluntary temperature tests and measure their blood oxygen levels. Office workers in other markets will continue to follow local guidelines. ', 'The engine plant in Skoevde, Sweden, and the body component manufacturing site in Olofstroem, Sweden will continue to plan their production on a weekly basis and adapt according to needs in the other plants, Volvo said.     ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-04-17 07:03:00,0.01,0.925,0.065,0.9231
https://www.reuters.com/article/us-daimler-volvo-truck-fuelcells/daimler-teams-up-with-volvo-trucks-in-fuel-cell-venture-idUSKBN2230T7,['Daimler teams up with Volvo Trucks in fuel cell venture'],"['April 21, 2020 /  7:27 AM / in 13 days']","['FRANKFURT (Reuters) - Daimler and Volvo Trucks have agreed to join forces to develop, produce and sell fuel cell systems for heavy-duty vehicles, in a sign that the coronavirus crisis is accelerating consolidation. ', 'Global car and truck makers are exploring ways to share costs on new technologies as customers shun showrooms in areas hit by the coronavirus pandemic lockdowns, denting profits. ', '“The common goal is for both companies to offer heavy-duty vehicles with fuel cells for demanding long-haul applications in series production in the second half of the decade,” Daimler (', ') and Volvo (', ') said on Tuesday. ', 'The joint venture agreed by the two companies will operate as an independent and autonomous entity, with Daimler Truck AG and the Volvo Group continuing to be competitors in all other areas of business, they said in a joint statement. ', '“Joining forces will decrease development costs for both companies and accelerate the market introduction of fuel cell systems in products used for heavy-duty transport and demanding long-haul applications,” the companies said. ', 'Volvo will acquire 50% in the joint venture for around 0.6 billion euros, they added. Both companies will invest a nine-digit amount each into developing the fuel cell system. ', '“We want to establish a company that serves not just the sharehoders but the entire industry,” Daimler Trucks CEO Martin Daum said in a call to discuss the deal. ', 'Upon being asked whether the corona pandemic had forced the two truck makers to explore the alliance, Volvo chief executive Martin Lundstedt said, “The coronavirus convinced us even more.”  ', 'Auto supplier Robert Bosch earlier this year announced plans to start mass production of fuel cells starting in 2022 and Hyundai has started rolling out a fleet of fuel cell strucks in Europe this year. ', 'Daimler and Volvo’s fuel cell alliance is open to other members joining, Daum and Lundstedt said on call to discuss the alliance.  ', 'Daimler Trucks will bring together all of Daimler’s fuel cell activities in a new fuel cell unit, including those of Mercedes-Benz Fuel Cell GmbH. Automotive and non-automotive usage are also part of the new joint venture’s scope. ', 'The preliminary agreement between the two companies is non-binding, with a final deal expected by the third quarter and closing before the end of 2020, the companies said. ', 'Reporting by Edward Taylor; Editing by Michelle Martin, Alexander Smith and Louise Heavens']",2020-04-21 07:27:00,0.023,0.935,0.042,0.7003
https://www.reuters.com/article/daimler-volvo-truck-fuelcells/daimler-volvo-trucks-unveil-fuel-cell-alliance-idUSFWN2C81KX,"['Daimler, Volvo Trucks unveil fuel cell alliance']","['April 21, 2020 /  6:27 AM / 14 days ago']","['FRANKFURT, April 21 (Reuters) - Daimler on Tuesday signed a preliminary non-binding agreement with Volvo to develop, produce and commercialize fuel cell systems for heavy-duty vehicles. ', 'Daimler will consolidate all of its current fuel cell activities in the joint venture. The Volvo Group will acquire 50% in the joint venture for the sum of approximately 0.6 billion euros, the companies said in a joint release. ', 'The joint venture will operate as an independent and autonomous entity, with Daimler Truck AG and the Volvo Group continuing to be competitors in all other areas of business, the companies said. ', 'Reporting by Edward Taylor\nEditing by Michelle Martin']",2020-04-21 06:27:00,0.0,0.97,0.03,0.4939
https://www.reuters.com/article/volvo-results/truck-maker-volvo-q1-profit-falls-less-than-expected-idUSL8N2C8226,['Truck maker Volvo Q1 profit falls less than expected'],"['April 23, 2020 /  5:31 AM / 12 days ago']","['STOCKHOLM, April 23 (Reuters) - Swedish truck maker AB Volvo reported a smaller-than-expected fall in first-quarter operating earnings on Thursday but warned its net order intake of trucks had been negative since the end of March as customers cancelled planned purchases due to the pandemic. ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 7.1 billion Swedish crowns ($704 million) from a year-ago 12.7 billion to come in above analysts’ mean forecast of 6.0 billion, according to Refinitiv estimates. ($1 = 10.0825 Swedish crowns) (Reporting by Niklas Pollard; editing by Johannes Hellstrom)']",2020-04-23 05:31:00,0.097,0.866,0.037,-0.7469
https://www.reuters.com/article/us-volvo-results/swedens-volvo-hit-by-cancelled-orders-as-pandemic-creates-new-normal-idUSKCN2250ID,"[""Sweden's Volvo hit by cancelled orders as pandemic creates 'new normal'""]","['April 23, 2020 /  5:41 AM / in 13 days']","['STOCKHOLM (Reuters) - Sweden’s AB Volvo (', ') on Thursday warned of stalling truck orders and a challenging adjustment to a “new normal” of feebler demand after reporting a smaller-than-expected fall in quarterly operating earnings helped by service sales. ', 'The rival to Germany’s Daimler (', ') and Volkswagen subsidiary Traton (', ') said its net order intake had turned negative since the end of March as customers rushed to cancel planned truck purchases due to the coronavirus pandemic. ', 'The Gothenburg-based manufacturer last suffered a demand downturn on a similar scale during the 2008 global financial crisis when cancellations outpaced new orders for a full quarter. Volvo shares fell 6.65% by 0850 GMT. ', 'Already facing a cyclical slowdown before the outbreak brought markets and production to a halt in Europe and North America last month, the slump is set to test Volvo which in the past has struggled to handle violent swings in demand. ', '“In the coming quarters, it will be challenging to reduce costs with the same speed and magnitude as revenues are decreasing,” CEO Martin Lundstedt said in a statement, adding he expected demand for services to suffer too. ', 'Adjusted operating profit at the maker of trucks, construction equipment, buses and engines fell to 7.1 billion Swedish crowns ($704 million) from 12.7 billion but topped the 6 billion expected by analysts, Refinitiv Eikon estimates showed. ', 'Volvo last month shelved plans for an extra shareholder payout though it said on Thursday it still intended to pay its ordinary dividend for 2019. ', 'One of Sweden’s biggest private sector employers with a global workforce of 100,000, the company said it aimed to “cautiously restart” manufacturing in Europe, North America and Brazil at low levels at the end of April and beginning of May. ', '“Everyone is struggling with what the ramp-up and new normal will look like,” Lundstedt said in a conference call. ', '“Our current estimate is that the gradual return will be slow and activities in the Volvo group need to be adjusted.” ', 'While factories may be stirring back to life, uncertainty lingers as to how much demand will be there to meet the output. ', 'Order intake of its trucks under brands such as Mack and Renault as well as its own name fell 16% in the first quarter but Volvo warned the decline had been 75% in March versus February and net negative since then.  ', 'Volvo, which in January saw the market falling by just under 15% in Europe and by nearly 30% in North America this year, said it was now not meaningful to try to forecast. ', '“It was rather expected that they wouldn’t give forecasts ... since uncertainty is so big and visibility almost none,” Handelsbanken Capital Markets analyst Hampus Engellau said. ', 'Reporting by Niklas Pollard; additional reporting by Helena Soderpalm; editing by Jason Neely and Keith Weir']",2020-04-23 05:41:00,0.098,0.885,0.018,-0.9848
https://www.reuters.com/article/us-health-coronavirus-volvo-factoriesvol/volvo-cars-to-restart-production-in-sweden-next-week-idUSKBN21Z0TI,['Volvo Cars to restart production in Sweden next week'],"['April 17, 2020 /  7:03 AM / 18 days ago']","['FRANKFURT (Reuters) - Volvo Cars will reopen its Torslanda factory and offices in Sweden next week after overhauling its production processes to help prevent coronavirus infections, following a three week shutdown caused by the pandemic, the carmaker said on Friday. ', 'Volvo’s factory in Ghent, Belgium, will reopen on 20 April, but at reduced production output and the carmaker plans to reopen its South Carolina plant in the United States on Monday 11 May after adapting sanitation and cleaning routines. ', '“We have introduced new health measures. We will work with gloves and masks in the areas where we come too close. The production rate will depend on the market. We can produce at full speed, but this depends on the orders,” Chief Executive Hakan Samuelsson told Reuters.  ', 'The Swedish carmaker, which is owned by China’s Geely [GEELY.UL], has a good order intake, but three weeks’ worth of production has been lost, Samuelsson said.  ', 'Because the European economy has ground to a halt, Volvo will continue to make use of shortened working hours, Samuelsson added.  ', 'In Sweden, the layout in all meeting rooms, office spaces and restaurants has been adjusted to allow for social distancing, ensuring that desks are spaced out and limiting the number of people allowed in meeting rooms and restaurants. ', 'Employees in Sweden can also take voluntary temperature tests and measure their blood oxygen levels. Office workers in other markets will continue to follow local guidelines. ', 'The engine plant in Skoevde, Sweden, and the body component manufacturing site in Olofstroem, Sweden will continue to plan their production on a weekly basis and adapt according to needs in the other plants, Volvo said.     ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-04-17 07:03:00,0.01,0.925,0.065,0.9231
