Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,780.0,794.0,778.0,784.0,19.0
2019-01-03,790.0,790.0,780.0,782.0,29.0
2019-01-04,768.0,784.0,760.0,770.0,115.0
2019-01-07,768.0,784.0,752.0,770.0,126.0
2019-01-08,764.0,774.0,762.0,774.0,18.0
2019-01-09,778.0,780.0,770.0,770.0,60.0
2019-01-10,762.0,770.0,760.0,770.0,25.0
2019-01-11,760.0,764.0,758.0,764.0,39.0
2019-01-14,768.0,768.0,764.0,764.0,30.0
2019-01-15,764.0,768.0,764.0,764.0,29.0
2019-01-16,760.0,770.0,760.0,770.0,8.0
2019-01-17,768.0,780.0,766.0,780.0,99.0
2019-01-18,780.0,786.0,770.0,786.0,107.0
2019-01-21,784.0,788.0,784.0,786.0,73.0
2019-01-22,786.0,790.0,780.0,786.0,254.0
2019-01-23,780.0,788.0,780.0,788.0,170.0
2019-01-24,780.0,786.0,780.0,786.0,1.0
2019-01-25,780.0,782.0,780.0,782.0,16.0
2019-01-28,772.0,780.0,772.0,780.0,20.0
2019-01-29,782.0,782.0,772.0,776.0,111.0
2019-01-30,772.0,788.0,772.0,784.0,104.0
2019-01-31,788.0,788.0,776.0,784.0,63.0
2019-02-01,778.0,790.0,776.0,790.0,88.0
2019-02-04,788.0,788.0,784.0,784.0,2.0
2019-02-05,788.0,788.0,778.0,780.0,82.0
2019-02-06,778.0,782.0,778.0,782.0,14.0
2019-02-07,784.0,786.0,778.0,786.0,66.0
2019-02-08,778.0,784.0,778.0,782.0,16.0
2019-02-11,778.0,786.0,778.0,786.0,72.0
2019-02-12,786.0,796.0,786.0,796.0,143.0
2019-02-13,790.0,806.0,790.0,806.0,191.0
2019-02-14,798.0,798.0,786.0,792.0,80.0
2019-02-15,798.0,798.0,792.0,798.0,3.0
2019-02-18,790.0,796.0,782.0,794.0,119.0
2019-02-19,796.0,796.0,786.0,792.0,11.0
2019-02-20,790.0,796.0,790.0,794.0,41.0
2019-02-21,782.0,788.0,780.0,788.0,7.0
2019-02-22,792.0,798.0,782.0,796.0,265.0
2019-02-25,796.0,800.0,784.0,796.0,64.0
2019-02-26,800.0,800.0,790.0,800.0,24.0
2019-02-27,786.0,802.0,786.0,798.0,35.0
2019-02-28,792.0,804.0,792.0,804.0,81.0
2019-03-01,794.0,814.0,794.0,802.0,157.0
2019-03-04,796.0,798.0,792.0,796.0,92.0
2019-03-05,796.0,818.0,796.0,818.0,283.0
2019-03-06,818.0,820.0,796.0,808.0,231.0
2019-03-07,800.0,808.0,798.0,808.0,17.0
2019-03-08,810.0,810.0,808.0,808.0,8.0
2019-03-11,808.0,808.0,790.0,800.0,138.0
2019-03-12,800.0,800.0,790.0,796.0,26.0
2019-03-13,790.0,800.0,790.0,794.0,18.0
2019-03-14,784.0,800.0,784.0,798.0,72.0
2019-03-15,800.0,800.0,792.0,792.0,11.0
2019-03-18,796.0,796.0,792.0,792.0,3.0
2019-03-19,792.0,806.0,786.0,806.0,149.0
2019-03-20,794.0,794.0,784.0,788.0,49.0
2019-03-21,790.0,800.0,790.0,800.0,102.0
2019-03-22,798.0,798.0,792.0,794.0,24.0
2019-03-25,796.0,796.0,790.0,794.0,18.0
2019-03-26,792.0,794.0,784.0,794.0,57.0
2019-03-27,792.0,806.0,792.0,804.0,29.0
2019-03-28,804.0,806.0,800.0,802.0,28.0
2019-03-29,804.0,804.0,800.0,804.0,35.0
2019-04-01,800.0,800.0,782.0,784.0,113.0
2019-04-02,790.0,794.0,790.0,794.0,173.0
2019-04-03,796.0,806.0,790.0,798.0,213.0
2019-04-04,808.0,816.0,794.0,806.0,144.0
