Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-07-30 07:01:00,68.54,68.54,68.41,68.43,11020.0
2019-07-30 07:02:00,68.43,68.5,68.43,68.45,2009.0
2019-07-30 07:03:00,68.51,68.51,68.34,68.4,1780.0
2019-07-30 07:04:00,68.41,68.41,68.36,68.36,1559.0
2019-07-30 07:05:00,68.3,68.3,68.25,68.29,585.0
2019-07-30 07:06:00,68.21,68.34,68.18,68.31,2081.0
2019-07-30 07:07:00,68.29,68.42,68.29,68.4,3143.0
2019-07-30 07:08:00,68.42,68.42,68.36,68.36,1105.0
2019-07-30 07:09:00,68.38,68.41,68.37,68.39,1923.0
2019-07-30 07:10:00,68.41,68.41,68.35,68.35,1770.0
2019-07-30 07:11:00,68.37,68.37,68.34,68.37,1162.0
2019-07-30 07:12:00,68.34,68.34,68.24,68.26,3529.0
2019-07-30 07:13:00,68.24,68.24,68.24,68.24,308.0
2019-07-30 07:14:00,68.27,68.27,68.25,68.26,1190.0
2019-07-30 07:15:00,68.28,68.31,68.28,68.3,594.0
2019-07-30 07:16:00,68.28,68.3,68.28,68.3,466.0
2019-07-30 07:17:00,68.26,68.26,68.19,68.2,1824.0
2019-07-30 07:18:00,68.2,68.24,68.2,68.21,1731.0
2019-07-30 07:19:00,68.23,68.27,68.23,68.27,502.0
2019-07-30 07:20:00,68.23,68.23,68.2,68.2,970.0
2019-07-30 07:21:00,68.21,68.21,68.17,68.19,981.0
2019-07-30 07:22:00,68.16,68.16,68.08,68.12,2114.0
2019-07-30 07:23:00,68.12,68.12,68.04,68.05,1893.0
2019-07-30 07:24:00,68.03,68.07,68.02,68.04,1863.0
2019-07-30 07:25:00,68.04,68.04,67.97,67.99,4598.0
2019-07-30 07:26:00,67.96,68.03,67.96,68.03,2097.0
2019-07-30 07:27:00,68.01,68.01,67.99,67.99,461.0
2019-07-30 07:28:00,68.0,68.01,67.96,67.99,1462.0
2019-07-30 07:29:00,67.98,67.98,67.88,67.88,2362.0
2019-07-30 07:30:00,67.91,67.98,67.91,67.95,789.0
2019-07-30 07:31:00,67.97,67.97,67.84,67.87,6270.0
2019-07-30 07:32:00,67.89,67.9,67.85,67.85,2614.0
2019-07-30 07:33:00,67.83,67.85,67.83,67.83,1405.0
2019-07-30 07:34:00,67.85,67.88,67.84,67.85,2061.0
2019-07-30 07:35:00,67.85,67.85,67.79,67.79,2406.0
2019-07-30 07:36:00,67.8,67.84,67.8,67.81,914.0
2019-07-30 07:37:00,67.8,67.82,67.79,67.81,1614.0
2019-07-30 07:38:00,67.82,67.82,67.67,67.7,6017.0
2019-07-30 07:39:00,67.69,67.72,67.65,67.72,1591.0
2019-07-30 07:40:00,67.71,67.71,67.63,67.63,4204.0
2019-07-30 07:41:00,67.64,67.7,67.63,67.68,2691.0
2019-07-30 07:42:00,67.69,67.74,67.69,67.74,1279.0
2019-07-30 07:43:00,67.74,67.84,67.74,67.8,2313.0
2019-07-30 07:44:00,67.81,67.81,67.75,67.75,2569.0
2019-07-30 07:45:00,67.76,67.8,67.75,67.75,747.0
2019-07-30 07:46:00,67.75,67.76,67.73,67.73,765.0
2019-07-30 07:47:00,67.74,67.75,67.72,67.73,458.0
2019-07-30 07:48:00,67.75,67.75,67.72,67.75,893.0
2019-07-30 07:49:00,67.77,67.77,67.76,67.76,324.0
2019-07-30 07:50:00,67.75,67.82,67.75,67.82,1190.0
2019-07-30 07:51:00,67.82,67.85,67.82,67.85,5156.0
2019-07-30 07:52:00,67.84,67.84,67.77,67.77,4514.0
2019-07-30 07:53:00,67.8,67.92,67.79,67.92,2034.0
2019-07-30 07:54:00,67.94,67.97,67.92,67.93,3674.0
2019-07-30 07:55:00,67.93,67.95,67.92,67.94,508.0
2019-07-30 07:56:00,67.95,67.95,67.92,67.94,2589.0
2019-07-30 07:57:00,67.97,67.98,67.95,67.95,1057.0
2019-07-30 07:58:00,67.97,67.98,67.96,67.96,4001.0
2019-07-30 07:59:00,67.96,67.96,67.96,67.96,100.0
2019-07-30 08:00:00,67.97,67.97,67.93,67.95,1115.0
2019-07-30 08:01:00,67.94,67.99,67.94,67.96,1569.0
2019-07-30 08:02:00,67.97,67.97,67.94,67.94,1176.0
2019-07-30 08:03:00,67.96,67.96,67.9,67.9,3056.0
2019-07-30 08:04:00,67.95,67.96,67.94,67.96,1276.0
2019-07-30 08:05:00,67.95,67.95,67.92,67.92,578.0
2019-07-30 08:06:00,67.9,67.93,67.9,67.91,1030.0
2019-07-30 08:07:00,67.92,67.94,67.92,67.94,820.0
2019-07-30 08:08:00,67.92,67.92,67.92,67.92,310.0
2019-07-30 08:09:00,67.91,67.91,67.89,67.89,293.0
2019-07-30 08:10:00,67.89,67.9,67.89,67.9,828.0
2019-07-30 08:11:00,67.89,67.92,67.89,67.92,439.0
2019-07-30 08:12:00,67.92,67.94,67.92,67.93,345.0
2019-07-30 08:13:00,67.92,67.95,67.92,67.95,2216.0
2019-07-30 08:14:00,67.95,67.97,67.95,67.97,1801.0
2019-07-30 08:15:00,67.96,67.96,67.89,67.89,1499.0
2019-07-30 08:16:00,67.91,67.91,67.89,67.89,427.0
2019-07-30 08:17:00,67.91,67.93,67.91,67.92,1726.0
2019-07-30 08:18:00,67.91,67.91,67.9,67.9,429.0
2019-07-30 08:19:00,67.87,67.87,67.86,67.86,423.0
2019-07-30 08:20:00,67.87,67.87,67.84,67.84,338.0
2019-07-30 08:21:00,67.82,67.84,67.77,67.82,3254.0
2019-07-30 08:22:00,67.82,67.82,67.8,67.8,809.0
2019-07-30 08:23:00,67.8,67.81,67.8,67.81,377.0
2019-07-30 08:24:00,67.81,67.81,67.79,67.79,3930.0
2019-07-30 08:25:00,67.79,67.79,67.77,67.77,697.0
2019-07-30 08:26:00,67.79,67.85,67.79,67.82,1297.0
2019-07-30 08:27:00,67.82,67.82,67.8,67.8,393.0
2019-07-30 08:28:00,67.8,67.8,67.8,67.8,434.0
2019-07-30 08:29:00,67.78,67.78,67.78,67.78,68.0
2019-07-30 08:30:00,67.77,67.77,67.72,67.72,103.0
2019-07-30 08:31:00,67.73,67.74,67.7,67.71,750.0
2019-07-30 08:33:00,67.71,67.71,67.65,67.67,9976.0
2019-07-30 08:34:00,67.66,67.72,67.65,67.71,885.0
