Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-12-09 08:01:00,73.74,73.84,73.74,73.84,7184.0,0.0,0,0.0,0
2019-12-09 08:02:00,73.85,73.86,73.85,73.86,68.0,0.12000000000000455,1,-7116.0,0
2019-12-09 08:03:00,73.9,73.97,73.9,73.97,1672.0,0.12000000000000455,1,1604.0,1
2019-12-09 08:04:00,73.96,74.04,73.88,73.89,10484.0,-0.010000000000005116,0,8812.0,1
2019-12-09 08:05:00,73.92,73.95,73.86,73.86,1309.0,-0.09999999999999432,0,-9175.0,0
2019-12-09 08:06:00,73.86,73.87,73.73,73.75,2207.0,-0.1700000000000017,0,898.0,1
2019-12-09 08:07:00,73.77,73.8,73.7,73.79,2128.0,-0.06999999999999318,0,-79.0,0
2019-12-09 08:08:00,73.77,73.77,73.66,73.66,4778.0,-0.10999999999999943,0,2650.0,1
2019-12-09 08:09:00,73.69,73.87,73.69,73.8,4011.0,0.030000000000001137,1,-767.0,0
2019-12-09 08:10:00,73.76,73.78,73.71,73.78,1859.0,0.09000000000000341,1,-2152.0,0
2019-12-09 08:11:00,73.75,73.76,73.74,73.76,1873.0,0.0,0,14.0,1
2019-12-09 08:12:00,73.78,73.78,73.73,73.73,1542.0,-0.01999999999999602,0,-331.0,0
2019-12-09 08:13:00,73.73,73.77,73.73,73.77,1241.0,-0.010000000000005116,0,-301.0,0
2019-12-09 08:14:00,73.75,73.76,73.72,73.74,1303.0,0.009999999999990905,1,62.0,1
2019-12-09 08:15:00,73.7,73.7,73.67,73.7,928.0,-0.04999999999999716,0,-375.0,0
2019-12-09 08:16:00,73.71,73.71,73.69,73.69,1193.0,-0.010000000000005116,0,265.0,1
2019-12-09 08:17:00,73.68,73.68,73.66,73.67,911.0,-0.03999999999999204,0,-282.0,0
2019-12-09 08:18:00,73.67,73.69,73.67,73.69,1905.0,0.009999999999990905,1,994.0,1
2019-12-09 08:19:00,73.7,73.73,73.69,73.73,1131.0,0.060000000000002274,1,-774.0,0
2019-12-09 08:20:00,73.71,73.78,73.71,73.78,3312.0,0.0799999999999983,1,2181.0,1
2019-12-09 08:21:00,73.78,73.8,73.76,73.79,1155.0,0.0800000000000125,1,-2157.0,0
2019-12-09 08:22:00,73.84,73.84,73.83,73.83,483.0,0.04999999999999716,1,-672.0,0
2019-12-09 08:23:00,73.87,73.89,73.84,73.86,11087.0,0.01999999999999602,1,10604.0,1
2019-12-09 08:24:00,73.87,73.9,73.87,73.9,3670.0,0.030000000000001137,1,-7417.0,0
2019-12-09 08:25:00,73.9,73.93,73.9,73.93,4355.0,0.060000000000002274,1,685.0,1
2019-12-09 08:26:00,73.93,73.93,73.86,73.86,2481.0,-0.04000000000000625,0,-1874.0,0
2019-12-09 08:27:00,73.86,73.86,73.83,73.83,769.0,-0.10000000000000853,0,-1712.0,0
2019-12-09 08:28:00,73.84,73.89,73.84,73.89,2227.0,0.030000000000001137,1,1458.0,1
2019-12-09 08:29:00,73.87,73.87,73.85,73.86,1549.0,0.01999999999999602,1,-678.0,0
2019-12-09 08:30:00,73.89,73.91,73.89,73.9,1717.0,0.030000000000001137,1,168.0,1
2019-12-09 08:31:00,73.91,73.94,73.91,73.93,1050.0,0.04000000000000625,1,-667.0,0
2019-12-09 08:32:00,73.91,73.91,73.86,73.87,16148.0,-0.03999999999999204,0,15098.0,1
2019-12-09 08:33:00,73.88,73.9,73.88,73.89,1543.0,-0.01999999999999602,0,-14605.0,0
2019-12-09 08:34:00,73.92,73.94,73.86,73.87,7375.0,-0.009999999999990905,0,5832.0,1
2019-12-09 08:35:00,73.88,73.95,73.86,73.93,8583.0,0.010000000000005116,1,1208.0,1
2019-12-09 08:36:00,73.93,73.98,73.93,73.97,3360.0,0.09000000000000341,1,-5223.0,0
2019-12-09 08:37:00,73.97,73.97,73.95,73.95,486.0,0.01999999999999602,1,-2874.0,0
2019-12-09 08:38:00,73.96,73.98,73.94,73.98,3455.0,0.010000000000005116,1,2969.0,1
2019-12-09 08:39:00,73.97,73.99,73.96,73.99,8746.0,0.030000000000001137,1,5291.0,1
2019-12-09 08:40:00,73.99,74.02,73.92,73.96,15077.0,-0.010000000000005116,0,6331.0,1
2019-12-09 08:41:00,73.96,73.96,73.96,73.96,293.0,-0.030000000000001137,0,-14784.0,0
2019-12-09 08:42:00,73.96,73.96,73.92,73.94,5811.0,-0.01999999999999602,0,5518.0,1
2019-12-09 08:43:00,73.93,73.93,73.82,73.86,5886.0,-0.09999999999999432,0,75.0,1
2019-12-09 08:44:00,73.85,73.87,73.81,73.87,2508.0,-0.060000000000002274,0,-3378.0,0
2019-12-09 08:45:00,73.85,73.88,73.85,73.86,3077.0,0.010000000000005116,1,569.0,1
2019-12-09 08:46:00,73.87,73.93,73.87,73.93,625.0,0.0800000000000125,1,-2452.0,0
2019-12-09 08:47:00,73.93,73.93,73.91,73.91,803.0,0.03999999999999204,1,178.0,1
2019-12-09 08:48:00,73.93,73.94,73.91,73.92,10120.0,-0.010000000000005116,0,9317.0,1
2019-12-09 08:49:00,73.91,73.91,73.86,73.86,605.0,-0.07000000000000739,0,-9515.0,0
2019-12-09 08:50:00,73.88,73.92,73.88,73.92,1322.0,0.010000000000005116,1,717.0,1
2019-12-09 08:51:00,73.92,73.98,73.91,73.98,3316.0,0.10000000000000853,1,1994.0,1
2019-12-09 08:52:00,73.98,73.99,73.91,73.91,1369.0,-0.010000000000005116,0,-1947.0,0
2019-12-09 08:53:00,73.91,73.91,73.84,73.88,2225.0,-0.10000000000000853,0,856.0,1
2019-12-09 08:55:00,73.83,73.84,73.81,73.84,290.0,-0.06999999999999318,0,-1935.0,0
2019-12-09 08:57:00,73.83,73.84,73.79,73.79,1340.0,-0.03999999999999204,0,1050.0,1
2019-12-09 08:58:00,73.83,73.83,73.81,73.81,290.0,-0.01999999999999602,0,-1050.0,0
2019-12-09 08:59:00,73.84,73.84,73.83,73.83,132.0,0.0,0,-158.0,0
2019-12-09 09:02:00,73.81,73.82,73.81,73.82,289.0,-0.020000000000010232,0,157.0,1
2019-12-09 09:03:00,73.81,73.81,73.79,73.81,1234.0,0.0,0,945.0,1
2019-12-09 09:04:00,73.82,73.82,73.8,73.8,187.0,-0.010000000000005116,0,-1047.0,0
2019-12-09 09:05:00,73.8,73.81,73.8,73.81,758.0,-0.009999999999990905,0,571.0,1
2019-12-09 09:06:00,73.83,73.83,73.81,73.82,3126.0,0.01999999999999602,1,2368.0,1
2019-12-09 09:07:00,73.82,73.83,73.8,73.8,1550.0,-0.030000000000001137,0,-1576.0,0
