Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-08-02 12:45:00,64.01,64.01,63.94,63.97,917.0
2019-08-02 12:46:00,63.94,63.97,63.94,63.95,844.0
2019-08-02 12:47:00,63.96,64.05,63.96,64.02,5172.0
2019-08-02 12:48:00,64.0,64.0,63.98,63.98,1130.0
2019-08-02 12:49:00,64.0,64.04,63.98,64.04,2611.0
2019-08-02 12:50:00,64.04,64.07,64.04,64.04,3299.0
2019-08-02 12:51:00,64.07,64.08,64.06,64.07,2705.0
2019-08-02 12:52:00,64.06,64.06,64.04,64.05,2589.0
2019-08-02 12:53:00,64.05,64.05,64.0,64.0,880.0
2019-08-02 12:54:00,64.01,64.02,64.01,64.02,144.0
2019-08-02 12:55:00,64.02,64.05,64.01,64.03,2339.0
2019-08-02 12:56:00,64.03,64.07,64.03,64.07,871.0
2019-08-02 12:57:00,64.1,64.21,64.08,64.18,11039.0
2019-08-02 12:58:00,64.19,64.27,64.19,64.25,2544.0
2019-08-02 12:59:00,64.25,64.25,64.22,64.24,924.0
2019-08-02 13:00:00,64.27,64.3,64.26,64.27,2567.0
2019-08-02 13:01:00,64.26,64.28,64.21,64.23,8677.0
2019-08-02 13:02:00,64.24,64.41,64.24,64.36,14189.0
2019-08-02 13:03:00,64.38,64.46,64.31,64.41,34455.0
2019-08-02 13:04:00,64.41,64.46,64.34,64.39,9769.0
2019-08-02 13:05:00,64.46,64.48,64.42,64.42,2491.0
2019-08-02 13:06:00,64.41,64.41,64.39,64.39,727.0
2019-08-02 13:07:00,64.34,64.35,64.25,64.27,4998.0
2019-08-02 13:08:00,64.3,64.3,64.29,64.29,225.0
2019-08-02 13:09:00,64.3,64.4,64.28,64.34,6580.0
2019-08-02 13:10:00,64.34,64.57,64.34,64.43,17022.0
2019-08-02 13:11:00,64.46,64.46,64.34,64.35,1905.0
2019-08-02 13:12:00,64.39,64.46,64.32,64.35,1691.0
2019-08-02 13:13:00,64.37,64.6,64.37,64.5,11132.0
2019-08-02 13:14:00,64.51,64.57,64.48,64.5,3036.0
2019-08-02 13:15:00,64.5,64.5,64.47,64.48,692.0
2019-08-02 13:16:00,64.47,64.52,64.45,64.48,2889.0
2019-08-02 13:17:00,64.48,64.48,64.45,64.45,1368.0
2019-08-02 13:18:00,64.46,64.53,64.46,64.48,1240.0
2019-08-02 13:19:00,64.49,64.49,64.48,64.49,744.0
2019-08-02 13:20:00,64.49,64.49,64.47,64.47,1756.0
2019-08-02 13:21:00,64.45,64.46,64.41,64.41,1403.0
2019-08-02 13:22:00,64.41,64.41,64.36,64.38,2779.0
2019-08-02 13:23:00,64.39,64.41,64.39,64.4,698.0
2019-08-02 13:24:00,64.42,64.42,64.4,64.4,599.0
2019-08-02 13:25:00,64.4,64.41,64.37,64.38,1520.0
2019-08-02 13:26:00,64.39,64.46,64.39,64.4,3150.0
2019-08-02 13:27:00,64.34,64.34,64.32,64.32,1310.0
2019-08-02 13:28:00,64.34,64.43,64.33,64.41,2190.0
2019-08-02 13:29:00,64.4,64.4,64.34,64.4,2535.0
2019-08-02 13:30:00,64.38,64.41,64.37,64.38,1563.0
2019-08-02 13:31:00,64.37,64.38,64.22,64.27,8167.0
2019-08-02 13:32:00,64.27,64.36,64.24,64.36,5485.0
2019-08-02 13:33:00,64.37,64.38,64.35,64.37,2664.0
2019-08-02 13:34:00,64.36,64.46,64.36,64.46,3119.0
2019-08-02 13:35:00,64.45,64.48,64.42,64.43,3714.0
2019-08-02 13:36:00,64.43,64.43,64.22,64.27,3496.0
2019-08-02 13:37:00,64.26,64.35,64.25,64.34,6583.0
2019-08-02 13:38:00,64.34,64.38,64.28,64.38,12214.0
2019-08-02 13:39:00,64.37,64.48,64.37,64.48,3788.0
2019-08-02 13:40:00,64.5,64.58,64.47,64.54,4570.0
2019-08-02 13:41:00,64.54,64.54,64.44,64.45,20532.0
2019-08-02 13:42:00,64.47,64.56,64.47,64.56,5904.0
2019-08-02 13:43:00,64.57,64.61,64.55,64.58,5072.0
2019-08-02 13:44:00,64.58,64.61,64.57,64.61,2894.0
2019-08-02 13:45:00,64.6,64.62,64.52,64.53,25847.0
2019-08-02 13:46:00,64.53,64.53,64.43,64.45,2922.0
2019-08-02 13:47:00,64.44,64.48,64.42,64.48,2660.0
2019-08-02 13:48:00,64.47,64.47,64.38,64.38,4527.0
2019-08-02 13:49:00,64.38,64.44,64.29,64.43,12520.0
2019-08-02 13:50:00,64.4,64.43,64.37,64.37,5299.0
2019-08-02 13:51:00,64.35,64.38,64.34,64.36,1471.0
2019-08-02 13:52:00,64.34,64.41,64.34,64.37,1853.0
2019-08-02 13:53:00,64.37,64.4,64.36,64.36,6152.0
2019-08-02 13:54:00,64.37,64.46,64.37,64.4,4690.0
2019-08-02 13:55:00,64.39,64.4,64.32,64.32,3410.0
2019-08-02 13:56:00,64.31,64.31,64.29,64.29,1056.0
2019-08-02 13:57:00,64.26,64.27,64.01,64.01,11398.0
2019-08-02 13:58:00,64.0,64.2,64.0,64.16,13311.0
2019-08-02 13:59:00,64.14,64.18,64.1,64.11,4934.0
2019-08-02 14:00:00,64.09,64.15,64.09,64.15,516.0
2019-08-02 14:01:00,64.15,64.16,64.12,64.16,3648.0
2019-08-02 14:02:00,64.14,64.15,64.09,64.1,10427.0
2019-08-02 14:03:00,64.11,64.2,64.11,64.2,5564.0
2019-08-02 14:04:00,64.2,64.26,64.2,64.22,978.0
