Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-01-07 08:01:00,49.05,49.145,48.91,49.13,46686.0
2020-01-07 08:02:00,49.11,49.12,49.06,49.08,13151.0
2020-01-07 08:03:00,49.07,49.14,49.045,49.07,16066.0
2020-01-07 08:04:00,49.075,49.09,48.95,49.035,15503.0
2020-01-07 08:05:00,49.045,49.13,49.045,49.11,2922.0
2020-01-07 08:06:00,49.115,49.2,49.085,49.18,7123.0
2020-01-07 08:07:00,49.175,49.175,49.07,49.1,14232.0
2020-01-07 08:08:00,49.1,49.13,49.095,49.105,3926.0
2020-01-07 08:09:00,49.115,49.115,49.02,49.05,23618.0
2020-01-07 08:10:00,49.07,49.095,49.01,49.025,4178.0
2020-01-07 08:11:00,49.005,49.07,49.005,49.02,5034.0
2020-01-07 08:12:00,49.025,49.075,49.025,49.075,5165.0
2020-01-07 08:13:00,49.07,49.2,49.07,49.18,16609.0
2020-01-07 08:14:00,49.17,49.17,49.115,49.15,4390.0
2020-01-07 08:15:00,49.115,49.14,49.115,49.115,903.0
2020-01-07 08:16:00,49.085,49.11,49.065,49.075,3152.0
2020-01-07 08:17:00,49.05,49.115,49.045,49.105,2683.0
2020-01-07 08:18:00,49.095,49.115,49.08,49.1,2500.0
2020-01-07 08:19:00,49.11,49.145,49.11,49.13,1309.0
2020-01-07 08:20:00,49.135,49.135,49.075,49.075,2211.0
2020-01-07 08:21:00,49.105,49.11,49.055,49.075,767.0
2020-01-07 08:22:00,49.085,49.09,49.065,49.07,1758.0
2020-01-07 08:23:00,49.07,49.07,49.05,49.05,935.0
2020-01-07 08:24:00,49.065,49.095,49.06,49.07,2079.0
2020-01-07 08:25:00,49.07,49.085,49.04,49.075,8471.0
2020-01-07 08:26:00,49.065,49.07,49.05,49.055,4440.0
2020-01-07 08:27:00,49.055,49.07,49.035,49.045,2577.0
2020-01-07 08:28:00,49.045,49.085,49.045,49.085,1147.0
2020-01-07 08:29:00,49.1,49.145,49.1,49.145,2537.0
2020-01-07 08:30:00,49.145,49.16,49.145,49.155,1284.0
2020-01-07 08:31:00,49.165,49.165,49.11,49.11,5682.0
2020-01-07 08:32:00,49.11,49.155,49.095,49.155,3384.0
2020-01-07 08:33:00,49.16,49.2,49.15,49.195,3407.0
2020-01-07 08:34:00,49.195,49.25,49.195,49.235,4348.0
2020-01-07 08:35:00,49.245,49.26,49.235,49.24,4285.0
2020-01-07 08:36:00,49.24,49.31,49.24,49.255,8488.0
2020-01-07 08:37:00,49.255,49.26,49.225,49.25,4112.0
2020-01-07 08:38:00,49.25,49.265,49.225,49.245,9594.0
2020-01-07 08:39:00,49.245,49.255,49.245,49.25,1240.0
2020-01-07 08:40:00,49.235,49.24,49.22,49.22,1792.0
2020-01-07 08:41:00,49.225,49.235,49.195,49.2,1598.0
2020-01-07 08:42:00,49.2,49.205,49.16,49.16,18782.0
2020-01-07 08:43:00,49.16,49.185,49.16,49.17,3158.0
2020-01-07 08:44:00,49.18,49.185,49.17,49.17,998.0
2020-01-07 08:45:00,49.155,49.2,49.155,49.2,1155.0
2020-01-07 08:46:00,49.185,49.225,49.185,49.21,11637.0
2020-01-07 08:47:00,49.23,49.26,49.23,49.25,3281.0
2020-01-07 08:48:00,49.245,49.25,49.235,49.25,2335.0
2020-01-07 08:49:00,49.25,49.26,49.245,49.245,1431.0
2020-01-07 08:50:00,49.24,49.29,49.23,49.275,5826.0
2020-01-07 08:51:00,49.28,49.29,49.27,49.275,9491.0
2020-01-07 08:52:00,49.285,49.29,49.245,49.265,13261.0
