Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,86.5,86.92,84.3,86.52,424022.0
2019-01-03,85.44,87.1,84.6,85.6,558777.0
2019-01-04,86.14,89.54,86.02,89.4,689799.0
2019-01-07,90.0,91.64,89.24,91.32,465015.0
2019-01-08,91.6,95.42,91.16,94.14,720848.0
2019-01-09,95.32,98.94,95.02,96.7,841186.0
2019-01-10,95.74,96.78,94.94,96.36,371601.0
2019-01-11,97.04,97.48,96.0,96.76,445181.0
2019-01-14,96.0,97.34,95.64,96.36,356353.0
2019-01-15,98.0,98.74,97.86,98.28,539506.0
2019-01-16,98.68,99.32,97.54,99.26,501642.0
2019-01-17,99.28,100.15,98.7,99.52,458580.0
2019-01-18,100.15,100.55,99.06,99.5,550424.0
2019-01-21,99.7,100.5,99.42,100.5,187300.0
2019-01-22,100.15,100.95,98.34,98.42,520542.0
2019-01-23,98.14,98.54,96.84,96.84,516021.0
2019-01-24,96.9,99.08,96.24,99.04,484588.0
2019-01-25,99.4,100.05,97.54,97.98,540302.0
2019-01-28,97.46,98.18,95.3,95.7,639202.0
2019-01-29,95.7,97.34,95.12,96.1,443770.0
2019-01-30,96.7,97.82,96.58,97.82,469045.0
2019-01-31,98.32,109.6,96.66,108.6,2172029.0
2019-02-01,110.0,113.15,109.05,110.6,1312310.0
2019-02-04,110.9,111.5,109.3,110.35,608302.0
2019-02-05,110.95,112.3,110.3,112.25,521496.0
2019-02-06,111.8,112.65,111.2,111.85,327223.0
2019-02-07,111.25,111.45,108.3,109.0,689521.0
2019-02-08,108.85,110.35,108.35,108.95,479293.0
2019-02-11,109.0,110.0,108.55,109.55,328711.0
2019-02-12,110.0,111.5,109.8,111.1,393713.0
2019-02-13,111.85,111.9,110.65,110.75,332252.0
2019-02-14,111.1,111.9,109.7,110.35,443605.0
2019-02-15,109.9,112.2,108.95,111.3,621466.0
2019-02-18,111.0,112.35,110.15,111.35,388603.0
2019-02-19,111.15,112.0,110.15,111.2,323353.0
2019-02-20,111.5,112.35,110.8,110.9,468113.0
2019-02-21,111.25,111.8,110.35,111.3,409238.0
2019-02-22,110.75,111.65,110.75,111.1,374690.0
2019-02-25,111.7,112.25,111.25,112.15,422157.0
2019-02-26,112.1,113.95,111.85,113.6,522270.0
2019-02-27,113.45,113.85,112.15,112.65,336587.0
2019-02-28,112.15,113.2,112.05,113.15,438369.0
2019-03-01,113.5,115.4,113.4,114.7,556021.0
2019-03-04,115.85,117.15,115.3,115.9,676912.0
2019-03-05,116.0,116.1,114.4,115.75,395885.0
2019-03-06,115.8,116.7,114.55,114.9,454089.0
2019-03-07,114.9,115.45,113.2,114.7,619100.0
2019-03-08,113.75,114.45,112.55,114.0,411760.0
2019-03-11,114.4,115.8,113.6,115.7,342197.0
2019-03-12,116.35,116.45,115.0,115.4,335432.0
2019-03-13,115.0,116.1,114.75,114.8,309709.0
2019-03-14,114.65,116.0,114.6,115.75,447647.0
2019-03-15,116.25,116.8,115.75,116.6,587727.0
2019-03-18,116.6,116.6,115.35,116.35,303965.0
2019-03-19,116.45,116.9,116.0,116.65,406108.0
2019-03-20,116.3,117.25,115.55,115.55,473626.0
2019-03-21,115.85,116.5,115.05,116.1,292610.0
2019-03-22,116.8,116.8,114.25,114.4,431218.0
2019-03-25,113.55,115.9,113.3,115.9,319528.0
2019-03-26,116.0,118.15,114.9,117.8,541120.0
2019-03-27,118.15,119.7,117.55,118.35,549438.0
2019-03-28,118.0,119.2,117.95,118.0,322415.0
2019-03-29,118.9,119.5,118.1,119.5,316865.0
2019-04-01,120.0,121.9,119.95,120.8,601872.0
2019-04-02,120.5,121.3,119.5,121.15,410399.0
2019-04-03,121.75,122.85,121.3,121.55,612044.0
2019-04-04,121.35,122.2,121.1,121.6,401531.0
2019-04-05,122.0,123.35,121.6,121.8,439762.0
2019-04-08,121.5,122.3,121.2,121.55,298290.0
2019-04-09,121.75,122.5,120.4,120.9,350965.0
2019-04-10,121.4,122.0,120.6,121.35,403979.0
2019-04-11,122.0,122.05,120.75,121.4,393397.0
2019-04-12,121.0,123.7,121.0,122.6,538190.0
2019-04-15,122.6,122.95,120.25,120.95,454497.0
2019-04-16,121.55,122.0,120.4,121.8,402547.0
2019-04-17,122.05,122.05,120.7,120.9,482240.0
2019-04-18,121.0,123.4,120.25,123.1,726850.0
2019-04-23,122.75,123.55,122.1,123.5,349221.0
2019-04-24,122.5,123.25,122.1,122.4,440494.0
2019-04-25,122.2,122.5,121.05,121.7,267638.0
2019-04-26,121.15,121.65,120.5,120.9,288111.0
2019-04-29,120.65,121.7,120.1,120.9,234131.0
2019-04-30,120.5,121.85,120.45,120.75,280945.0
2019-05-02,121.85,121.85,119.9,120.6,227907.0
2019-05-03,120.4,120.8,119.4,119.8,417117.0
2019-05-06,116.7,118.6,113.05,118.4,525999.0
2019-05-07,118.6,125.1,118.35,123.0,1208408.0
2019-05-08,123.7,126.6,121.1,126.25,798697.0
2019-05-09,126.05,127.35,124.0,124.95,800276.0
2019-05-10,125.7,127.35,123.95,124.7,437953.0
2019-05-13,124.9,125.0,122.0,122.45,545879.0
2019-05-14,123.05,126.5,122.95,126.5,588398.0
2019-05-15,126.95,128.3,123.6,128.0,752166.0
2019-05-16,128.55,128.95,126.65,128.95,645699.0
2019-05-17,128.75,128.95,127.15,128.55,494658.0
2019-05-20,128.05,128.9,125.9,126.65,421110.0
2019-05-21,127.45,128.45,126.95,128.45,383469.0
2019-05-22,128.0,129.2,127.25,128.15,319198.0
2019-05-23,127.0,128.15,125.8,126.85,496197.0
2019-05-24,127.8,128.25,126.75,128.0,430234.0
2019-05-27,128.05,130.65,127.15,127.85,449166.0
2019-05-28,128.0,129.3,126.8,129.05,581360.0
2019-05-29,128.45,129.0,126.9,127.3,451802.0
2019-05-30,128.0,128.6,127.15,128.0,378380.0
2019-05-31,126.9,127.6,124.6,127.6,585058.0
2019-06-03,127.35,127.8,125.8,127.35,473423.0
2019-06-04,126.7,127.75,125.5,127.6,594616.0
2019-06-05,127.35,129.1,126.6,128.8,472644.0
2019-06-06,128.55,131.2,127.9,131.2,726580.0
2019-06-07,131.7,133.85,131.05,132.85,587188.0
2019-06-10,133.4,134.5,132.85,134.5,312674.0
2019-06-11,135.7,137.95,135.7,136.3,543376.0
2019-06-12,136.05,137.45,135.8,136.75,476618.0
2019-06-13,136.75,137.3,136.25,136.55,356329.0
2019-06-14,136.55,136.6,135.6,136.0,277825.0
2019-06-17,136.7,137.45,136.0,136.9,392933.0
2019-06-18,137.9,141.4,136.95,141.4,604785.0
2019-06-19,141.4,141.8,139.1,139.8,559997.0
2019-06-20,140.65,144.85,140.65,143.0,722901.0
2019-06-21,142.85,143.6,142.15,143.25,961890.0
2019-06-24,142.55,143.95,142.35,143.1,351353.0
2019-06-25,142.7,143.3,141.15,141.55,327289.0
2019-06-26,141.0,141.65,139.6,139.8,383324.0
2019-06-27,139.95,141.3,139.05,140.8,343465.0
2019-06-28,141.6,142.8,140.75,142.8,331008.0
2019-07-01,144.5,145.65,143.2,144.05,373523.0
2019-07-02,144.9,146.35,144.35,146.05,546996.0
2019-07-03,146.25,150.05,146.1,148.6,602664.0
2019-07-04,149.25,149.3,146.95,148.2,344739.0
2019-07-05,147.95,148.1,146.85,147.3,265213.0
2019-07-08,147.05,148.65,146.9,148.3,312856.0
2019-07-09,148.05,148.8,146.9,147.15,386602.0
2019-07-10,147.75,148.95,147.05,148.4,327164.0
2019-07-11,148.85,149.1,147.7,147.85,450043.0
2019-07-12,147.3,148.9,147.2,148.0,308329.0
2019-07-15,148.5,149.9,147.8,149.3,358905.0
2019-07-16,149.85,152.55,149.2,151.3,520967.0
2019-07-17,151.55,152.6,150.25,150.35,372551.0
2019-07-18,149.95,151.45,149.2,149.55,479962.0
2019-07-19,150.6,150.6,148.4,148.65,404593.0
2019-07-22,148.35,149.85,148.35,149.3,311869.0
2019-07-23,149.25,151.45,149.25,151.0,424185.0
2019-07-24,150.25,151.4,149.5,150.0,520457.0
2019-07-25,151.15,151.95,147.25,149.0,612677.0
2019-07-26,149.6,149.7,148.4,148.55,315924.0
2019-07-29,148.55,148.95,147.6,147.6,314260.0
2019-07-30,147.45,147.85,144.05,144.2,775187.0
2019-07-31,143.8,146.3,143.25,145.65,556149.0
2019-08-01,145.1,149.4,145.0,149.4,510076.0
2019-08-02,146.35,150.0,139.05,142.9,1592513.0
2019-08-05,140.3,143.2,140.0,140.85,662474.0
2019-08-06,140.5,141.3,138.05,138.05,684732.0
2019-08-07,139.4,141.95,138.0,140.3,570110.0
2019-08-08,141.5,143.1,140.3,143.1,473691.0
2019-08-09,142.0,143.45,139.85,140.1,586853.0
2019-08-12,142.2,142.7,139.85,141.9,390311.0
2019-08-13,140.85,144.65,140.3,143.6,503680.0
2019-08-14,145.6,145.7,139.7,140.2,706918.0
2019-08-16,141.2,141.5,139.1,140.05,497441.0
2019-08-19,140.6,141.95,140.45,141.7,328084.0
2019-08-20,141.05,141.95,139.4,139.55,389168.0
2019-08-21,139.85,142.4,139.75,141.8,401729.0
2019-08-22,140.85,141.6,139.3,139.8,490896.0
2019-08-23,140.55,141.1,137.95,137.95,428080.0
2019-08-26,138.0,140.95,136.6,140.75,431888.0
2019-08-27,140.15,144.95,139.75,144.95,820347.0
2019-08-28,145.0,146.0,141.15,142.7,448209.0
2019-08-29,142.7,144.15,141.8,143.75,332373.0
2019-08-30,143.0,144.35,142.75,143.2,349644.0
2019-09-02,144.95,145.5,143.75,143.85,224280.0
2019-09-03,144.2,145.45,143.05,144.8,314143.0
2019-09-04,146.0,147.0,145.5,145.55,493299.0
2019-09-05,146.5,147.5,146.3,146.8,434773.0
2019-09-06,147.7,148.8,147.45,148.5,345626.0
2019-09-09,149.15,149.55,146.3,146.3,435509.0
2019-09-10,146.3,146.4,136.6,137.55,1544619.0
2019-09-11,138.0,139.85,136.85,138.85,736263.0
2019-09-12,138.35,140.4,135.85,139.2,848000.0
2019-09-13,139.85,140.1,138.2,138.85,355863.0
2019-09-16,137.0,138.15,134.55,137.2,581324.0
2019-09-17,136.95,139.3,136.25,138.85,539335.0
2019-09-18,138.5,140.25,138.1,139.6,353314.0
2019-09-19,139.9,140.45,139.3,139.55,448569.0
2019-09-20,140.05,140.05,138.25,138.7,492834.0
2019-09-23,139.15,139.85,137.0,138.45,394560.0
2019-09-24,138.0,138.75,137.05,137.05,365137.0
2019-09-25,137.1,137.4,134.1,136.35,505977.0
2019-09-26,136.45,139.25,136.45,138.3,347382.0
2019-09-27,139.4,140.3,138.3,140.25,378669.0
2019-09-30,139.55,141.65,139.3,141.55,513140.0
2019-10-01,141.9,142.9,138.7,138.7,505419.0
2019-10-02,139.25,139.4,133.25,133.25,830181.0
2019-10-03,134.0,135.3,132.3,134.3,606240.0
2019-10-04,135.5,136.85,135.0,136.7,421993.0
2019-10-07,135.95,137.2,135.1,136.55,280764.0
2019-10-08,136.9,137.05,134.55,134.8,305910.0
2019-10-09,135.0,136.35,134.1,135.75,237763.0
2019-10-10,136.2,136.4,133.85,136.4,324982.0
2019-10-11,137.3,139.9,135.85,139.9,478840.0
2019-10-14,139.45,140.7,138.55,140.25,312292.0
2019-10-15,140.8,142.3,140.05,142.3,428747.0
2019-10-16,142.25,145.55,141.85,145.15,557162.0
2019-10-17,145.0,146.0,142.7,142.7,547303.0
2019-10-18,142.8,142.85,139.6,140.05,497814.0
2019-10-21,140.2,140.9,139.2,140.0,342648.0
2019-10-22,139.65,141.8,139.3,140.5,295492.0
2019-10-23,139.3,139.4,136.45,137.3,505767.0
2019-10-24,137.7,139.8,136.8,139.75,328370.0
