Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,51.7,51.74,50.14,50.98,658583.0
2019-01-03,50.26,50.94,49.89,50.28,397618.0
2019-01-04,50.8,52.8,50.52,52.78,588757.0
2019-01-07,53.04,53.6,52.62,53.16,366768.0
2019-01-08,53.16,55.18,52.38,54.1,623204.0
2019-01-09,54.8,56.48,54.8,55.6,561648.0
2019-01-10,55.0,56.02,54.56,55.6,373678.0
2019-01-11,55.9,56.0,54.44,55.1,432453.0
2019-01-14,54.52,55.72,54.5,54.96,534725.0
2019-01-15,55.52,56.36,55.1,55.5,462254.0
2019-01-16,55.78,55.94,55.14,55.94,322382.0
2019-01-17,55.48,55.8,54.64,55.24,333683.0
2019-01-18,55.8,56.56,55.56,56.02,522415.0
2019-01-21,56.04,56.04,55.08,55.42,259165.0
2019-01-22,55.12,55.48,54.28,54.92,346628.0
2019-01-23,54.1,54.68,53.64,54.24,316333.0
2019-01-24,54.2,55.1,54.0,55.1,426083.0
2019-01-25,55.5,58.06,55.5,57.84,853338.0
2019-01-28,57.84,58.2,57.32,57.58,475467.0
2019-01-29,57.5,57.86,56.12,56.98,450751.0
2019-01-30,57.14,57.16,56.1,56.52,268167.0
2019-01-31,57.0,57.7,55.6,56.8,377753.0
2019-02-01,56.86,57.72,56.56,57.66,354265.0
2019-02-04,57.54,57.7,56.48,57.14,347759.0
2019-02-05,57.4,57.56,56.66,57.56,317046.0
2019-02-06,57.4,57.9,56.98,57.64,374311.0
2019-02-07,57.3,57.38,54.9,55.1,661159.0
2019-02-08,54.5,55.2,53.8,54.0,498768.0
2019-02-11,54.28,54.94,54.04,54.28,297160.0
2019-02-12,54.9,55.64,54.72,55.2,419380.0
2019-02-13,55.72,56.1,55.0,55.4,306398.0
2019-02-14,55.6,55.72,54.5,54.88,267489.0
2019-02-15,54.6,56.4,54.0,56.04,440803.0
2019-02-18,55.4,56.26,55.12,55.48,336068.0
2019-02-19,55.18,55.58,54.74,55.58,286647.0
2019-02-20,55.96,57.5,55.92,57.22,562458.0
2019-02-21,57.6,57.6,56.7,57.12,425301.0
2019-02-22,57.16,57.98,56.76,57.1,430377.0
2019-02-25,57.9,58.98,57.68,58.84,563027.0
2019-02-26,59.0,59.0,57.7,58.74,441862.0
2019-02-27,58.74,58.88,58.16,58.88,320660.0
2019-02-28,58.32,58.88,57.84,58.62,408248.0
2019-03-01,58.94,60.26,58.9,59.94,573581.0
2019-03-04,60.02,60.5,59.64,59.64,349465.0
2019-03-05,59.44,59.72,58.86,59.5,301633.0
2019-03-06,59.02,59.7,58.64,59.04,428450.0
2019-03-07,58.58,58.8,57.3,57.96,521157.0
2019-03-08,57.22,57.46,56.22,56.9,426111.0
2019-03-11,56.92,57.4,56.62,57.22,257143.0
2019-03-12,57.74,57.9,56.02,56.04,525327.0
2019-03-13,56.2,56.84,56.02,56.32,478096.0
2019-03-14,56.4,56.82,56.06,56.12,462938.0
2019-03-15,56.2,56.56,55.52,56.02,932991.0
2019-03-18,56.02,56.36,55.5,55.58,595931.0
2019-03-19,55.9,58.6,55.66,57.8,959776.0
2019-03-20,57.8,58.06,56.44,56.52,617627.0
2019-03-21,56.18,57.5,56.14,56.56,509902.0
2019-03-22,56.9,56.98,55.04,55.36,613531.0
2019-03-25,55.0,55.98,54.8,55.54,467304.0
2019-03-26,55.44,55.52,54.8,54.8,341568.0
2019-03-27,54.82,55.88,54.66,55.18,377669.0
2019-03-28,55.2,55.86,54.56,54.74,446681.0
2019-03-29,55.24,56.06,55.1,55.94,451061.0
2019-04-01,56.76,58.0,56.76,57.66,754147.0
2019-04-02,57.86,58.72,57.3,58.44,667670.0
2019-04-03,59.32,60.18,59.1,59.24,626139.0
2019-04-04,59.3,60.1,59.06,59.7,420092.0
2019-04-05,59.58,60.14,58.5,59.22,537915.0
2019-04-08,58.6,59.84,58.22,59.84,425405.0
2019-04-09,59.5,60.42,58.56,58.72,598619.0
2019-04-10,58.62,59.04,58.3,58.5,466462.0
2019-04-11,58.84,59.34,58.16,59.06,441077.0
2019-04-12,58.84,60.86,58.5,60.26,679203.0
2019-04-15,60.62,61.1,59.82,60.86,511737.0
2019-04-16,60.78,62.42,60.66,61.92,684545.0
2019-04-17,63.02,64.32,62.04,63.5,909373.0
2019-04-18,63.0,64.72,62.76,64.54,758145.0
2019-04-23,64.5,64.78,63.28,63.48,438244.0
2019-04-24,62.1,63.42,61.7,62.88,541235.0
2019-04-25,62.8,62.86,61.54,62.02,416422.0
2019-04-26,62.1,62.32,61.34,62.14,464218.0
2019-04-29,62.1,62.74,61.7,62.2,246927.0
2019-04-30,61.8,62.36,61.48,61.84,315805.0
2019-05-02,62.5,65.26,62.42,64.46,1005567.0
2019-05-03,64.46,64.56,63.98,64.28,357626.0
2019-05-06,61.88,63.08,60.92,62.96,577028.0
2019-05-07,62.82,62.82,60.34,61.14,731284.0
2019-05-08,60.98,61.64,60.34,61.48,481009.0
2019-05-09,60.56,60.9,59.54,60.1,637243.0
2019-05-10,60.62,61.26,58.82,59.58,670007.0
2019-05-13,59.16,59.16,57.38,57.98,627301.0
2019-05-14,59.16,59.36,58.16,58.9,581319.0
2019-05-15,58.98,62.0,58.08,60.82,792240.0
2019-05-16,61.0,61.32,59.5,60.32,620984.0
2019-05-17,60.12,60.12,58.94,59.6,621018.0
2019-05-20,59.26,59.46,57.7,58.28,555614.0
2019-05-21,58.98,59.24,57.52,58.44,395826.0
2019-05-22,58.54,58.68,57.4,57.62,385921.0
2019-05-23,57.0,57.14,56.12,56.8,536005.0
2019-05-24,57.7,58.04,56.8,56.84,498949.0
2019-05-27,58.5,58.62,57.02,57.48,285335.0
2019-05-28,57.6,58.5,57.2,58.02,639767.0
2019-05-29,57.18,57.62,56.74,57.16,315387.0
2019-05-30,57.4,57.74,56.8,57.06,192438.0
2019-05-31,56.0,56.14,54.9,55.78,780883.0
2019-06-03,55.18,55.84,54.88,55.6,421836.0
2019-06-04,55.58,57.92,55.28,57.46,729370.0
2019-06-05,57.58,58.1,56.76,57.08,481961.0
2019-06-06,56.82,57.7,56.14,56.74,432016.0
2019-06-07,57.2,57.24,56.22,56.5,309221.0
2019-06-11,57.3,57.8,56.96,57.26,610487.0
2019-06-12,56.98,57.16,56.1,56.52,698016.0
2019-06-13,56.24,57.26,55.8,57.02,366817.0
2019-06-14,56.4,56.68,55.72,56.18,339849.0
2019-06-17,56.4,56.72,55.94,56.14,265908.0
2019-06-18,56.28,57.58,55.6,57.34,424860.0
2019-06-19,57.5,57.9,57.16,57.72,382959.0
2019-06-20,58.16,59.06,58.16,58.3,543786.0
2019-06-21,58.2,58.88,57.96,58.0,548014.0
2019-06-24,57.66,58.22,57.36,58.22,291122.0
2019-06-25,57.78,58.32,57.54,57.72,308659.0
2019-06-26,57.52,58.5,57.42,58.24,382737.0
2019-06-27,58.76,59.22,57.96,58.04,356925.0
2019-06-28,56.66,57.18,56.08,57.14,579797.0
2019-07-01,58.88,58.98,57.6,57.82,458955.0
2019-07-02,58.08,58.28,57.16,57.96,324735.0
2019-07-03,58.22,59.44,57.84,59.08,466221.0
2019-07-04,59.18,59.66,59.16,59.24,230763.0
2019-07-05,59.24,59.3,58.56,59.14,239096.0
2019-07-08,58.56,60.26,58.54,59.14,468802.0
2019-07-09,58.46,59.08,57.94,59.06,352451.0
2019-07-10,59.0,60.08,58.78,58.9,469420.0
2019-07-11,59.44,59.44,58.48,58.88,417234.0
2019-07-12,58.0,60.74,58.0,60.54,893336.0
2019-07-15,60.48,61.32,60.4,60.6,478911.0
2019-07-16,60.88,61.42,60.36,61.42,537005.0
2019-07-17,61.04,61.48,60.14,60.36,440644.0
2019-07-18,59.9,60.22,59.16,59.36,538517.0
2019-07-19,59.58,60.36,59.3,59.42,438443.0
2019-07-22,59.6,60.44,59.36,59.54,330126.0
2019-07-23,59.56,62.28,59.56,62.08,823333.0
2019-07-24,61.96,63.4,61.66,63.18,748980.0
2019-07-25,64.0,64.2,60.8,62.0,995757.0
2019-07-26,61.62,62.44,61.5,62.02,373364.0
2019-07-29,61.62,61.64,60.52,61.08,378831.0
2019-07-30,61.08,61.18,59.52,59.82,493707.0
2019-07-31,59.68,60.6,59.64,59.68,381098.0
2019-08-01,59.6,59.98,59.02,59.84,298601.0
2019-08-02,58.02,58.26,56.9,58.12,690817.0
2019-08-05,57.1,57.68,55.94,57.0,675414.0
2019-08-06,57.16,57.76,56.62,57.16,417342.0
2019-08-07,57.88,58.0,56.66,57.62,406785.0
2019-08-08,58.44,58.48,57.4,58.08,356990.0
2019-08-09,58.1,58.12,56.38,56.78,368195.0
2019-08-12,57.04,57.52,56.28,56.7,307549.0
2019-08-13,56.4,58.1,55.68,57.26,520290.0
2019-08-14,57.46,57.46,55.7,56.38,397393.0
2019-08-15,56.58,56.78,53.6,54.58,1073101.0
2019-08-16,54.82,55.18,54.42,55.1,405085.0
2019-08-19,55.84,56.58,55.6,55.88,384017.0
2019-08-20,55.66,56.06,54.96,55.26,329589.0
2019-08-21,55.56,56.76,55.36,56.34,493902.0
2019-08-22,56.02,57.0,56.0,56.28,260315.0
2019-08-23,57.0,57.08,55.5,55.66,362677.0
2019-08-26,55.5,56.2,55.2,55.54,410859.0
2019-08-27,55.88,56.5,55.3,56.0,489691.0
2019-08-28,56.02,56.5,55.42,56.02,327032.0
2019-08-29,55.58,56.98,55.36,56.38,313636.0
2019-08-30,56.58,57.82,56.58,57.06,403941.0
2019-09-02,57.2,57.46,56.56,57.38,299411.0
2019-09-03,57.42,57.52,56.9,57.32,217665.0
2019-09-04,57.86,58.76,57.64,58.28,358506.0
2019-09-05,58.8,60.18,58.8,60.12,801755.0
2019-09-06,60.28,60.66,59.5,59.94,393633.0
2019-09-09,60.0,61.04,59.84,60.66,411766.0
2019-09-10,60.76,61.24,60.34,60.54,555287.0
2019-09-11,61.24,61.84,60.2,60.32,467486.0
2019-09-12,60.3,61.18,59.84,60.4,492377.0
2019-09-13,60.6,61.84,60.6,61.84,470090.0
2019-09-16,61.1,61.86,60.76,61.46,283186.0
2019-09-17,61.04,61.32,59.78,60.9,427158.0
2019-09-18,60.5,61.2,60.3,60.84,393760.0
2019-09-19,60.6,61.3,60.52,61.26,444099.0
2019-09-20,60.98,62.14,60.94,62.06,570867.0
2019-09-23,61.58,61.72,60.14,60.52,404741.0
2019-09-24,60.46,60.72,58.24,59.0,768255.0
2019-09-25,58.34,59.1,57.9,59.04,425725.0
2019-09-26,59.0,59.74,58.38,58.6,383099.0
2019-09-27,58.42,58.98,58.22,58.68,363656.0
2019-09-30,58.6,59.82,58.3,59.7,559625.0
2019-10-01,59.94,60.6,59.3,59.34,407512.0
2019-10-02,59.22,59.24,57.86,57.88,468744.0
2019-10-04,57.82,58.12,57.02,58.12,618878.0
2019-10-07,58.24,58.24,57.2,58.14,320992.0
2019-10-08,58.48,58.5,57.28,57.94,385193.0
2019-10-09,57.7,59.26,57.62,59.14,601819.0
2019-10-10,59.74,60.5,59.4,60.22,611116.0
2019-10-11,60.88,62.2,60.64,62.16,602491.0
2019-10-14,62.04,63.12,61.62,63.12,607045.0
2019-10-15,63.4,64.04,62.8,64.02,585094.0
2019-10-16,63.9,65.1,63.78,64.78,647616.0
2019-10-17,64.52,66.2,64.52,65.66,663196.0
2019-10-18,64.4,65.68,63.78,65.36,656217.0
2019-10-21,65.28,66.4,65.14,65.72,380200.0
2019-10-22,65.74,66.1,65.38,65.82,485876.0
2019-10-23,65.14,65.92,64.94,65.4,366980.0
2019-10-24,65.6,66.54,65.58,66.08,448872.0
2019-10-25,66.1,66.84,65.34,65.74,398023.0
2019-10-28,66.12,67.64,66.12,67.4,541084.0
2019-10-29,67.0,67.66,66.78,67.3,642613.0
2019-10-30,68.0,68.3,66.7,67.52,671107.0
2019-10-31,67.2,67.24,65.34,66.0,572979.0
2019-11-01,65.98,66.8,65.96,66.56,327635.0
2019-11-04,67.46,68.88,67.46,68.54,669027.0
2019-11-05,68.6,68.96,68.12,68.36,509925.0
2019-11-06,68.5,68.7,67.94,68.52,336664.0
2019-11-07,68.74,70.0,68.74,70.0,627116.0
2019-11-08,69.72,69.8,68.68,68.96,368192.0
2019-11-11,68.6,69.06,68.02,68.84,430577.0
2019-11-12,68.78,69.44,68.58,69.28,490336.0
2019-11-13,68.32,68.96,68.06,68.72,415455.0
2019-11-14,68.8,69.32,68.12,68.72,452666.0
2019-11-15,68.88,69.4,68.54,69.24,373260.0
2019-11-18,69.4,69.42,66.24,66.86,665230.0
2019-11-19,67.04,68.32,67.04,67.54,535279.0
2019-11-20,67.18,67.42,66.66,67.14,255035.0
2019-11-21,66.52,67.68,66.3,67.38,367655.0
2019-11-22,67.48,68.1,67.16,67.24,318074.0
2019-11-25,68.0,68.18,67.18,67.88,302779.0
2019-11-26,67.9,68.2,67.52,68.04,475602.0
2019-11-27,68.1,68.52,67.84,68.24,272323.0
2019-11-28,68.02,68.54,67.64,68.16,206357.0
2019-11-29,67.5,68.1,67.12,67.18,225655.0
2019-12-02,67.56,68.16,66.82,66.86,335757.0
2019-12-03,66.96,67.66,66.3,66.7,341278.0
2019-12-04,66.32,67.62,66.32,67.2,402455.0
2019-12-05,66.96,67.66,66.88,67.1,238099.0
2019-12-06,67.02,67.6,66.62,67.48,240718.0
2019-12-09,67.38,67.74,66.58,66.6,291385.0
2019-12-10,66.12,66.38,65.2,66.38,359164.0
2019-12-11,66.38,67.1,66.3,66.84,330686.0
2019-12-12,67.1,68.2,66.7,67.82,373846.0
2019-12-13,68.82,70.18,68.58,68.88,621786.0
2019-12-16,68.72,68.9,67.72,68.66,271097.0
2019-12-17,68.58,68.6,67.72,68.08,318263.0
2019-12-18,68.12,68.26,67.38,67.98,354114.0
2019-12-19,67.9,68.26,66.74,67.62,420203.0
2019-12-20,67.2,67.88,66.98,67.54,533731.0
2019-12-23,67.5,67.5,66.56,67.24,174890.0
2019-12-27,67.3,67.46,66.94,67.2,151260.0
2019-12-30,66.98,67.04,66.42,66.64,179127.0
2020-01-02,66.48,68.2,66.4,67.68,308905.0
2020-01-03,67.14,67.38,66.1,67.02,307605.0
2020-01-06,66.48,66.78,65.58,66.7,336483.0
2020-01-07,67.1,67.66,66.96,67.52,323304.0
2020-01-08,67.06,67.76,66.6,67.66,301491.0
2020-01-09,68.5,69.56,67.9,68.92,474969.0
2020-01-10,68.56,70.66,68.56,69.86,525601.0
2020-01-13,69.8,70.06,69.36,69.52,322282.0
2020-01-14,69.74,69.74,68.82,69.3,407299.0
2020-01-15,69.0,69.3,67.76,68.26,492770.0
2020-01-16,67.9,68.1,66.58,67.84,476761.0
2020-01-17,68.16,68.62,67.58,67.74,360358.0
2020-01-20,67.7,68.4,67.46,67.96,224115.0
2020-01-21,67.12,68.44,67.02,67.92,313782.0
