Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-04-24 07:03:00,42.01,42.16,41.6,41.72,9360.0
2020-04-24 07:04:00,41.83,41.91,41.83,41.91,532.0
2020-04-24 07:05:00,42.03,42.05,41.92,42.03,5075.0
2020-04-24 07:06:00,42.05,42.31,42.05,42.3,1154.0
2020-04-24 07:07:00,42.28,42.34,42.28,42.34,753.0
2020-04-24 07:08:00,42.3,42.3,42.3,42.3,59.0
2020-04-24 07:09:00,42.2,42.2,42.13,42.13,498.0
2020-04-24 07:10:00,42.04,42.04,41.94,41.95,377.0
2020-04-24 07:11:00,42.02,42.02,41.95,42.01,2717.0
2020-04-24 07:12:00,41.95,41.98,41.95,41.98,53.0
2020-04-24 07:13:00,41.94,41.94,41.92,41.92,206.0
2020-04-24 07:14:00,41.94,41.94,41.94,41.94,137.0
2020-04-24 07:19:00,41.9,41.9,41.86,41.86,239.0
2020-04-24 07:20:00,41.85,41.88,41.82,41.82,597.0
2020-04-24 07:21:00,41.78,41.78,41.7,41.74,3598.0
2020-04-24 07:22:00,41.73,41.79,41.63,41.73,2404.0
2020-04-24 07:23:00,41.73,41.76,41.71,41.71,1102.0
2020-04-24 07:24:00,41.7,41.7,41.64,41.64,256.0
2020-04-24 07:25:00,41.68,41.71,41.68,41.71,692.0
2020-04-24 07:26:00,41.65,41.68,41.59,41.59,680.0
2020-04-24 07:27:00,41.58,41.64,41.57,41.57,1352.0
2020-04-24 07:28:00,41.58,41.58,41.58,41.58,50.0
2020-04-24 07:29:00,41.54,41.54,41.5,41.5,5814.0
2020-04-24 07:30:00,41.58,41.61,41.58,41.6,1535.0
2020-04-24 07:31:00,41.63,41.63,41.63,41.63,129.0
2020-04-24 07:32:00,41.54,41.54,41.54,41.54,290.0
2020-04-24 07:34:00,41.51,41.57,41.51,41.56,1162.0
2020-04-24 07:35:00,41.54,41.62,41.5,41.53,1208.0
2020-04-24 07:36:00,41.53,41.53,41.38,41.38,1021.0
2020-04-24 07:37:00,41.4,41.43,41.36,41.36,1176.0
2020-04-24 07:38:00,41.5,41.54,41.44,41.44,1448.0
2020-04-24 07:39:00,41.37,41.38,41.35,41.35,174.0
2020-04-24 07:40:00,41.42,41.42,41.42,41.42,50.0
2020-04-24 07:41:00,41.39,41.44,41.39,41.44,959.0
2020-04-24 07:42:00,41.42,41.48,41.42,41.48,108.0
2020-04-24 07:43:00,41.49,41.64,41.49,41.64,1797.0
2020-04-24 07:44:00,41.56,41.72,41.56,41.72,715.0
2020-04-24 07:45:00,41.7,41.78,41.7,41.75,823.0
2020-04-24 07:47:00,41.75,41.75,41.71,41.75,598.0
2020-04-24 07:48:00,41.8,41.9,41.8,41.9,473.0
2020-04-24 07:49:00,41.91,41.99,41.91,41.91,918.0
2020-04-24 07:50:00,41.98,42.0,41.96,42.0,2431.0
2020-04-24 07:51:00,42.01,42.08,41.95,42.08,851.0
2020-04-24 07:52:00,42.0,42.01,41.99,42.01,372.0
2020-04-24 07:53:00,42.0,42.0,41.9,41.98,4044.0
2020-04-24 07:54:00,41.95,41.96,41.95,41.96,521.0
2020-04-24 07:55:00,42.01,42.04,42.01,42.04,676.0
2020-04-24 07:56:00,42.06,42.08,42.06,42.08,1022.0
2020-04-24 07:58:00,42.01,42.03,42.01,42.03,180.0
2020-04-24 07:59:00,42.0,42.0,42.0,42.0,216.0
2020-04-24 08:00:00,42.04,42.13,42.04,42.09,2249.0
2020-04-24 08:02:00,42.09,42.13,42.09,42.13,500.0
2020-04-24 08:03:00,42.04,42.04,41.99,41.99,556.0
2020-04-24 08:05:00,41.97,42.1,41.91,42.1,3688.0
2020-04-24 08:06:00,42.11,42.15,42.11,42.15,319.0
2020-04-24 08:07:00,42.09,42.09,42.09,42.09,261.0
2020-04-24 08:08:00,42.14,42.22,42.14,42.2,1905.0
2020-04-24 08:09:00,42.24,42.24,42.24,42.24,3.0
2020-04-24 08:11:00,42.27,42.3,42.2,42.3,1095.0
2020-04-24 08:13:00,42.21,42.22,42.15,42.21,139.0
2020-04-24 08:14:00,42.13,42.17,42.13,42.17,300.0
2020-04-24 08:15:00,42.14,42.14,42.07,42.07,638.0
2020-04-24 08:16:00,42.07,42.07,42.07,42.07,5.0
2020-04-24 08:17:00,42.0,42.05,41.97,42.02,1140.0
2020-04-24 08:18:00,42.0,42.09,41.99,42.07,704.0
2020-04-24 08:19:00,42.01,42.01,41.99,41.99,653.0
2020-04-24 08:22:00,41.99,42.0,41.95,41.95,583.0
2020-04-24 08:23:00,41.85,41.85,41.79,41.79,400.0
2020-04-24 08:24:00,41.85,41.85,41.79,41.79,28.0
2020-04-24 08:25:00,41.85,41.93,41.83,41.89,1228.0
2020-04-24 08:26:00,41.91,41.99,41.91,41.99,574.0
2020-04-24 08:27:00,41.96,42.02,41.96,42.02,311.0
2020-04-24 08:28:00,42.0,42.0,41.97,41.97,266.0
2020-04-24 08:29:00,41.91,41.95,41.91,41.95,13.0
2020-04-24 08:30:00,41.96,41.97,41.93,41.97,614.0
