Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-06-26 08:50:00,57.86,57.9,57.86,57.9,898.0
2019-06-26 08:51:00,57.88,57.88,57.86,57.86,532.0
2019-06-26 08:53:00,57.88,57.88,57.88,57.88,86.0
2019-06-26 08:54:00,57.86,57.86,57.86,57.86,200.0
2019-06-26 08:55:00,57.86,57.86,57.86,57.86,64.0
2019-06-26 08:56:00,57.84,57.84,57.82,57.82,165.0
2019-06-26 08:57:00,57.8,57.8,57.8,57.8,98.0
2019-06-26 08:58:00,57.78,57.78,57.78,57.78,87.0
2019-06-26 08:59:00,57.76,57.76,57.76,57.76,249.0
2019-06-26 09:00:00,57.78,57.78,57.78,57.78,414.0
2019-06-26 09:03:00,57.7,57.7,57.7,57.7,128.0
2019-06-26 09:04:00,57.72,57.72,57.72,57.72,195.0
2019-06-26 09:05:00,57.76,57.76,57.76,57.76,187.0
2019-06-26 09:07:00,57.84,57.84,57.84,57.84,109.0
2019-06-26 09:08:00,57.96,57.96,57.9,57.9,4323.0
2019-06-26 09:09:00,57.92,57.92,57.9,57.9,1482.0
2019-06-26 09:10:00,57.98,57.98,57.98,57.98,153.0
2019-06-26 09:11:00,58.0,58.16,58.0,58.14,1292.0
2019-06-26 09:12:00,58.2,58.28,58.18,58.26,8364.0
2019-06-26 09:13:00,58.28,58.28,58.22,58.22,476.0
2019-06-26 09:14:00,58.26,58.3,58.26,58.3,121.0
2019-06-26 09:15:00,58.3,58.3,58.3,58.3,194.0
2019-06-26 09:16:00,58.32,58.36,58.3,58.36,574.0
2019-06-26 09:17:00,58.36,58.36,58.28,58.34,2761.0
2019-06-26 09:18:00,58.34,58.34,58.26,58.26,330.0
2019-06-26 09:19:00,58.24,58.24,58.24,58.24,10.0
2019-06-26 09:20:00,58.34,58.34,58.3,58.3,182.0
2019-06-26 09:21:00,58.34,58.34,58.26,58.26,383.0
2019-06-26 09:22:00,58.3,58.38,58.3,58.38,533.0
2019-06-26 09:23:00,58.32,58.36,58.32,58.36,1055.0
2019-06-26 09:24:00,58.38,58.4,58.38,58.4,415.0
2019-06-26 09:26:00,58.38,58.4,58.34,58.38,5770.0
2019-06-26 09:27:00,58.36,58.4,58.36,58.36,770.0
2019-06-26 09:28:00,58.4,58.4,58.4,58.4,74.0
2019-06-26 09:29:00,58.4,58.4,58.36,58.36,333.0
2019-06-26 09:30:00,58.38,58.38,58.34,58.36,1404.0
2019-06-26 09:31:00,58.36,58.36,58.36,58.36,59.0
2019-06-26 09:32:00,58.38,58.38,58.36,58.36,190.0
2019-06-26 09:33:00,58.36,58.36,58.32,58.34,1111.0
2019-06-26 09:34:00,58.3,58.32,58.3,58.32,260.0
2019-06-26 09:35:00,58.3,58.34,58.3,58.34,736.0
2019-06-26 09:36:00,58.34,58.38,58.34,58.38,51.0
2019-06-26 09:38:00,58.4,58.4,58.4,58.4,115.0
2019-06-26 09:39:00,58.42,58.42,58.42,58.42,52.0
2019-06-26 09:41:00,58.42,58.42,58.42,58.42,142.0
2019-06-26 09:42:00,58.46,58.46,58.46,58.46,78.0
2019-06-26 09:43:00,58.44,58.46,58.4,58.4,1924.0
2019-06-26 09:44:00,58.38,58.5,58.38,58.5,4611.0
2019-06-26 09:46:00,58.48,58.5,58.48,58.5,373.0
2019-06-26 09:47:00,58.5,58.5,58.48,58.48,560.0
