Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,138.84,138.84,134.64,136.26,1116700.0
2019-01-03,135.0,136.64,134.08,134.76,968713.0
2019-01-04,136.04,140.48,135.84,140.48,1177680.0
2019-01-07,141.9,142.44,140.2,140.64,936596.0
2019-01-08,139.0,146.02,138.36,143.0,1517810.0
2019-01-09,145.68,148.0,145.38,146.48,1370289.0
2019-01-10,144.54,146.74,143.0,144.92,1000029.0
2019-01-11,145.74,146.18,140.84,142.18,1507978.0
2019-01-14,140.5,144.8,140.0,144.12,1072599.0
2019-01-15,145.4,148.58,144.12,145.06,1276540.0
2019-01-16,145.78,146.4,144.02,144.9,699978.0
2019-01-17,143.5,143.62,141.96,142.9,926635.0
2019-01-18,144.2,146.66,144.1,145.66,1680219.0
2019-01-21,146.02,146.32,144.4,144.88,520991.0
2019-01-22,143.84,144.62,142.76,143.6,671066.0
2019-01-23,142.5,143.46,141.44,142.26,858314.0
2019-01-24,141.22,145.66,141.2,145.54,1333987.0
2019-01-25,147.3,152.36,147.08,151.64,2125332.0
2019-01-28,150.9,151.18,149.32,149.74,849954.0
2019-01-29,148.92,149.56,146.46,147.62,1086275.0
2019-01-30,147.8,148.48,146.14,147.42,671151.0
2019-01-31,148.96,150.62,145.66,148.62,1309165.0
2019-02-01,148.56,150.42,147.62,149.56,1290437.0
2019-02-04,148.4,149.54,146.26,147.66,853914.0
2019-02-05,147.7,149.32,147.0,149.32,903944.0
2019-02-06,148.28,149.6,147.56,149.4,812360.0
2019-02-07,147.9,148.38,142.32,142.32,1726239.0
2019-02-08,141.2,142.82,139.18,139.86,1759973.0
2019-02-11,141.24,141.78,139.82,140.86,1090559.0
2019-02-12,142.7,144.44,142.5,144.24,1115807.0
2019-02-13,145.0,146.34,143.72,143.74,849451.0
2019-02-14,144.6,145.04,141.76,141.86,926312.0
2019-02-15,140.6,145.28,139.26,144.4,1328340.0
2019-02-18,143.08,144.46,141.74,142.74,838335.0
2019-02-19,141.8,143.18,140.82,143.18,860012.0
2019-02-20,142.32,148.16,142.3,146.68,1547699.0
2019-02-21,147.38,147.92,145.6,146.58,796640.0
2019-02-22,145.92,149.44,145.28,146.72,1267789.0
2019-02-25,148.2,152.08,147.48,151.18,1753356.0
2019-02-26,150.2,151.34,148.14,151.02,1013849.0
2019-02-27,149.9,151.96,149.62,151.66,761019.0
2019-02-28,150.48,151.16,149.58,150.9,850849.0
2019-03-01,152.0,154.94,151.82,154.18,1438320.0
2019-03-04,154.56,155.42,154.22,154.24,786097.0
2019-03-05,153.48,154.42,152.9,154.22,836444.0
2019-03-06,153.4,153.6,150.98,152.18,1067248.0
2019-03-07,151.08,151.08,148.16,149.94,1141662.0
2019-03-08,147.5,148.0,145.36,147.06,1238158.0
2019-03-11,147.34,147.74,145.82,146.66,910780.0
2019-03-12,147.0,147.62,143.08,143.98,1754235.0
2019-03-13,144.5,146.5,143.8,145.54,1196765.0
2019-03-14,145.42,146.38,143.82,144.16,1058869.0
2019-03-15,143.5,145.72,142.52,144.32,2170847.0
2019-03-18,144.0,145.92,143.68,145.5,978863.0
2019-03-19,146.02,149.32,144.0,147.9,1429935.0
2019-03-20,147.98,148.16,143.46,143.92,1903277.0
2019-03-21,143.44,144.98,142.54,142.94,927582.0
2019-03-22,143.9,144.16,139.14,139.14,1953985.0
2019-03-25,138.58,140.6,138.28,139.82,838716.0
2019-03-26,140.0,140.08,138.22,138.62,771187.0
2019-03-27,139.46,140.7,138.04,139.04,1006122.0
2019-03-28,139.0,140.14,137.94,138.48,642174.0
2019-03-29,139.6,141.1,139.6,140.32,883289.0
2019-04-01,142.32,145.22,142.32,144.46,1581086.0
2019-04-02,143.38,146.62,143.38,146.1,1089506.0
2019-04-03,147.5,149.7,147.1,148.52,1353567.0
2019-04-04,147.8,151.1,147.68,149.96,1091467.0
2019-04-05,149.8,150.6,148.06,148.76,963368.0
2019-04-08,147.24,149.7,146.68,149.32,679562.0
2019-04-09,148.5,151.42,147.2,148.0,999668.0
2019-04-10,147.82,148.76,146.94,147.6,720467.0
2019-04-11,148.5,151.42,147.52,151.14,1074181.0
2019-04-12,150.94,154.58,149.74,153.34,1728451.0
2019-04-15,153.7,154.98,152.86,154.98,991355.0
2019-04-16,154.74,157.32,154.32,156.62,1076838.0
2019-04-17,157.62,162.1,157.44,161.36,1871159.0
2019-04-18,159.62,163.82,159.22,163.14,1880629.0
