Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-01-02,138.84,138.84,134.64,136.26,1116700.0,0.0,0,0.0,0
2019-01-03,135.0,136.64,134.08,134.76,968713.0,-4.0800000000000125,0,-147987.0,0
2019-01-04,136.04,140.48,135.84,140.48,1177680.0,5.47999999999999,1,208967.0,1
2019-01-07,141.9,142.44,140.2,140.64,936596.0,4.599999999999994,1,-241084.0,0
2019-01-08,139.0,146.02,138.36,143.0,1517810.0,1.0999999999999943,1,581214.0,1
2019-01-09,145.68,148.0,145.38,146.48,1370289.0,7.47999999999999,1,-147521.0,0
2019-01-10,144.54,146.74,143.0,144.92,1000029.0,-0.7600000000000193,0,-370260.0,0
2019-01-11,145.74,146.18,140.84,142.18,1507978.0,-2.359999999999985,0,507949.0,1
2019-01-14,140.5,144.8,140.0,144.12,1072599.0,-1.6200000000000045,0,-435379.0,0
2019-01-15,145.4,148.58,144.12,145.06,1276540.0,4.560000000000002,1,203941.0,1
2019-01-16,145.78,146.4,144.02,144.9,699978.0,-0.5,0,-576562.0,0
2019-01-17,143.5,143.62,141.96,142.9,926635.0,-2.8799999999999955,0,226657.0,1
2019-01-18,144.2,146.66,144.1,145.66,1680219.0,2.1599999999999966,1,753584.0,1
2019-01-21,146.02,146.32,144.4,144.88,520991.0,0.6800000000000068,1,-1159228.0,0
2019-01-22,143.84,144.62,142.76,143.6,671066.0,-2.420000000000016,0,150075.0,1
2019-01-23,142.5,143.46,141.44,142.26,858314.0,-1.5800000000000125,0,187248.0,1
2019-01-24,141.22,145.66,141.2,145.54,1333987.0,3.039999999999992,1,475673.0,1
2019-01-25,147.3,152.36,147.08,151.64,2125332.0,10.419999999999987,1,791345.0,1
2019-01-28,150.9,151.18,149.32,149.74,849954.0,2.4399999999999977,1,-1275378.0,0
2019-01-29,148.92,149.56,146.46,147.62,1086275.0,-3.280000000000001,0,236321.0,1
2019-01-30,147.8,148.48,146.14,147.42,671151.0,-1.5,0,-415124.0,0
2019-01-31,148.96,150.62,145.66,148.62,1309165.0,0.8199999999999932,1,638014.0,1
2019-02-01,148.56,150.42,147.62,149.56,1290437.0,0.5999999999999943,1,-18728.0,0
2019-02-04,148.4,149.54,146.26,147.66,853914.0,-0.9000000000000057,0,-436523.0,0
2019-02-05,147.7,149.32,147.0,149.32,903944.0,0.9199999999999875,1,50030.0,1
2019-02-06,148.28,149.6,147.56,149.4,812360.0,1.700000000000017,1,-91584.0,0
2019-02-07,147.9,148.38,142.32,142.32,1726239.0,-5.960000000000008,0,913879.0,1
2019-02-08,141.2,142.82,139.18,139.86,1759973.0,-8.039999999999992,0,33734.0,1
2019-02-11,141.24,141.78,139.82,140.86,1090559.0,-0.339999999999975,0,-669414.0,0
2019-02-12,142.7,144.44,142.5,144.24,1115807.0,3.0,1,25248.0,1
2019-02-13,145.0,146.34,143.72,143.74,849451.0,1.0400000000000205,1,-266356.0,0
2019-02-14,144.6,145.04,141.76,141.86,926312.0,-3.1399999999999864,0,76861.0,1
