Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-08-13 07:01:00,140.0,140.88,140.0,140.6,17810.0,0.0,0,0.0,0
2019-08-13 07:02:00,140.74,140.74,140.38,140.58,2369.0,0.5800000000000125,1,-15441.0,0
2019-08-13 07:03:00,140.64,140.68,140.64,140.68,284.0,-0.060000000000002274,0,-2085.0,0
2019-08-13 07:04:00,140.56,140.62,140.3,140.54,4479.0,-0.09999999999999432,0,4195.0,1
2019-08-13 07:05:00,140.62,140.7,140.62,140.7,203.0,0.13999999999998636,1,-4276.0,0
2019-08-13 07:06:00,140.78,141.22,140.78,141.22,2885.0,0.5999999999999943,1,2682.0,1
2019-08-13 07:07:00,141.22,141.36,140.98,140.98,2195.0,0.19999999999998863,1,-690.0,0
2019-08-13 07:08:00,140.98,141.0,140.68,140.82,3003.0,-0.4000000000000057,0,808.0,1
2019-08-13 07:09:00,140.78,140.94,140.78,140.94,1334.0,-0.03999999999999204,0,-1669.0,0
2019-08-13 07:10:00,140.98,141.12,140.96,141.1,1227.0,0.3199999999999932,1,-107.0,0
2019-08-13 07:11:00,141.14,141.2,141.06,141.08,1151.0,0.10000000000002274,1,-76.0,0
2019-08-13 07:12:00,141.02,141.06,140.94,141.06,956.0,-0.07999999999998408,0,-195.0,0
2019-08-13 07:13:00,141.12,141.12,141.0,141.04,1241.0,0.01999999999998181,1,285.0,1
2019-08-13 07:14:00,141.08,141.08,140.92,140.92,1398.0,-0.20000000000001705,0,157.0,1
2019-08-13 07:15:00,140.98,141.02,140.98,140.98,526.0,-0.10000000000002274,0,-872.0,0
2019-08-13 07:16:00,141.08,141.38,141.08,141.3,2152.0,0.3200000000000216,1,1626.0,1
2019-08-13 07:17:00,141.26,141.3,141.1,141.1,1027.0,0.01999999999998181,1,-1125.0,0
2019-08-13 07:18:00,141.12,141.16,140.9,141.0,2118.0,-0.2599999999999909,0,1091.0,1
2019-08-13 07:19:00,140.96,140.98,140.9,140.94,579.0,-0.18000000000000682,0,-1539.0,0
2019-08-13 07:20:00,140.98,141.0,140.86,140.94,1349.0,-0.020000000000010232,0,770.0,1
2019-08-13 07:21:00,140.88,141.04,140.88,141.04,1171.0,0.060000000000002274,1,-178.0,0
2019-08-13 07:22:00,141.04,141.04,140.98,141.02,923.0,0.14000000000001478,1,-248.0,0
2019-08-13 07:23:00,141.04,141.12,140.96,140.98,1470.0,-0.060000000000002274,0,547.0,1
2019-08-13 07:24:00,140.92,141.0,140.88,140.96,1378.0,-0.07999999999998408,0,-92.0,0
2019-08-13 07:25:00,140.92,141.0,140.9,140.92,867.0,0.0,0,-511.0,0
2019-08-13 07:26:00,140.94,140.94,140.84,140.92,3074.0,0.0,0,2207.0,1
2019-08-13 07:27:00,140.9,140.94,140.78,140.8,2081.0,-0.13999999999998636,0,-993.0,0
2019-08-13 07:28:00,140.78,140.9,140.72,140.9,2203.0,0.0,0,122.0,1
2019-08-13 07:29:00,140.86,140.96,140.86,140.94,1548.0,0.1599999999999966,1,-655.0,0
2019-08-13 07:30:00,140.92,140.94,140.88,140.94,739.0,0.07999999999998408,1,-809.0,0
2019-08-13 07:31:00,140.92,141.06,140.92,141.06,1106.0,0.14000000000001478,1,367.0,1
2019-08-13 07:32:00,141.04,141.04,141.04,141.04,92.0,0.12000000000000455,1,-1014.0,0
2019-08-13 07:33:00,141.02,141.12,141.02,141.04,1011.0,0.0,0,919.0,1
2019-08-13 07:34:00,141.06,141.08,140.98,141.02,1781.0,0.0,0,770.0,1
2019-08-13 07:35:00,141.06,141.06,140.98,140.98,2256.0,-0.0800000000000125,0,475.0,1
2019-08-13 07:36:00,140.98,141.0,140.9,140.9,2014.0,-0.1599999999999966,0,-242.0,0
2019-08-13 07:37:00,140.94,140.98,140.92,140.98,1130.0,0.0,0,-884.0,0
2019-08-13 07:38:00,140.94,140.96,140.94,140.96,204.0,0.020000000000010232,1,-926.0,0
2019-08-13 07:39:00,140.98,141.04,140.94,140.98,1433.0,0.03999999999999204,1,1229.0,1
2019-08-13 07:40:00,140.94,140.94,140.88,140.9,1806.0,-0.07999999999998408,0,373.0,1
2019-08-13 07:41:00,140.9,140.9,140.8,140.82,4773.0,-0.12000000000000455,0,2967.0,1
2019-08-13 07:42:00,140.8,140.82,140.66,140.7,5855.0,-0.20000000000001705,0,1082.0,1
2019-08-13 07:43:00,140.7,140.82,140.68,140.82,2453.0,0.01999999999998181,1,-3402.0,0
2019-08-13 07:44:00,140.78,140.9,140.72,140.76,2772.0,0.060000000000002274,1,319.0,1
2019-08-13 07:45:00,140.72,140.76,140.72,140.76,335.0,-0.020000000000010232,0,-2437.0,0
2019-08-13 07:46:00,140.76,140.86,140.68,140.68,1832.0,-0.03999999999999204,0,1497.0,1
2019-08-13 07:47:00,140.68,140.72,140.68,140.72,861.0,-0.03999999999999204,0,-971.0,0
2019-08-13 07:48:00,140.64,140.66,140.6,140.6,774.0,-0.0800000000000125,0,-87.0,0
2019-08-13 07:49:00,140.6,140.66,140.6,140.66,737.0,0.020000000000010232,1,-37.0,0
2019-08-13 07:50:00,140.66,140.68,140.66,140.68,524.0,0.0800000000000125,1,-213.0,0
2019-08-13 07:51:00,140.7,140.76,140.7,140.7,698.0,0.03999999999999204,1,174.0,1
2019-08-13 07:52:00,140.72,140.74,140.72,140.74,352.0,0.040000000000020464,1,-346.0,0
2019-08-13 07:53:00,140.76,140.82,140.76,140.82,472.0,0.09999999999999432,1,120.0,1
2019-08-13 07:54:00,140.8,140.8,140.58,140.6,1311.0,-0.1599999999999966,0,839.0,1
2019-08-13 07:55:00,140.6,140.66,140.6,140.62,1003.0,-0.18000000000000682,0,-308.0,0
2019-08-13 07:56:00,140.64,140.7,140.64,140.64,649.0,0.03999999999999204,1,-354.0,0
2019-08-13 07:57:00,140.66,140.66,140.6,140.6,646.0,-0.03999999999999204,0,-3.0,0
2019-08-13 07:58:00,140.62,140.68,140.58,140.68,523.0,0.020000000000010232,1,-123.0,0
2019-08-13 07:59:00,140.66,140.66,140.6,140.6,679.0,-0.020000000000010232,0,156.0,1
2019-08-13 08:00:00,140.6,140.66,140.56,140.6,2065.0,-0.060000000000002274,0,1386.0,1
2019-08-13 08:01:00,140.66,140.84,140.66,140.74,2339.0,0.14000000000001478,1,274.0,1
2019-08-13 08:02:00,140.7,140.7,140.7,140.7,195.0,0.03999999999999204,1,-2144.0,0
2019-08-13 08:03:00,140.7,140.78,140.7,140.78,916.0,0.0800000000000125,1,721.0,1
2019-08-13 08:04:00,140.74,140.74,140.72,140.74,1521.0,0.040000000000020464,1,605.0,1
2019-08-13 08:05:00,140.7,140.8,140.7,140.78,1109.0,0.03999999999999204,1,-412.0,0
2019-08-13 08:06:00,140.82,140.92,140.82,140.86,1029.0,0.160000000000025,1,-80.0,0
2019-08-13 08:07:00,140.86,140.9,140.84,140.9,159.0,0.0800000000000125,1,-870.0,0
2019-08-13 08:08:00,140.88,140.96,140.88,140.96,1056.0,0.09999999999999432,1,897.0,1
2019-08-13 08:09:00,140.98,140.98,140.86,140.88,962.0,0.0,0,-94.0,0
2019-08-13 08:10:00,140.86,140.9,140.82,140.9,580.0,-0.07999999999998408,0,-382.0,0
2019-08-13 08:11:00,140.9,140.9,140.72,140.76,2428.0,-0.10000000000002274,0,1848.0,1
2019-08-13 08:12:00,140.72,140.74,140.72,140.72,305.0,-0.18000000000000682,0,-2123.0,0
2019-08-13 08:13:00,140.74,140.9,140.74,140.86,780.0,0.14000000000001478,1,475.0,1
2019-08-13 08:14:00,140.88,140.9,140.84,140.9,335.0,0.1599999999999966,1,-445.0,0
2019-08-13 08:15:00,140.88,140.98,140.86,140.98,1188.0,0.09999999999999432,1,853.0,1
2019-08-13 08:16:00,141.02,141.1,141.02,141.08,926.0,0.20000000000001705,1,-262.0,0
2019-08-13 08:17:00,141.06,141.06,141.0,141.06,577.0,0.03999999999999204,1,-349.0,0
2019-08-13 08:18:00,141.02,141.14,141.02,141.1,604.0,0.03999999999999204,1,27.0,1
2019-08-13 08:19:00,141.14,141.14,141.1,141.14,2125.0,0.11999999999997613,1,1521.0,1
2019-08-13 08:20:00,141.16,141.16,141.08,141.08,1032.0,-0.05999999999997385,0,-1093.0,0
2019-08-13 08:21:00,141.06,141.12,141.06,141.12,336.0,-0.03999999999999204,0,-696.0,0
