Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-08-05 11:05:00,141.34,141.46,141.34,141.46,2854.0
2019-08-05 11:06:00,141.4,141.4,141.36,141.38,304.0
2019-08-05 11:07:00,141.48,141.52,141.46,141.52,1034.0
2019-08-05 11:08:00,141.52,141.58,141.52,141.52,1241.0
2019-08-05 11:09:00,141.56,141.62,141.56,141.6,1895.0
2019-08-05 11:10:00,141.56,141.64,141.54,141.62,1157.0
2019-08-05 11:11:00,141.58,141.62,141.58,141.6,760.0
2019-08-05 11:12:00,141.62,141.66,141.6,141.66,697.0
2019-08-05 11:13:00,141.64,141.68,141.62,141.68,495.0
2019-08-05 11:14:00,141.66,141.9,141.66,141.82,5657.0
2019-08-05 11:15:00,141.9,142.0,141.88,141.92,603.0
2019-08-05 11:16:00,141.9,142.0,141.86,142.0,791.0
2019-08-05 11:17:00,142.0,142.02,141.92,141.92,674.0
2019-08-05 11:18:00,141.9,141.9,141.82,141.84,1130.0
2019-08-05 11:19:00,141.8,141.8,141.68,141.72,1862.0
2019-08-05 11:20:00,141.74,141.74,141.72,141.72,122.0
2019-08-05 11:21:00,141.74,141.74,141.72,141.74,256.0
2019-08-05 11:22:00,141.74,141.82,141.74,141.82,277.0
2019-08-05 11:23:00,141.78,141.78,141.74,141.78,662.0
2019-08-05 11:24:00,141.76,141.8,141.74,141.76,677.0
2019-08-05 11:25:00,141.78,141.84,141.78,141.8,1894.0
2019-08-05 11:26:00,141.82,141.82,141.72,141.74,617.0
2019-08-05 11:27:00,141.76,141.84,141.76,141.84,746.0
2019-08-05 11:28:00,141.8,141.86,141.8,141.84,838.0
2019-08-05 11:29:00,141.82,141.82,141.76,141.82,703.0
2019-08-05 11:30:00,141.82,141.9,141.82,141.88,917.0
2019-08-05 11:31:00,141.92,141.98,141.84,141.88,496.0
2019-08-05 11:32:00,141.94,142.22,141.94,142.1,6173.0
2019-08-05 11:33:00,142.06,142.1,142.0,142.02,852.0
2019-08-05 11:34:00,142.02,142.1,142.0,142.1,797.0
2019-08-05 11:35:00,142.16,142.16,142.04,142.12,2330.0
2019-08-05 11:36:00,142.1,142.1,141.96,142.0,680.0
2019-08-05 11:37:00,142.0,142.02,141.92,141.94,1475.0
2019-08-05 11:38:00,141.96,141.98,141.9,141.96,2549.0
2019-08-05 11:39:00,141.94,141.98,141.9,141.94,1226.0
2019-08-05 11:40:00,141.92,141.92,141.9,141.92,676.0
2019-08-05 11:41:00,141.92,141.98,141.9,141.96,1528.0
2019-08-05 11:42:00,141.94,141.98,141.92,141.98,811.0
2019-08-05 11:43:00,142.02,142.12,142.02,142.08,1305.0
2019-08-05 11:44:00,142.06,142.14,142.06,142.08,744.0
2019-08-05 11:45:00,142.06,142.24,142.04,142.24,2910.0
2019-08-05 11:46:00,142.24,142.26,142.2,142.2,315.0
2019-08-05 11:47:00,142.22,142.28,142.2,142.28,566.0
2019-08-05 11:48:00,142.26,142.4,142.24,142.3,1988.0
2019-08-05 11:49:00,142.26,142.26,142.22,142.22,702.0
2019-08-05 11:50:00,142.26,142.32,142.26,142.3,2678.0
2019-08-05 11:51:00,142.3,142.36,142.28,142.36,1057.0
2019-08-05 11:52:00,142.34,142.42,142.32,142.34,2812.0
2019-08-05 11:53:00,142.34,142.4,142.34,142.36,2029.0
