Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-07-29 07:01:00,154.92,155.3,154.36,154.36,12506.0,0.0,0,0.0,0
2019-07-29 07:02:00,154.38,154.54,154.04,154.04,3173.0,-0.8799999999999955,0,-9333.0,0
2019-07-29 07:03:00,154.16,154.34,154.06,154.26,1847.0,-0.12000000000000455,0,-1326.0,0
2019-07-29 07:04:00,154.26,154.46,154.26,154.44,2114.0,0.28000000000000114,1,267.0,1
2019-07-29 07:05:00,154.42,154.42,154.42,154.42,105.0,0.1599999999999966,1,-2009.0,0
2019-07-29 07:06:00,154.3,154.32,153.9,154.0,1722.0,-0.4199999999999875,0,1617.0,1
2019-07-29 07:07:00,154.0,154.32,153.98,154.28,1819.0,-0.020000000000010232,0,97.0,1
2019-07-29 07:08:00,154.16,154.32,154.02,154.22,1467.0,0.21999999999999886,1,-352.0,0
2019-07-29 07:09:00,154.1,154.28,153.96,154.12,5692.0,-0.03999999999999204,0,4225.0,1
2019-07-29 07:10:00,154.18,154.2,154.04,154.12,974.0,0.020000000000010232,1,-4718.0,0
2019-07-29 07:11:00,154.34,154.4,154.08,154.08,1454.0,-0.09999999999999432,0,480.0,1
2019-07-29 07:12:00,154.04,154.14,154.02,154.14,787.0,-0.20000000000001705,0,-667.0,0
2019-07-29 07:13:00,154.16,154.18,154.0,154.12,1783.0,0.0800000000000125,1,996.0,1
2019-07-29 07:14:00,153.92,153.96,153.92,153.96,506.0,-0.19999999999998863,0,-1277.0,0
2019-07-29 07:15:00,153.96,154.0,153.82,154.0,1678.0,0.0800000000000125,1,1172.0,1
2019-07-29 07:16:00,154.1,154.16,153.84,154.0,5828.0,0.03999999999999204,1,4150.0,1
2019-07-29 07:17:00,154.0,154.0,153.74,153.76,1276.0,-0.3400000000000034,0,-4552.0,0
2019-07-29 07:18:00,153.88,153.96,153.84,153.88,1836.0,-0.12000000000000455,0,560.0,1
2019-07-29 07:19:00,153.82,153.84,153.74,153.82,374.0,-0.060000000000002274,0,-1462.0,0
2019-07-29 07:20:00,153.8,153.8,153.6,153.7,2700.0,-0.12000000000000455,0,2326.0,1
2019-07-29 07:21:00,153.7,153.78,153.64,153.66,1785.0,-0.14000000000001478,0,-915.0,0
2019-07-29 07:22:00,153.72,153.72,153.48,153.48,1958.0,-0.21999999999999886,0,173.0,1
2019-07-29 07:23:00,153.5,153.58,153.48,153.54,2647.0,-0.18000000000000682,0,689.0,1
2019-07-29 07:24:00,153.52,153.52,153.38,153.5,1004.0,0.0,0,-1643.0,0
2019-07-29 07:25:00,153.52,153.62,153.48,153.54,911.0,0.01999999999998181,1,-93.0,0
2019-07-29 07:26:00,153.54,153.64,153.54,153.64,886.0,0.11999999999997613,1,-25.0,0
2019-07-29 07:27:00,153.66,153.9,153.66,153.74,1870.0,0.20000000000001705,1,984.0,1
2019-07-29 07:28:00,153.74,153.78,153.66,153.7,1364.0,0.03999999999999204,1,-506.0,0
2019-07-29 07:29:00,153.74,153.86,153.72,153.84,2077.0,0.09999999999999432,1,713.0,1
2019-07-29 07:30:00,153.8,153.8,153.66,153.76,2671.0,0.01999999999998181,1,594.0,1
2019-07-29 07:31:00,153.76,153.86,153.74,153.76,3002.0,-0.040000000000020464,0,331.0,1
2019-07-29 07:32:00,153.82,153.94,153.76,153.76,3117.0,0.0,0,115.0,1
2019-07-29 07:33:00,153.78,153.86,153.78,153.84,693.0,0.020000000000010232,1,-2424.0,0
2019-07-29 07:34:00,153.8,153.84,153.78,153.8,610.0,0.020000000000010232,1,-83.0,0
2019-07-29 07:35:00,153.82,153.84,153.76,153.76,404.0,-0.040000000000020464,0,-206.0,0
2019-07-29 07:36:00,153.74,153.86,153.72,153.86,916.0,0.040000000000020464,1,512.0,1
2019-07-29 07:37:00,153.86,153.9,153.82,153.82,446.0,0.07999999999998408,1,-470.0,0
2019-07-29 07:38:00,153.8,153.8,153.7,153.7,648.0,-0.160000000000025,0,202.0,1
2019-07-29 07:39:00,153.72,153.86,153.72,153.86,761.0,0.060000000000002274,1,113.0,1
2019-07-29 07:40:00,153.88,153.88,153.82,153.82,132.0,0.09999999999999432,1,-629.0,0
2019-07-29 07:41:00,153.74,153.78,153.6,153.68,2176.0,-0.19999999999998863,0,2044.0,1
2019-07-29 07:42:00,153.6,153.66,153.56,153.64,1010.0,-0.10000000000002274,0,-1166.0,0
2019-07-29 07:43:00,153.64,153.64,153.56,153.58,450.0,-0.01999999999998181,0,-560.0,0
2019-07-29 07:44:00,153.58,153.68,153.58,153.68,3041.0,0.040000000000020464,1,2591.0,1
2019-07-29 07:45:00,153.64,153.64,153.54,153.56,2063.0,-0.020000000000010232,0,-978.0,0
2019-07-29 07:46:00,153.54,153.56,153.54,153.56,203.0,-0.07999999999998408,0,-1860.0,0
2019-07-29 07:47:00,153.58,153.66,153.58,153.62,1109.0,0.0800000000000125,1,906.0,1
2019-07-29 07:48:00,153.62,153.62,153.58,153.58,367.0,0.0,0,-742.0,0
2019-07-29 07:49:00,153.58,153.66,153.58,153.62,552.0,0.0,0,185.0,1
2019-07-29 07:50:00,153.62,153.66,153.62,153.66,68.0,0.07999999999998408,1,-484.0,0
2019-07-29 07:51:00,153.68,153.7,153.58,153.64,1310.0,0.01999999999998181,1,1242.0,1
2019-07-29 07:52:00,153.66,153.66,153.54,153.54,672.0,-0.14000000000001478,0,-638.0,0
2019-07-29 07:53:00,153.54,153.6,153.54,153.56,386.0,-0.09999999999999432,0,-286.0,0
2019-07-29 07:54:00,153.54,153.54,153.42,153.44,2902.0,-0.09999999999999432,0,2516.0,1
2019-07-29 07:55:00,153.46,153.58,153.46,153.56,809.0,0.020000000000010232,1,-2093.0,0
2019-07-29 07:56:00,153.54,153.54,153.48,153.5,1032.0,0.03999999999999204,1,223.0,1
2019-07-29 07:57:00,153.52,153.56,153.46,153.5,3760.0,-0.03999999999999204,0,2728.0,1
2019-07-29 07:58:00,153.46,153.46,153.42,153.42,497.0,-0.10000000000002274,0,-3263.0,0
2019-07-29 07:59:00,153.42,153.48,153.42,153.46,1204.0,0.0,0,707.0,1
2019-07-29 08:00:00,153.48,153.48,153.38,153.4,690.0,-0.01999999999998181,0,-514.0,0
2019-07-29 08:01:00,153.46,153.5,153.36,153.36,722.0,-0.11999999999997613,0,32.0,1
2019-07-29 08:02:00,153.34,153.44,153.3,153.44,1479.0,-0.020000000000010232,0,757.0,1
2019-07-29 08:03:00,153.42,153.44,153.42,153.42,574.0,0.07999999999998408,1,-905.0,0
2019-07-29 08:04:00,153.42,153.44,153.34,153.34,548.0,-0.07999999999998408,0,-26.0,0
2019-07-29 08:05:00,153.32,153.36,153.32,153.32,226.0,-0.09999999999999432,0,-322.0,0
2019-07-29 08:06:00,153.28,153.32,153.28,153.28,403.0,-0.03999999999999204,0,177.0,1
2019-07-29 08:07:00,153.26,153.26,153.24,153.24,105.0,-0.03999999999999204,0,-298.0,0
2019-07-29 08:08:00,153.24,153.34,153.24,153.32,4877.0,0.060000000000002274,1,4772.0,1
2019-07-29 08:09:00,153.34,153.36,153.14,153.2,8832.0,-0.040000000000020464,0,3955.0,1
2019-07-29 08:10:00,153.16,153.16,153.02,153.06,8683.0,-0.28000000000000114,0,-149.0,0
2019-07-29 08:11:00,153.08,153.1,153.02,153.08,1701.0,-0.07999999999998408,0,-6982.0,0
2019-07-29 08:12:00,153.02,153.12,153.02,153.1,1089.0,0.01999999999998181,1,-612.0,0
2019-07-29 08:13:00,153.12,153.12,153.06,153.12,1500.0,0.09999999999999432,1,411.0,1
2019-07-29 08:14:00,153.12,153.26,153.12,153.26,1202.0,0.13999999999998636,1,-298.0,0
2019-07-29 08:15:00,153.28,153.28,153.28,153.28,114.0,0.1599999999999966,1,-1088.0,0
2019-07-29 08:16:00,153.3,153.42,153.3,153.42,404.0,0.13999999999998636,1,290.0,1
2019-07-29 08:17:00,153.44,153.76,153.38,153.58,10379.0,0.28000000000000114,1,9975.0,1
2019-07-29 08:18:00,153.56,153.6,153.46,153.52,1007.0,0.0800000000000125,1,-9372.0,0
2019-07-29 08:19:00,153.52,153.54,153.52,153.54,447.0,-0.020000000000010232,0,-560.0,0
2019-07-29 08:20:00,153.54,153.54,153.44,153.5,1237.0,-0.020000000000010232,0,790.0,1
2019-07-29 08:21:00,153.5,153.58,153.44,153.46,721.0,-0.07999999999998408,0,-516.0,0
2019-07-29 08:22:00,153.44,153.44,153.4,153.42,189.0,-0.0800000000000125,0,-532.0,0
2019-07-29 08:23:00,153.42,153.44,153.4,153.4,627.0,-0.03999999999999204,0,438.0,1
2019-07-29 08:24:00,153.4,153.46,153.38,153.4,1284.0,-0.01999999999998181,0,657.0,1
2019-07-29 08:25:00,153.4,153.4,153.36,153.36,366.0,-0.03999999999999204,0,-918.0,0
2019-07-29 08:26:00,153.3,153.38,153.3,153.34,1797.0,-0.060000000000002274,0,1431.0,1
2019-07-29 08:27:00,153.34,153.34,153.3,153.34,494.0,0.03999999999999204,1,-1303.0,0
2019-07-29 08:28:00,153.36,153.38,153.32,153.32,861.0,-0.020000000000010232,0,367.0,1
2019-07-29 08:29:00,153.28,153.36,153.28,153.32,302.0,-0.040000000000020464,0,-559.0,0
