Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,115.45,115.8,112.85,115.4,3435741.0
2019-01-03,114.0,115.45,113.75,113.85,3143939.0
2019-01-04,114.15,119.05,114.15,118.9,5896522.0
2019-01-07,118.75,119.25,116.85,117.65,4762419.0
2019-01-08,117.5,122.85,117.25,121.65,6443797.0
2019-01-09,122.35,123.5,120.95,122.05,4074105.0
2019-01-10,121.1,121.25,119.5,121.05,3611206.0
2019-01-11,121.1,121.65,119.3,120.75,3470357.0
2019-01-14,120.2,121.35,119.75,120.8,2716065.0
2019-01-15,120.15,122.15,120.15,121.35,4967359.0
2019-01-16,121.75,122.75,121.35,122.0,5095006.0
2019-01-17,121.25,122.65,120.85,122.1,3899718.0
2019-01-18,123.35,125.3,123.0,125.15,7595323.0
2019-01-21,123.85,124.9,122.85,123.85,4142148.0
2019-01-22,123.5,124.1,121.7,122.5,3426071.0
2019-01-23,122.0,122.3,120.45,120.85,3986630.0
2019-01-24,120.45,121.8,119.4,120.95,4613774.0
2019-01-25,121.9,125.65,121.8,125.2,5058742.0
2019-01-28,125.3,126.1,123.9,124.5,4274024.0
2019-01-29,125.3,127.7,124.2,126.5,5861889.0
2019-01-30,125.0,127.75,122.95,126.4,10083434.0
2019-01-31,129.85,132.25,128.6,130.05,10593026.0
2019-02-01,130.5,131.4,129.05,130.6,6272831.0
2019-02-04,131.35,131.95,129.75,130.75,5411165.0
2019-02-05,131.2,132.1,130.35,131.15,4789335.0
2019-02-06,130.6,132.5,130.1,132.15,4035085.0
2019-02-07,132.7,133.45,129.45,129.45,5111099.0
2019-02-08,129.05,130.05,128.2,128.4,3998791.0
2019-02-11,129.45,130.8,128.7,129.65,3091837.0
2019-02-12,131.0,132.9,130.25,132.35,4203471.0
2019-02-13,132.5,133.25,131.6,132.25,3853502.0
2019-02-14,133.25,134.15,131.9,132.9,3871319.0
2019-02-15,132.9,135.65,131.7,135.25,5676957.0
2019-02-18,135.3,135.95,134.15,134.45,3641135.0
2019-02-19,134.1,134.45,133.2,134.2,3339229.0
2019-02-20,134.2,138.45,134.2,138.25,6480006.0
2019-02-21,138.8,139.3,136.8,137.65,5142394.0
2019-02-22,138.0,139.4,137.75,138.5,3658953.0
2019-02-25,139.5,139.8,137.8,138.5,3404845.0
2019-02-26,138.15,139.1,137.45,138.3,3713231.0
2019-02-27,137.8,138.05,136.45,136.65,3120638.0
2019-02-28,136.4,136.4,134.4,136.0,4253792.0
2019-03-01,136.85,137.35,136.2,136.5,3746320.0
2019-03-04,137.05,138.95,137.0,138.25,3376467.0
2019-03-05,138.25,138.3,136.25,137.9,3642087.0
2019-03-06,138.05,138.05,135.65,136.25,4144099.0
2019-03-07,136.15,136.3,133.85,134.7,3374045.0
2019-03-08,133.2,133.75,131.7,133.75,3769056.0
2019-03-11,134.0,135.65,133.8,135.65,3116605.0
2019-03-12,136.7,136.8,134.1,134.55,3310450.0
2019-03-13,134.4,136.0,133.95,136.0,4463958.0
2019-03-14,136.0,137.15,135.25,136.55,3984617.0
2019-03-15,137.0,137.8,135.45,137.2,6005904.0
2019-03-18,137.8,138.35,136.2,137.15,4636912.0
2019-03-19,137.6,141.15,137.1,141.0,6802736.0
2019-03-20,140.8,141.1,139.35,139.5,4004082.0
2019-03-21,139.55,140.15,138.45,139.0,3586845.0
2019-03-22,139.9,139.95,134.7,134.75,4489713.0
2019-03-25,134.45,134.45,132.45,133.0,4234292.0
2019-03-26,133.95,136.15,132.95,135.8,6725760.0
2019-03-27,136.9,140.5,136.7,139.35,9157782.0
2019-03-28,139.35,141.85,139.0,141.15,6790979.0
2019-03-29,142.05,145.0,141.75,144.0,7686613.0
