Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-19 07:02:00,170.0,170.0,170.0,170.0,2400.0
2020-03-19 07:57:00,170.0,170.0,170.0,170.0,2000.0
2020-03-19 08:01:00,98.32,99.02,98.26,98.76,214163.0
2020-03-19 08:02:00,99.1,99.16,98.2,98.96,39041.0
2020-03-19 08:03:00,98.62,99.8,98.62,99.8,49304.0
2020-03-19 08:04:00,99.7,100.5,99.54,100.25,45228.0
2020-03-19 08:05:00,100.25,100.6,99.98,100.2,45524.0
2020-03-19 08:06:00,99.98,100.1,99.02,99.3,35318.0
2020-03-19 08:07:00,99.0,99.26,98.74,98.8,14679.0
2020-03-19 08:08:00,98.86,98.86,98.32,98.44,22598.0
2020-03-19 08:09:00,98.56,98.78,98.4,98.52,33283.0
2020-03-19 08:10:00,98.5,99.0,98.5,99.0,26022.0
2020-03-19 08:11:00,99.22,99.48,98.76,99.08,19342.0
2020-03-19 08:12:00,99.2,99.44,98.84,99.44,32949.0
2020-03-19 08:13:00,99.48,99.9,99.0,99.86,25488.0
2020-03-19 08:14:00,99.86,99.9,99.7,99.78,12069.0
2020-03-19 08:15:00,99.7,99.86,99.02,99.16,28235.0
2020-03-19 08:16:00,99.0,99.14,98.7,98.92,19748.0
2020-03-19 08:17:00,99.0,100.25,99.0,100.25,77274.0
2020-03-19 08:18:00,100.25,100.3,99.8,100.2,34409.0
2020-03-19 08:19:00,100.1,100.2,99.98,100.15,12526.0
2020-03-19 08:20:00,100.15,100.25,99.96,100.25,36811.0
2020-03-19 08:21:00,100.35,101.4,100.35,101.4,58558.0
2020-03-19 08:22:00,101.4,101.5,101.2,101.3,37717.0
2020-03-19 08:23:00,101.3,101.55,101.1,101.1,22463.0
2020-03-19 08:24:00,101.0,101.7,101.0,101.55,22346.0
2020-03-19 08:25:00,101.55,101.9,101.45,101.45,38035.0
2020-03-19 08:26:00,101.35,101.35,100.1,100.5,29594.0
2020-03-19 08:27:00,100.5,100.5,99.94,100.0,53163.0
2020-03-19 08:28:00,100.2,100.65,99.84,100.65,25627.0
2020-03-19 08:29:00,100.55,100.9,100.55,100.9,10235.0
2020-03-19 08:30:00,100.95,101.5,100.9,101.5,28730.0
2020-03-19 08:31:00,101.4,101.55,100.65,100.65,12654.0
2020-03-19 08:32:00,100.35,100.95,100.35,100.95,10346.0
2020-03-19 08:33:00,100.95,101.1,100.65,101.1,20896.0
2020-03-19 08:34:00,101.0,101.1,100.6,100.75,10615.0
2020-03-19 08:35:00,100.75,100.95,100.2,100.3,16267.0
2020-03-19 08:36:00,100.5,100.65,100.25,100.3,10237.0
2020-03-19 08:37:00,100.4,100.4,99.8,100.15,23048.0
2020-03-19 08:38:00,100.05,100.25,99.74,99.74,14622.0
2020-03-19 08:39:00,99.66,99.7,99.04,99.04,15971.0
2020-03-19 08:40:00,99.2,99.2,98.58,98.86,45942.0
2020-03-19 08:41:00,98.8,99.04,98.56,99.0,18550.0
2020-03-19 08:42:00,99.04,99.1,98.7,98.74,20263.0
2020-03-19 08:43:00,98.86,98.86,98.44,98.48,20941.0
2020-03-19 08:44:00,98.54,98.56,97.56,97.72,62080.0
2020-03-19 08:45:00,97.72,97.9,97.62,97.9,8911.0
2020-03-19 08:46:00,97.92,98.26,97.9,97.94,21103.0
2020-03-19 08:47:00,97.98,97.98,97.36,97.4,66327.0
2020-03-19 08:48:00,97.3,97.44,97.18,97.32,16679.0
2020-03-19 08:49:00,97.32,97.92,97.32,97.92,11364.0
2020-03-19 08:50:00,97.92,98.22,97.92,97.96,8925.0
2020-03-19 08:51:00,98.02,98.42,97.98,98.24,17796.0
2020-03-19 08:52:00,98.26,98.76,98.02,98.64,28828.0
2020-03-19 08:53:00,98.7,98.92,98.6,98.7,11531.0
2020-03-19 08:54:00,98.74,98.86,98.4,98.72,30200.0
2020-03-19 08:55:00,98.92,98.92,98.7,98.82,2828.0
2020-03-19 08:56:00,98.9,98.94,98.72,98.88,14302.0
2020-03-19 08:57:00,98.88,99.0,98.78,99.0,21595.0
2020-03-19 08:58:00,98.88,99.32,98.84,99.08,52287.0
2020-03-19 08:59:00,99.08,99.36,98.92,99.24,22396.0
2020-03-19 09:00:00,99.4,99.58,99.28,99.58,19080.0
2020-03-19 09:01:00,99.6,99.7,99.36,99.7,15204.0
2020-03-19 09:02:00,99.7,99.72,99.0,99.0,28651.0
2020-03-19 09:03:00,99.12,99.5,99.12,99.26,20947.0
2020-03-19 09:04:00,99.18,99.22,98.88,98.98,29367.0
2020-03-19 09:05:00,98.98,99.1,98.6,98.78,93117.0
2020-03-19 09:06:00,98.86,98.86,98.4,98.5,19725.0
2020-03-19 09:07:00,98.5,98.62,98.4,98.44,22168.0
2020-03-19 09:08:00,98.46,98.46,98.24,98.4,15022.0
2020-03-19 09:09:00,98.42,98.6,98.32,98.6,15210.0
2020-03-19 09:10:00,98.56,98.58,98.42,98.56,7824.0
2020-03-19 09:11:00,98.48,98.88,98.46,98.88,17756.0
2020-03-19 09:12:00,98.94,99.0,98.84,98.88,9734.0
2020-03-19 09:13:00,98.96,99.26,98.94,99.2,11686.0
2020-03-19 09:14:00,99.32,99.42,99.24,99.4,32317.0
2020-03-19 09:15:00,99.42,99.48,99.22,99.34,15907.0
2020-03-19 09:16:00,99.34,99.38,99.1,99.18,9553.0
2020-03-19 09:17:00,99.18,99.36,99.06,99.36,11040.0
2020-03-19 09:18:00,99.32,99.36,99.16,99.26,7311.0
2020-03-19 09:19:00,99.14,99.18,98.76,99.02,31885.0
2020-03-19 09:20:00,99.04,99.26,98.88,99.0,15187.0
2020-03-19 09:21:00,99.04,99.18,98.72,99.02,34575.0
2020-03-19 09:22:00,98.98,99.2,98.98,99.08,5194.0
2020-03-19 09:23:00,99.0,99.0,98.56,98.72,9180.0
2020-03-19 09:24:00,98.68,98.72,98.52,98.62,9232.0
2020-03-19 09:25:00,98.68,98.7,98.4,98.54,13814.0
2020-03-19 09:26:00,98.56,98.66,98.28,98.56,12562.0
2020-03-19 09:27:00,98.48,98.7,98.46,98.46,10699.0
2020-03-19 09:28:00,98.44,98.64,98.44,98.64,11990.0
2020-03-19 09:29:00,98.54,98.76,98.54,98.76,10866.0
2020-03-19 09:30:00,98.7,98.74,98.52,98.62,28274.0
2020-03-19 09:31:00,98.56,98.62,98.5,98.52,7949.0
