Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-01-02,115.45,115.8,112.85,115.4,3435741.0,0.0,0,0.0,0
2019-01-03,114.0,115.45,113.75,113.85,3143939.0,-1.6000000000000085,0,-291802.0,0
2019-01-04,114.15,119.05,114.15,118.9,5896522.0,4.900000000000006,1,2752583.0,1
2019-01-07,118.75,119.25,116.85,117.65,4762419.0,3.5,1,-1134103.0,0
2019-01-08,117.5,122.85,117.25,121.65,6443797.0,2.9000000000000057,1,1681378.0,1
2019-01-09,122.35,123.5,120.95,122.05,4074105.0,4.549999999999997,1,-2369692.0,0
2019-01-10,121.1,121.25,119.5,121.05,3611206.0,-1.2999999999999972,0,-462899.0,0
2019-01-11,121.1,121.65,119.3,120.75,3470357.0,-0.3499999999999943,0,-140849.0,0
2019-01-14,120.2,121.35,119.75,120.8,2716065.0,-0.29999999999999716,0,-754292.0,0
2019-01-15,120.15,122.15,120.15,121.35,4967359.0,1.1499999999999915,1,2251294.0,1
2019-01-16,121.75,122.75,121.35,122.0,5095006.0,1.8499999999999943,1,127647.0,1
2019-01-17,121.25,122.65,120.85,122.1,3899718.0,0.3499999999999943,1,-1195288.0,0
2019-01-18,123.35,125.3,123.0,125.15,7595323.0,3.9000000000000057,1,3695605.0,1
2019-01-21,123.85,124.9,122.85,123.85,4142148.0,0.5,1,-3453175.0,0
2019-01-22,123.5,124.1,121.7,122.5,3426071.0,-1.3499999999999943,0,-716077.0,0
2019-01-23,122.0,122.3,120.45,120.85,3986630.0,-2.6500000000000057,0,560559.0,1
2019-01-24,120.45,121.8,119.4,120.95,4613774.0,-1.0499999999999972,0,627144.0,1
2019-01-25,121.9,125.65,121.8,125.2,5058742.0,4.75,1,444968.0,1
2019-01-28,125.3,126.1,123.9,124.5,4274024.0,2.5999999999999943,1,-784718.0,0
2019-01-29,125.3,127.7,124.2,126.5,5861889.0,1.2000000000000028,1,1587865.0,1
